theme,name,confirmed,definition,unit,type,tsuga_metric_name,widget_suggestions,aggregation,post_function,group_by,required_context_fields,optional_context_fields,absence_means,cardinality_footguns,variants,citations
Availability/Health,kafka.brokers,true,Counts brokers currently visible in Kafka cluster telemetry and acts as a coarse availability baseline.,Unknown,counter,kafka.brokers,query-value|timeseries|top-list,max,none,context.service.name:10|context.scope:10,context.env|context.team,context.service.name|context.k8s.cluster.name|context.service.instance.id,Metric pipeline is disabled for this component or no relevant activity occurred in the window.,Use bounded top-N and avoid grouping by pod plus client-id together.,tsuga=kafka.brokers,internal-tsuga-metric-scan-2026-02-27|https://kafka.apache.org/36/documentation/#monitoring
Availability/Health,kafka.controller.active.count,true,In Kafka controller telemetry this cumulative counter grows with event activity for kafka.controller.active.count.,{count},counter,kafka.controller.active.count,query-value|timeseries|top-list,sum,rate,context.service.name:10|context.scope:10,context.env|context.team,context.service.name|context.k8s.cluster.name|context.service.instance.id,Metric pipeline is disabled for this component or no relevant activity occurred in the window.,Use bounded top-N and avoid grouping by pod plus client-id together.,tsuga=kafka.controller.active.count,internal-tsuga-metric-scan-2026-02-27|https://kafka.apache.org/36/documentation/#monitoring
Capacity/Saturation,kafka.partition.count,true,In Kafka partition telemetry this cumulative counter grows with event activity for kafka.partition.count.,{count},counter,kafka.partition.count,query-value|timeseries|top-list,max,none,context.service.name:10|context.scope:10,context.env|context.team,context.service.name|context.k8s.cluster.name|context.service.instance.id,Metric pipeline is disabled for this component or no relevant activity occurred in the window.,Use bounded top-N and avoid grouping by pod plus client-id together.,tsuga=kafka.partition.count,internal-tsuga-metric-scan-2026-02-27|https://kafka.apache.org/36/documentation/#monitoring
Capacity/Saturation,kafka.partition.underReplicated,true,Counts replication-risk events where partition ISR drops below replication factor and signals durability pressure.,Unknown,counter,kafka.partition.underReplicated,query-value|timeseries|top-list,sum,rate,context.service.name:10|context.scope:10,context.env|context.team,context.service.name|context.k8s.cluster.name|context.service.instance.id,Metric pipeline is disabled for this component or no relevant activity occurred in the window.,Use bounded top-N and avoid grouping by pod plus client-id together.,tsuga=kafka.partition.underReplicated,internal-tsuga-metric-scan-2026-02-27|https://kafka.apache.org/36/documentation/#monitoring
Availability/Health,kafka.partition.offline,true,Counts offline partition events that indicate leader unavailability and direct availability impact.,Unknown,counter,kafka.partition.offline,query-value|timeseries|top-list,sum,rate,context.service.name:10|context.scope:10,context.env|context.team,context.service.name|context.k8s.cluster.name|context.service.instance.id,Metric pipeline is disabled for this component or no relevant activity occurred in the window.,Use bounded top-N and avoid grouping by pod plus client-id together.,tsuga=kafka.partition.offline,internal-tsuga-metric-scan-2026-02-27|https://kafka.apache.org/36/documentation/#monitoring
Capacity/Saturation,kafka.isr.operation.count,true,In Kafka isr telemetry this cumulative counter grows with event activity for kafka.isr.operation.count.,1,counter,kafka.isr.operation.count,query-value|timeseries|top-list,sum,rate,context.service.name:10|context.scope:10,context.env|context.team,context.service.name|context.k8s.cluster.name|context.service.instance.id,Metric pipeline is disabled for this component or no relevant activity occurred in the window.,Use bounded top-N and avoid grouping by pod plus client-id together.,tsuga=kafka.isr.operation.count,internal-tsuga-metric-scan-2026-02-27|https://kafka.apache.org/36/documentation/#monitoring
Errors/Failures,kafka.leaderElection.unclean.count,true,In Kafka leaderElection telemetry this counter reports per-interval event volume for kafka.leaderElection.unclean.count.,{count},counter,kafka.leaderElection.unclean.count,query-value|timeseries|top-list,sum,per-second,context.service.name:10|context.scope:10,context.env|context.team,context.service.name|context.k8s.cluster.name|context.service.instance.id,Metric pipeline is disabled for this component or no relevant activity occurred in the window.,Use bounded top-N and avoid grouping by pod plus client-id together.,tsuga=kafka.leaderElection.unclean.count,internal-tsuga-metric-scan-2026-02-27|https://kafka.apache.org/36/documentation/#monitoring
Performance/Latency,kafka.logs.flush.time.99p,true,In Kafka logs telemetry this gauge reports the current observed level for kafka.logs.flush.time.99p.,ms,gauge,kafka.logs.flush.time.99p,query-value|timeseries|top-list,max,none,context.service.name:10|context.scope:10,context.env|context.team,context.service.name|context.k8s.cluster.name|context.service.instance.id,Metric pipeline is disabled for this component or no relevant activity occurred in the window.,Use bounded top-N and avoid grouping by pod plus client-id together.,tsuga=kafka.logs.flush.time.99p,internal-tsuga-metric-scan-2026-02-27|https://kafka.apache.org/36/documentation/#monitoring
Throughput/Usage,kafka.request.count,true,In Kafka request telemetry this counter reports per-interval event volume for kafka.request.count.,{count},counter,kafka.request.count,query-value|timeseries|top-list,sum,per-second,context.service.name:10|context.scope:10,context.env|context.team,context.service.name|context.k8s.cluster.name|context.service.instance.id,Metric pipeline is disabled for this component or no relevant activity occurred in the window.,Use bounded top-N and avoid grouping by pod plus client-id together.,tsuga=kafka.request.count,internal-tsuga-metric-scan-2026-02-27|https://kafka.apache.org/36/documentation/#monitoring
Errors/Failures,kafka.request.failed,true,Counts failed broker requests and is the numerator for request failure rate analysis.,Unknown,counter,kafka.request.failed,query-value|timeseries|top-list,sum,per-second,context.service.name:10|context.scope:10,context.env|context.team,context.service.name|context.k8s.cluster.name|context.service.instance.id,Metric pipeline is disabled for this component or no relevant activity occurred in the window.,Use bounded top-N and avoid grouping by pod plus client-id together.,tsuga=kafka.request.failed,internal-tsuga-metric-scan-2026-02-27|https://kafka.apache.org/36/documentation/#monitoring
Performance/Latency,kafka.request.time.99p,true,In Kafka request telemetry this gauge reports the current observed level for kafka.request.time.99p.,ms,gauge,kafka.request.time.99p,query-value|timeseries|top-list,max,none,context.service.name:10|context.scope:10,context.env|context.team,context.service.name|context.k8s.cluster.name|context.service.instance.id,Metric pipeline is disabled for this component or no relevant activity occurred in the window.,Use bounded top-N and avoid grouping by pod plus client-id together.,tsuga=kafka.request.time.99p,internal-tsuga-metric-scan-2026-02-27|https://kafka.apache.org/36/documentation/#monitoring
Performance/Latency,kafka.request.time.total,true,In Kafka request telemetry this counter reports per-interval event volume for kafka.request.time.total.,ms,counter,kafka.request.time.total,query-value|timeseries|top-list,sum,per-second,context.service.name:10|context.scope:10,context.env|context.team,context.service.name|context.k8s.cluster.name|context.service.instance.id,Metric pipeline is disabled for this component or no relevant activity occurred in the window.,Use bounded top-N and avoid grouping by pod plus client-id together.,tsuga=kafka.request.time.total,internal-tsuga-metric-scan-2026-02-27|https://kafka.apache.org/36/documentation/#monitoring
Capacity/Saturation,kafka.consumer_group.lag,true,In Kafka consumer_group telemetry this gauge reports the current observed level for kafka.consumer_group.lag.,{count},gauge,kafka.consumer_group.lag,query-value|timeseries|top-list,max,none,context.topic:12|context.partition:12,context.env|context.team,context.topic|context.partition|context.scope,Metric pipeline is disabled for this component or no relevant activity occurred in the window.,Use bounded top-N and avoid grouping by pod plus client-id together.,tsuga=kafka.consumer_group.lag,internal-tsuga-metric-scan-2026-02-27|https://kafka.apache.org/36/documentation/#monitoring
Capacity/Saturation,kafka.consumer_group.lag_sum,true,In Kafka consumer_group telemetry this gauge reports the current observed level for kafka.consumer_group.lag_sum.,{count},gauge,kafka.consumer_group.lag_sum,query-value|timeseries|top-list,max,none,context.topic:12|context.scope:10,context.env|context.team,context.topic|context.scope,Metric pipeline is disabled for this component or no relevant activity occurred in the window.,Use bounded top-N and avoid grouping by pod plus client-id together.,tsuga=kafka.consumer_group.lag_sum,internal-tsuga-metric-scan-2026-02-27|https://kafka.apache.org/36/documentation/#monitoring
Availability/Health,kafka.consumer_group.members,true,Reports current consumer group membership cardinality and helps detect churn and assignment instability.,Unknown,counter,kafka.consumer_group.members,query-value|timeseries|top-list,max,none,context.scope:10|context.team:10,context.env|context.team,context.scope|context.unit,Metric pipeline is disabled for this component or no relevant activity occurred in the window.,Use bounded top-N and avoid grouping by pod plus client-id together.,tsuga=kafka.consumer_group.members,internal-tsuga-metric-scan-2026-02-27|https://kafka.apache.org/36/documentation/#monitoring
Throughput/Usage,kafka.consumer.records_consumed_total,true,In Kafka consumer telemetry this counter reports per-interval event volume for kafka.consumer.records_consumed_total.,{count},counter,kafka.consumer.records_consumed_total,query-value|timeseries|top-list,sum,per-second,context.client-id:12|context.service.instance.id:12,context.env|context.team,context.service.name|context.k8s.cluster.name|context.service.instance.id|context.client-id,Metric pipeline is disabled for this component or no relevant activity occurred in the window.,Use bounded top-N and avoid grouping by pod plus client-id together.,tsuga=kafka.consumer.records_consumed_total,internal-tsuga-metric-scan-2026-02-27|https://kafka.apache.org/36/documentation/#monitoring
Capacity/Saturation,kafka.consumer.records_lag_max,true,Tracks the highest consumer lag observed and indicates worst-case processing delay risk.,{count},gauge,kafka.consumer.records_lag_max,query-value|timeseries|top-list,max,none,context.client-id:12|context.service.instance.id:12,context.env|context.team,context.service.name|context.k8s.cluster.name|context.service.instance.id|context.client-id,Metric pipeline is disabled for this component or no relevant activity occurred in the window.,Use bounded top-N and avoid grouping by pod plus client-id together.,tsuga=kafka.consumer.records_lag_max,internal-tsuga-metric-scan-2026-02-27|https://kafka.apache.org/36/documentation/#monitoring
Throughput/Usage,kafka.consumer.bytes_consumed_total,true,In Kafka consumer telemetry this counter reports per-interval event volume for kafka.consumer.bytes_consumed_total.,By,counter,kafka.consumer.bytes_consumed_total,query-value|timeseries|top-list,sum,per-second,context.client-id:12|context.service.instance.id:12,context.env|context.team,context.service.name|context.k8s.cluster.name|context.service.instance.id|context.client-id,Metric pipeline is disabled for this component or no relevant activity occurred in the window.,Use bounded top-N and avoid grouping by pod plus client-id together.,tsuga=kafka.consumer.bytes_consumed_total,internal-tsuga-metric-scan-2026-02-27|https://kafka.apache.org/36/documentation/#monitoring
Performance/Latency,kafka.consumer.fetch_latency_max,true,In Kafka consumer telemetry this gauge reports the current observed level for kafka.consumer.fetch_latency_max.,ms,gauge,kafka.consumer.fetch_latency_max,query-value|timeseries|top-list,max,none,context.client-id:12|context.service.instance.id:12,context.env|context.team,context.service.name|context.k8s.cluster.name|context.service.instance.id|context.client-id,Metric pipeline is disabled for this component or no relevant activity occurred in the window.,Use bounded top-N and avoid grouping by pod plus client-id together.,tsuga=kafka.consumer.fetch_latency_max,internal-tsuga-metric-scan-2026-02-27|https://kafka.apache.org/36/documentation/#monitoring
Performance/Latency,kafka.consumer.fetch_throttle_time_max,true,In Kafka consumer telemetry this gauge reports the current observed level for kafka.consumer.fetch_throttle_time_max.,Unknown,gauge,kafka.consumer.fetch_throttle_time_max,query-value|timeseries|top-list,max,none,context.client-id:12|context.service.instance.id:12,context.env|context.team,context.service.name|context.k8s.cluster.name|context.service.instance.id|context.client-id,Metric pipeline is disabled for this component or no relevant activity occurred in the window.,Use bounded top-N and avoid grouping by pod plus client-id together.,tsuga=kafka.consumer.fetch_throttle_time_max,internal-tsuga-metric-scan-2026-02-27|https://kafka.apache.org/36/documentation/#monitoring
Errors/Failures,kafka.consumer.failed_rebalance_total,true,In Kafka consumer telemetry this counter reports per-interval event volume for kafka.consumer.failed_rebalance_total.,Unknown,counter,kafka.consumer.failed_rebalance_total,query-value|timeseries|top-list,sum,per-second,context.client-id:12|context.service.instance.id:12,context.env|context.team,context.service.name|context.k8s.cluster.name|context.service.instance.id|context.client-id,Metric pipeline is disabled for this component or no relevant activity occurred in the window.,Use bounded top-N and avoid grouping by pod plus client-id together.,tsuga=kafka.consumer.failed_rebalance_total,internal-tsuga-metric-scan-2026-02-27|https://kafka.apache.org/36/documentation/#monitoring
Throughput/Usage,kafka.consumer.rebalance_total,true,In Kafka consumer telemetry this counter reports per-interval event volume for kafka.consumer.rebalance_total.,Unknown,counter,kafka.consumer.rebalance_total,query-value|timeseries|top-list,sum,per-second,context.client-id:12|context.service.instance.id:12,context.env|context.team,context.service.name|context.k8s.cluster.name|context.service.instance.id|context.client-id,Metric pipeline is disabled for this component or no relevant activity occurred in the window.,Use bounded top-N and avoid grouping by pod plus client-id together.,tsuga=kafka.consumer.rebalance_total,internal-tsuga-metric-scan-2026-02-27|https://kafka.apache.org/36/documentation/#monitoring
Errors/Failures,kafka.consumer.failed_authentication_total,true,In Kafka consumer telemetry this counter reports per-interval event volume for kafka.consumer.failed_authentication_total.,Unknown,counter,kafka.consumer.failed_authentication_total,query-value|timeseries|top-list,sum,per-second,context.client-id:12|context.service.instance.id:12,context.env|context.team,context.service.name|context.k8s.cluster.name|context.service.instance.id|context.client-id,Metric pipeline is disabled for this component or no relevant activity occurred in the window.,Use bounded top-N and avoid grouping by pod plus client-id together.,tsuga=kafka.consumer.failed_authentication_total,internal-tsuga-metric-scan-2026-02-27|https://kafka.apache.org/36/documentation/#monitoring
Throughput/Usage,kafka.consumer.successful_authentication_total,true,In Kafka consumer telemetry this counter reports per-interval event volume for kafka.consumer.successful_authentication_total.,Unknown,counter,kafka.consumer.successful_authentication_total,query-value|timeseries|top-list,sum,per-second,context.client-id:12|context.service.instance.id:12,context.env|context.team,context.service.name|context.k8s.cluster.name|context.service.instance.id|context.client-id,Metric pipeline is disabled for this component or no relevant activity occurred in the window.,Use bounded top-N and avoid grouping by pod plus client-id together.,tsuga=kafka.consumer.successful_authentication_total,internal-tsuga-metric-scan-2026-02-27|https://kafka.apache.org/36/documentation/#monitoring
Performance/Latency,kafka.consumer.commit_latency_max,true,In Kafka consumer telemetry this gauge reports the current observed level for kafka.consumer.commit_latency_max.,ms,gauge,kafka.consumer.commit_latency_max,query-value|timeseries|top-list,max,none,context.client-id:12|context.service.instance.id:12,context.env|context.team,context.service.name|context.k8s.cluster.name|context.service.instance.id|context.client-id,Metric pipeline is disabled for this component or no relevant activity occurred in the window.,Use bounded top-N and avoid grouping by pod plus client-id together.,tsuga=kafka.consumer.commit_latency_max,internal-tsuga-metric-scan-2026-02-27|https://kafka.apache.org/36/documentation/#monitoring
Throughput/Usage,kafka.consumer.commit_total,true,In Kafka consumer telemetry this counter reports per-interval event volume for kafka.consumer.commit_total.,Unknown,counter,kafka.consumer.commit_total,query-value|timeseries|top-list,sum,per-second,context.client-id:12|context.service.instance.id:12,context.env|context.team,context.service.name|context.k8s.cluster.name|context.service.instance.id|context.client-id,Metric pipeline is disabled for this component or no relevant activity occurred in the window.,Use bounded top-N and avoid grouping by pod plus client-id together.,tsuga=kafka.consumer.commit_total,internal-tsuga-metric-scan-2026-02-27|https://kafka.apache.org/36/documentation/#monitoring
Availability/Health,kafka.consumer.connection_count,true,In Kafka consumer telemetry this gauge reports the current observed level for kafka.consumer.connection_count.,{count},gauge,kafka.consumer.connection_count,query-value|timeseries|top-list,max,none,context.client-id:12|context.service.instance.id:12,context.env|context.team,context.service.name|context.k8s.cluster.name|context.service.instance.id|context.client-id,Metric pipeline is disabled for this component or no relevant activity occurred in the window.,Use bounded top-N and avoid grouping by pod plus client-id together.,tsuga=kafka.consumer.connection_count,internal-tsuga-metric-scan-2026-02-27|https://kafka.apache.org/36/documentation/#monitoring
Throughput/Usage,kafka.consumer.request_total,true,In Kafka consumer telemetry this counter reports per-interval event volume for kafka.consumer.request_total.,Unknown,counter,kafka.consumer.request_total,query-value|timeseries|top-list,sum,per-second,context.client-id:12|context.service.instance.id:12,context.env|context.team,context.service.name|context.k8s.cluster.name|context.service.instance.id|context.client-id,Metric pipeline is disabled for this component or no relevant activity occurred in the window.,Use bounded top-N and avoid grouping by pod plus client-id together.,tsuga=kafka.consumer.request_total,internal-tsuga-metric-scan-2026-02-27|https://kafka.apache.org/36/documentation/#monitoring
Performance/Latency,kafka.consumer.request_latency_max,true,In Kafka consumer telemetry this gauge reports the current observed level for kafka.consumer.request_latency_max.,ms,gauge,kafka.consumer.request_latency_max,query-value|timeseries|top-list,max,none,context.client-id:12|context.service.instance.id:12,context.env|context.team,context.service.name|context.k8s.cluster.name|context.service.instance.id|context.client-id,Metric pipeline is disabled for this component or no relevant activity occurred in the window.,Use bounded top-N and avoid grouping by pod plus client-id together.,tsuga=kafka.consumer.request_latency_max,internal-tsuga-metric-scan-2026-02-27|https://kafka.apache.org/36/documentation/#monitoring
Throughput/Usage,kafka.consumer.network_io_total,true,In Kafka consumer telemetry this counter reports per-interval event volume for kafka.consumer.network_io_total.,By,counter,kafka.consumer.network_io_total,query-value|timeseries|top-list,sum,per-second,context.client-id:12|context.service.instance.id:12,context.env|context.team,context.service.name|context.k8s.cluster.name|context.service.instance.id|context.client-id,Metric pipeline is disabled for this component or no relevant activity occurred in the window.,Use bounded top-N and avoid grouping by pod plus client-id together.,tsuga=kafka.consumer.network_io_total,internal-tsuga-metric-scan-2026-02-27|https://kafka.apache.org/36/documentation/#monitoring
Throughput/Usage,kafka_workload_messages_produced_total,true,In Kafka workload telemetry this cumulative counter grows with event activity for kafka_workload_messages_produced_total.,{count},counter,kafka_workload_messages_produced_total,query-value|timeseries|top-list,sum,rate,context.topic:12|context.service.name:10,context.env|context.team,context.service.name|context.k8s.cluster.name|context.service.instance.id|context.topic,Metric pipeline is disabled for this component or no relevant activity occurred in the window.,Use bounded top-N and avoid grouping by pod plus client-id together.,tsuga=kafka_workload_messages_produced_total,internal-tsuga-metric-scan-2026-02-27|https://kafka.apache.org/36/documentation/#monitoring
Throughput/Usage,kafka_workload_messages_consumed_total,true,In Kafka workload telemetry this cumulative counter grows with event activity for kafka_workload_messages_consumed_total.,{count},counter,kafka_workload_messages_consumed_total,query-value|timeseries|top-list,sum,rate,context.topic:12|context.service.name:10,context.env|context.team,context.service.name|context.k8s.cluster.name|context.service.instance.id|context.topic,Metric pipeline is disabled for this component or no relevant activity occurred in the window.,Use bounded top-N and avoid grouping by pod plus client-id together.,tsuga=kafka_workload_messages_consumed_total,internal-tsuga-metric-scan-2026-02-27|https://kafka.apache.org/36/documentation/#monitoring
Performance/Latency,kafka_workload_operation_latency_ms,true,Captures synthetic Kafka operation latency distribution for end-to-end workload response validation.,ms,histogram,kafka_workload_operation_latency_ms,timeseries|query-value,percentile(p95),none,context.topic:12|context.service.name:10,context.env|context.team,context.service.name|context.k8s.cluster.name|context.service.instance.id|context.topic,Metric pipeline is disabled for this component or no relevant activity occurred in the window.,Use bounded top-N and avoid grouping by pod plus client-id together.,tsuga=kafka_workload_operation_latency_ms,internal-tsuga-metric-scan-2026-02-27|https://kafka.apache.org/36/documentation/#monitoring
Cost,NOT_APPLICABLE,false,Kafka metrics in this integration do not provide direct billing data and cost should be inferred from throughput storage and replication pressure.,Unknown,Unknown,NOT_APPLICABLE,query-value,Unknown,none,context.env:5|context.team:10,context.env|context.team,context.service.name,Not applicable for direct cost accounting.,Safe,n/a,https://kafka.apache.org/documentation/#design
