theme,name,confirmed,definition,unit,type,tsuga_metric_name,widget_suggestions,aggregation,post_function,group_by,required_context_fields,optional_context_fields,absence_means,cardinality_footguns,variants,citations
Availability/Health,postgresql.backends,true,Number of active connections per database,connections,counter,postgresql.backends,query-value|timeseries|top-list,max,none,context.postgresql.database.name:10|context.scope.name:10,context.env|context.team,context.postgresql.database.name|context.scope.name|context.k8s.cluster.name,"Metric missing due exporter scope, permissions, or feature not enabled",Medium cardinality on database label; keep bounded top-N,otel=postgresql.backends,https://github.com/open-telemetry/opentelemetry-collector-contrib/blob/main/receiver/postgresqlreceiver/README.md|https://www.postgresql.org/docs/current/monitoring-stats.html
Capacity/Saturation,postgresql.bgwriter.buffers.allocated,true,Buffers allocated by the bgwriter,{buffers},counter,postgresql.bgwriter.buffers.allocated,query-value|timeseries|top-list,sum,per-second,context.scope.name:10,context.env|context.team,context.scope.name|context.k8s.cluster.name,Bgwriter/checkpoint metrics unavailable or instance just started with low activity,Safe,otel=postgresql.bgwriter.buffers.allocated,https://github.com/open-telemetry/opentelemetry-collector-contrib/blob/main/receiver/postgresqlreceiver/README.md|https://www.postgresql.org/docs/current/monitoring-stats.html
Capacity/Saturation,postgresql.bgwriter.buffers.writes,true,Buffers written by source (backend/bgwriter/checkpoint),{buffers},counter,postgresql.bgwriter.buffers.writes,timeseries|top-list|bar,sum,per-second,context.source:5|context.scope.name:10,context.env|context.team,context.scope.name|context.source|context.k8s.cluster.name,Bgwriter/checkpoint metrics unavailable or instance just started with low activity,Safe,otel=postgresql.bgwriter.buffers.writes,https://github.com/open-telemetry/opentelemetry-collector-contrib/blob/main/receiver/postgresqlreceiver/README.md|https://www.postgresql.org/docs/current/monitoring-stats.html
Capacity/Saturation,postgresql.bgwriter.checkpoint.count,true,Number of checkpoints performed,{checkpoints},counter,postgresql.bgwriter.checkpoint.count,query-value|timeseries|top-list,sum,per-second,context.scope.name:10,context.env|context.team,context.scope.name|context.k8s.cluster.name,Bgwriter/checkpoint metrics unavailable or instance just started with low activity,Safe,otel=postgresql.bgwriter.checkpoint.count,https://github.com/open-telemetry/opentelemetry-collector-contrib/blob/main/receiver/postgresqlreceiver/README.md|https://www.postgresql.org/docs/current/monitoring-stats.html
Capacity/Saturation,postgresql.bgwriter.duration,true,Time spent in checkpoints,ms,counter,postgresql.bgwriter.duration,query-value|timeseries|top-list,sum,per-second,context.scope.name:10,context.env|context.team,context.scope.name|context.k8s.cluster.name,Bgwriter/checkpoint metrics unavailable or instance just started with low activity,Safe,otel=postgresql.bgwriter.duration,https://github.com/open-telemetry/opentelemetry-collector-contrib/blob/main/receiver/postgresqlreceiver/README.md|https://www.postgresql.org/docs/current/monitoring-stats.html
Capacity/Saturation,postgresql.bgwriter.maxwritten,true,Times bgwriter stopped due to max pages limit,{times},counter,postgresql.bgwriter.maxwritten,query-value|timeseries|top-list,sum,per-second,context.scope.name:10,context.env|context.team,context.scope.name|context.k8s.cluster.name,Bgwriter/checkpoint metrics unavailable or instance just started with low activity,Safe,otel=postgresql.bgwriter.maxwritten,https://github.com/open-telemetry/opentelemetry-collector-contrib/blob/main/receiver/postgresqlreceiver/README.md|https://www.postgresql.org/docs/current/monitoring-stats.html
Performance/Latency,postgresql.blks_hit,true,Blocks found in shared buffer cache,{blocks},counter,postgresql.blks_hit,query-value|timeseries|top-list,sum,per-second,context.postgresql.database.name:10|context.scope.name:10,context.env|context.team,context.postgresql.database.name|context.scope.name|context.k8s.cluster.name,"Metric missing due exporter scope, permissions, or feature not enabled",Medium cardinality on database label; keep bounded top-N,otel=postgresql.blks_hit,https://github.com/open-telemetry/opentelemetry-collector-contrib/blob/main/receiver/postgresqlreceiver/README.md|https://www.postgresql.org/docs/current/monitoring-stats.html
Performance/Latency,postgresql.blks_read,true,Blocks read from disk,{blocks},counter,postgresql.blks_read,query-value|timeseries|top-list,sum,per-second,context.postgresql.database.name:10|context.scope.name:10,context.env|context.team,context.postgresql.database.name|context.scope.name|context.k8s.cluster.name,"Metric missing due exporter scope, permissions, or feature not enabled",Medium cardinality on database label; keep bounded top-N,otel=postgresql.blks_read,https://github.com/open-telemetry/opentelemetry-collector-contrib/blob/main/receiver/postgresqlreceiver/README.md|https://www.postgresql.org/docs/current/monitoring-stats.html
Performance/Latency,postgresql.blocks_read,true,Total blocks read,{blocks},counter,postgresql.blocks_read,query-value|timeseries|top-list,sum,per-second,context.postgresql.database.name:10|context.scope.name:10,context.env|context.team,context.postgresql.database.name|context.scope.name|context.k8s.cluster.name,"Metric missing due exporter scope, permissions, or feature not enabled",Medium cardinality on database label; keep bounded top-N,otel=postgresql.blocks_read,https://github.com/open-telemetry/opentelemetry-collector-contrib/blob/main/receiver/postgresqlreceiver/README.md|https://www.postgresql.org/docs/current/monitoring-stats.html
Throughput/Usage,postgresql.commits,true,Committed transactions per database,{transactions},counter,postgresql.commits,query-value|timeseries|top-list,sum,per-second,context.postgresql.database.name:10|context.scope.name:10,context.env|context.team,context.postgresql.database.name|context.scope.name|context.k8s.cluster.name,"Metric missing due exporter scope, permissions, or feature not enabled",Medium cardinality on database label; keep bounded top-N,otel=postgresql.commits,https://github.com/open-telemetry/opentelemetry-collector-contrib/blob/main/receiver/postgresqlreceiver/README.md|https://www.postgresql.org/docs/current/monitoring-stats.html
