theme,name,confirmed,definition,unit,type,tsuga_metric_name,widget_suggestions,aggregation,post_function,group_by,required_context_fields,optional_context_fields,absence_means,cardinality_footguns,variants,citations
Throughput/Usage,aws_firehose_incoming_records,true,Records successfully accepted by the delivery stream per CloudWatch period. Excludes throttled records. Use sum+rate for per-second ingestion rate. Primary producer throughput signal.,{record},summary,aws_firehose_incoming_records,timeseries|query-value,sum,per-second,context.deliverystreamname:10,context.env|context.team,context.cloud.region|context.cloud.account.id,No data ingested — stream is idle or producers are not writing,Safe for group-by; bounded by delivery stream count,prometheus=aws_firehose_incoming_records,https://docs.aws.amazon.com/firehose/latest/dev/monitoring-with-cloudwatch-metrics.html
Errors/Failures,aws_firehose_throttled_records,true,Records rejected at ingestion because the delivery stream exceeded its service throughput or records-per-second limit. CRITICAL: throttled records are NOT retried by Firehose — they are silently dropped. The producer must retry.,{record},summary,aws_firehose_throttled_records,timeseries|query-value,sum,per-second,context.deliverystreamname:10,context.env|context.team,context.cloud.region,No throttling — ingestion is within service limits (healthy),Safe,prometheus=aws_firehose_throttled_records,https://docs.aws.amazon.com/firehose/latest/dev/monitoring-with-cloudwatch-metrics.html
Throughput/Usage,aws_firehose_put_record_batch_bytes,true,Total bytes submitted to the delivery stream via PutRecordBatch API calls per period. Includes both accepted and throttled records. Measures producer-side volume before Firehose filtering.,By,summary,aws_firehose_put_record_batch_bytes,timeseries|query-value,sum,per-second,context.deliverystreamname:10,context.env|context.team,context.cloud.region,No API calls — producers not writing,Safe,prometheus=aws_firehose_put_record_batch_bytes,https://docs.aws.amazon.com/firehose/latest/dev/monitoring-with-cloudwatch-metrics.html
Throughput/Usage,aws_firehose_put_record_batch_records,true,Records submitted via PutRecordBatch API calls per period. A single call carries up to 500 records or 4 MiB. Includes both accepted and any subsequently throttled records.,{record},summary,aws_firehose_put_record_batch_records,timeseries,sum,per-second,context.deliverystreamname:10,context.env|context.team,context.cloud.region,No API calls — producers not writing,Safe,prometheus=aws_firehose_put_record_batch_records,https://docs.aws.amazon.com/firehose/latest/dev/monitoring-with-cloudwatch-metrics.html
Throughput/Usage,aws_firehose_put_record_batch_requests,true,Number of PutRecordBatch API calls per period. One call = 1 request regardless of record count. Use with put_record_batch_records to compute average batch size efficiency.,{request},summary,aws_firehose_put_record_batch_requests,timeseries,sum,per-second,context.deliverystreamname:10,context.env|context.team,context.cloud.region,No API calls — producers not writing,Safe,prometheus=aws_firehose_put_record_batch_requests,https://docs.aws.amazon.com/firehose/latest/dev/monitoring-with-cloudwatch-metrics.html
Performance/Latency,aws_firehose_put_record_batch_latency,true,"Per-call latency in milliseconds for PutRecordBatch API operations. Use average aggregation. Increases with record size, Firehose service pressure, or throttling. Producer-observed API response time.",ms,summary,aws_firehose_put_record_batch_latency,timeseries|query-value,average,none,context.deliverystreamname:10,context.env|context.team,context.cloud.region,No API calls — producers not writing,Safe,prometheus=aws_firehose_put_record_batch_latency,https://docs.aws.amazon.com/firehose/latest/dev/monitoring-with-cloudwatch-metrics.html
Availability/Health,aws_firehose_delivery_to_http_endpoint_data_freshness,true,Age in seconds of the oldest record currently buffered in the delivery stream that has not yet been delivered to the HTTP endpoint. THE primary Firehose operational signal. Use max aggregation for worst-case. Rising value = delivery is blocked or retrying.,s,summary,aws_firehose_delivery_to_http_endpoint_data_freshness,timeseries|query-value,max,none,context.deliverystreamname:10,context.env|context.team,context.cloud.region,Stream is idle (no records in flight) — confirm with incoming_records,Safe; max aggregation is correct for SLO tracking,prometheus=aws_firehose_delivery_to_http_endpoint_data_freshness,https://docs.aws.amazon.com/firehose/latest/dev/monitoring-with-cloudwatch-metrics.html
Throughput/Usage,aws_firehose_delivery_to_http_endpoint_bytes,true,Bytes delivered to and acknowledged by the HTTP endpoint destination per CloudWatch period. Use sum+rate for per-second delivery throughput. Should approach incoming bytes over longer windows accounting for buffer delay.,By,summary,aws_firehose_delivery_to_http_endpoint_bytes,timeseries|query-value,sum,per-second,context.deliverystreamname:10,context.env|context.team,context.cloud.region,HTTP endpoint delivery not configured or stream is idle,Safe,prometheus=aws_firehose_delivery_to_http_endpoint_bytes,https://docs.aws.amazon.com/firehose/latest/dev/monitoring-with-cloudwatch-metrics.html
Throughput/Usage,aws_firehose_delivery_to_http_endpoint_records,true,Records delivered to and acknowledged by the HTTP endpoint destination per CloudWatch period. Over longer windows should approach incoming_records accounting for buffer interval delay.,{record},summary,aws_firehose_delivery_to_http_endpoint_records,timeseries,sum,per-second,context.deliverystreamname:10,context.env|context.team,context.cloud.region,HTTP endpoint delivery not configured or stream is idle,Safe; do not compare to incoming_records in short windows due to buffering,prometheus=aws_firehose_delivery_to_http_endpoint_records,https://docs.aws.amazon.com/firehose/latest/dev/monitoring-with-cloudwatch-metrics.html
Throughput/Usage,aws_firehose_delivery_to_http_endpoint_processed_bytes,true,Total bytes sent to the HTTP endpoint per period including all delivery attempts and retries. Exceeds delivery_to_http_endpoint_bytes when the endpoint is rejecting or timing out requests. Use sum+rate.,By,summary,aws_firehose_delivery_to_http_endpoint_processed_bytes,timeseries,sum,per-second,context.deliverystreamname:10,context.env|context.team,context.cloud.region,HTTP endpoint delivery not configured,Safe; compare to delivery_bytes to measure retry overhead,prometheus=aws_firehose_delivery_to_http_endpoint_processed_bytes,https://docs.aws.amazon.com/firehose/latest/dev/monitoring-with-cloudwatch-metrics.html
Errors/Failures,aws_firehose_failed_validation_records,true,Records rejected during schema validation when an MSK (Kafka) source is configured. Non-zero value indicates records from the Kafka source stream are failing the schema check at ingestion. Use sum+rate.,{record},summary,aws_firehose_failed_validation_records,timeseries|query-value,sum,per-second,context.deliverystreamname:10,context.env|context.team,context.cloud.region|context.sourcepartitionid,MSK source not configured or all records passing validation (healthy),context.sourcepartitionid can be used to identify which Kafka partition is producing invalid records,prometheus=aws_firehose_failed_validation_records,https://docs.aws.amazon.com/firehose/latest/dev/monitoring-with-cloudwatch-metrics.html
Errors/Failures,aws_firehose_kms_key_access_denied,true,Number of KMSAccessDeniedException errors during delivery. Any non-zero value means the delivery stream IAM role lacks permission to use the KMS key — all delivery is blocked immediately. Requires KMS-based SSE enabled.,{error},summary,aws_firehose_kms_key_access_denied,timeseries|query-value,sum,per-second,context.deliverystreamname:10,context.env,context.cloud.region,KMS encryption not enabled — metric absent (healthy),Safe; should always be 0,prometheus=aws_firehose_kms_key_access_denied,https://docs.aws.amazon.com/firehose/latest/dev/encryption.html
Errors/Failures,aws_firehose_kms_key_disabled,true,Number of KMSDisabledExceptions during delivery. The KMS key has been disabled — all delivery is blocked until re-enabled. Requires KMS-based SSE enabled.,{error},summary,aws_firehose_kms_key_disabled,timeseries|query-value,sum,per-second,context.deliverystreamname:10,context.env,context.cloud.region,KMS encryption not enabled — metric absent,Safe; should always be 0,prometheus=aws_firehose_kms_key_disabled,https://docs.aws.amazon.com/firehose/latest/dev/encryption.html
Errors/Failures,aws_firehose_kms_key_invalid_state,true,"Number of KMSInvalidStateExceptions during delivery. The KMS key is in an invalid state (e.g., pending deletion). All delivery blocked. Requires KMS-based SSE enabled.",{error},summary,aws_firehose_kms_key_invalid_state,timeseries|query-value,sum,per-second,context.deliverystreamname:10,context.env,context.cloud.region,KMS encryption not enabled — metric absent,Safe; should always be 0,prometheus=aws_firehose_kms_key_invalid_state,https://docs.aws.amazon.com/firehose/latest/dev/encryption.html
Errors/Failures,aws_firehose_kms_key_not_found,true,Number of KMSNotFoundExceptions during delivery. The KMS key ARN no longer exists. All delivery blocked until stream configuration is updated. Requires KMS-based SSE enabled.,{error},summary,aws_firehose_kms_key_not_found,timeseries|query-value,sum,per-second,context.deliverystreamname:10,context.env,context.cloud.region,KMS encryption not enabled — metric absent,Safe; should always be 0,prometheus=aws_firehose_kms_key_not_found,https://docs.aws.amazon.com/firehose/latest/dev/encryption.html
