theme,name,confirmed,definition,unit,type,tsuga_metric_name,widget_suggestions,aggregation,post_function,group_by,required_context_fields,optional_context_fields,absence_means,cardinality_footguns,variants,citations
Fleet/Health,CPUUtilization,true,"Host CPU usage for the cache node. Use for all engines, and especially for Memcached or smaller Redis-family nodes. [Inferred from Std]",percent,gauge,aws_elasticache_cpu_utilization,query-value|timeseries|top-list,max,none,context.cacheclusterid:20|context.cachenodeid:20,context.env|context.team,context.cloud.region,"Metric missing, wrong namespace, or the selected engine surface is not present in Tsuga","Prefer engine, cluster, or node grouping; do not assume client-level fields exist",cloudwatch=CPUUtilization|tsuga_guess=aws_elasticache_cpu_utilization,https://docs.aws.amazon.com/AmazonElastiCache/latest/dg/CacheMetrics.HostLevel.html|https://docs.aws.amazon.com/AmazonElastiCache/latest/dg/CacheMetrics.WhichShouldIMonitor.html
Fleet/Health,FreeableMemory,true,Reclaimable host memory and a leading headroom signal before cache instability. [Inferred from Std],By,gauge,aws_elasticache_freeable_memory,query-value|timeseries|top-list,min,none,context.cacheclusterid:20|context.cachenodeid:20,context.env|context.team,context.cloud.region,"Metric missing, wrong namespace, or unsupported surface in Tsuga",Node grouping is safe; avoid grouping by any raw client identity,cloudwatch=FreeableMemory|tsuga_guess=aws_elasticache_freeable_memory,https://docs.aws.amazon.com/AmazonElastiCache/latest/dg/CacheMetrics.HostLevel.html
Fleet/Health,NetworkBytesIn,true,"Host-level inbound network bytes, useful when demand shape changes before cache-efficiency metrics move. [Inferred from Std]",By,counter,aws_elasticache_network_bytes_in,timeseries|top-list,sum,per-second,context.cacheclusterid:20|context.cachenodeid:20,context.env|context.team,context.cloud.region,"Metric missing, wrong namespace, or unsupported surface in Tsuga",Use node or cluster grouping only,cloudwatch=NetworkBytesIn|tsuga_guess=aws_elasticache_network_bytes_in,https://docs.aws.amazon.com/AmazonElastiCache/latest/dg/CacheMetrics.HostLevel.html
Fleet/Health,NetworkBytesOut,true,"Host-level outbound network bytes, useful for egress-heavy cache patterns and replica or client fan-out. [Inferred from Std]",By,counter,aws_elasticache_network_bytes_out,timeseries|top-list,sum,per-second,context.cacheclusterid:20|context.cachenodeid:20,context.env|context.team,context.cloud.region,"Metric missing, wrong namespace, or unsupported surface in Tsuga",Use node or cluster grouping only,cloudwatch=NetworkBytesOut|tsuga_guess=aws_elasticache_network_bytes_out,https://docs.aws.amazon.com/AmazonElastiCache/latest/dg/CacheMetrics.HostLevel.html
Redis/Valkey Efficiency,EngineCPUUtilization,true,CPU usage of the Valkey or Redis OSS engine thread and the most precise Redis-family saturation signal on larger nodes. [Inferred from Std],percent,gauge,aws_elasticache_engine_cpu_utilization,query-value|timeseries,max,none,context.replicationgroupid:20|context.cacheclusterid:20|context.cachenodeid:20,context.env|context.team,context.cloud.region|context.nodegroupid,,Do not compare blindly across engines; this is Redis-family only,cloudwatch=EngineCPUUtilization|tsuga_guess=aws_elasticache_engine_cpu_utilization,https://docs.aws.amazon.com/AmazonElastiCache/latest/dg/CacheMetrics.Redis.html|https://docs.aws.amazon.com/AmazonElastiCache/latest/dg/CacheMetrics.WhichShouldIMonitor.html
Redis/Valkey Efficiency,CacheHitRate,true,"Cache efficiency ratio for Valkey or Redis OSS. Lower values often indicate evictions, expirations, or missing keys. [Inferred from Std]",percent,gauge,aws_elasticache_cache_hit_rate,query-value|timeseries,max,none,context.cacheclusterid:20,context.env|context.team,context.cloud.region,,Use cluster or shard grouping; avoid over-grouping by node when the question is cache value,cloudwatch=CacheHitRate|tsuga_guess=aws_elasticache_cache_hit_rate,https://docs.aws.amazon.com/AmazonElastiCache/latest/dg/CacheMetrics.Redis.html
Redis/Valkey Efficiency,CacheHits,true,Successful read-only key lookups in the main dictionary. [Inferred from Std],count,counter,aws_elasticache_cache_hits,timeseries|query-value|top-list,sum,per-second,context.cacheclusterid:20,context.env|context.team,context.cloud.region,"No Redis-family traffic, wrong namespace, or no Redis-family telemetry present",Useful as numerator in hit-ratio and cache-value formulas,cloudwatch=CacheHits|tsuga_guess=aws_elasticache_cache_hits,https://docs.aws.amazon.com/AmazonElastiCache/latest/dg/CacheMetrics.Redis.html
Redis/Valkey Efficiency,CacheMisses,true,Unsuccessful read-only key lookups in the main dictionary. [Inferred from Std],count,counter,aws_elasticache_cache_misses,timeseries|query-value|top-list,sum,per-second,context.cacheclusterid:20,context.env|context.team,context.cloud.region,"No Redis-family traffic, wrong namespace, or no Redis-family telemetry present",Misses are high-signal when shown as a ratio or paired with backend pressure,cloudwatch=CacheMisses|tsuga_guess=aws_elasticache_cache_misses,https://docs.aws.amazon.com/AmazonElastiCache/latest/dg/CacheMetrics.Redis.html
Redis/Valkey Efficiency,BytesUsedForCache_Redis,true,"Total bytes allocated by Valkey or Redis OSS for dataset, buffers, and other cache purposes. [Inferred from Std]",By,gauge,aws_elasticache_bytes_used_for_cache,query-value|timeseries,max,none,context.cacheclusterid:20,context.env|context.team,context.cloud.region,,Tier splits are useful when data tiering is enabled,cloudwatch=BytesUsedForCache|tsuga_guess=aws_elasticache_bytes_used_for_cache,https://docs.aws.amazon.com/AmazonElastiCache/latest/dg/CacheMetrics.Redis.html
Redis/Valkey Efficiency,DatabaseMemoryUsagePercentage,true,Percent of memory used by the Redis-family cluster. [Inferred from Std],percent,gauge,aws_elasticache_database_memory_usage_percentage,query-value|timeseries,max,none,context.cacheclusterid:20,context.env|context.team,context.cloud.region,,Do not confuse with total capacity percentage on data-tiered clusters,cloudwatch=DatabaseMemoryUsagePercentage|tsuga_guess=aws_elasticache_database_memory_usage_percentage,https://docs.aws.amazon.com/AmazonElastiCache/latest/dg/CacheMetrics.Redis.html
