theme,name,confirmed,definition,unit,type,tsuga_metric_name,widget_suggestions,aggregation,post_function,group_by,required_context_fields,optional_context_fields,absence_means,cardinality_footguns,variants,citations
Throughput/Usage,BytesInFromSource,true,"Bytes entering the NAT gateway from private-side sources; request-side egress baseline.",By,counter,aws_natgateway_bytes_in_from_source,"timeseries|query-value|top-list",sum,"rate","context.natgatewayid:10|context.cloud.region:10",context.env|context.team,context.cloud.account.id|context.cloud.provider|context.cloud.region|context.natgatewayid,"No request-side traffic, missing collector coverage, or wrong namespace prefix.","Prefer nat gateway id over workload-level identity to avoid cardinality explosion.",cloudwatch=BytesInFromSource,https://docs.aws.amazon.com/vpc/latest/userguide/metrics-dimensions-nat-gateway.html
Throughput/Usage,BytesOutToDestination,true,"Bytes forwarded from the NAT gateway to external destinations; confirms outbound forwarding volume.",By,counter,aws_natgateway_bytes_out_to_destination,"timeseries|query-value|top-list",sum,"rate","context.natgatewayid:10|context.cloud.region:10",context.env|context.team,context.cloud.account.id|context.cloud.provider|context.cloud.region|context.natgatewayid,"No forwarded outbound traffic, idle gateway, or ingest gap.","Do not group by low-level source IP unless Flow Logs prove bounded normalization.",cloudwatch=BytesOutToDestination,https://docs.aws.amazon.com/vpc/latest/userguide/metrics-dimensions-nat-gateway.html
Throughput/Usage,BytesInFromDestination,true,"Bytes returning from external destinations into the NAT gateway; response-path volume proxy.",By,counter,aws_natgateway_bytes_in_from_destination,"timeseries|query-value|top-list",sum,"rate","context.natgatewayid:10|context.cloud.region:10",context.env|context.team,context.cloud.account.id|context.cloud.provider|context.cloud.region|context.natgatewayid,"No return traffic, stalled dependencies, or missing data.","Interpret with request-side metrics; response traffic is naturally asymmetric.",cloudwatch=BytesInFromDestination,https://docs.aws.amazon.com/vpc/latest/userguide/metrics-dimensions-nat-gateway.html
Throughput/Usage,BytesOutToSource,true,"Bytes forwarded from the NAT gateway back to private-side sources; confirms response delivery.",By,counter,aws_natgateway_bytes_out_to_source,"timeseries|query-value|top-list",sum,"rate","context.natgatewayid:10|context.cloud.region:10",context.env|context.team,context.cloud.account.id|context.cloud.provider|context.cloud.region|context.natgatewayid,"No responses returned to workloads, no traffic, or ingest gap.","Avoid grouping by ephemeral source address if collector exports raw IPs.",cloudwatch=BytesOutToSource,https://docs.aws.amazon.com/vpc/latest/userguide/metrics-dimensions-nat-gateway.html
Throughput/Usage,PacketsInFromSource,true,"Packets entering the NAT gateway from private-side sources; request packet-rate baseline.",{packet},counter,aws_natgateway_packets_in_from_source,"timeseries|query-value|top-list",sum,"rate","context.natgatewayid:10|context.cloud.region:10",context.env|context.team,context.cloud.account.id|context.cloud.provider|context.cloud.region|context.natgatewayid,"No request-side packets or missing ingestion.","Packet metrics can be noisier than bytes for chatty protocols.",cloudwatch=PacketsInFromSource,https://docs.aws.amazon.com/vpc/latest/userguide/metrics-dimensions-nat-gateway.html
Throughput/Usage,PacketsOutToDestination,true,"Packets forwarded from NAT gateway to external destinations; outbound forwarding confirmation.",{packet},counter,aws_natgateway_packets_out_to_destination,"timeseries|query-value|top-list",sum,"rate","context.natgatewayid:10|context.cloud.region:10",context.env|context.team,context.cloud.account.id|context.cloud.provider|context.cloud.region|context.natgatewayid,"No forwarded packets, idle gateway, or missing coverage.","Pair with request-side packet metrics to spot forwarding gaps.",cloudwatch=PacketsOutToDestination,https://docs.aws.amazon.com/vpc/latest/userguide/metrics-dimensions-nat-gateway.html
Throughput/Usage,PacketsInFromDestination,true,"Packets returning from external destinations into the NAT gateway; response-path packet baseline.",{packet},counter,aws_natgateway_packets_in_from_destination,"timeseries|query-value|top-list",sum,"rate","context.natgatewayid:10|context.cloud.region:10",context.env|context.team,context.cloud.account.id|context.cloud.provider|context.cloud.region|context.natgatewayid,"No return packets, dependency stall, or collector gap.","Do not mistake natural packet asymmetry for packet loss without other signals.",cloudwatch=PacketsInFromDestination,https://docs.aws.amazon.com/vpc/latest/userguide/metrics-dimensions-nat-gateway.html
Throughput/Usage,PacketsOutToSource,true,"Packets forwarded from NAT gateway back to private-side sources; response delivery proxy.",{packet},counter,aws_natgateway_packets_out_to_source,"timeseries|query-value|top-list",sum,"rate","context.natgatewayid:10|context.cloud.region:10",context.env|context.team,context.cloud.account.id|context.cloud.provider|context.cloud.region|context.natgatewayid,"No response packets delivered, no traffic, or ingest gap.","Prefer nat gateway id over subnet id for default groupings.",cloudwatch=PacketsOutToSource,https://docs.aws.amazon.com/vpc/latest/userguide/metrics-dimensions-nat-gateway.html
Availability/Health,ConnectionAttemptCount,true,"New outbound connection attempts observed by the NAT gateway; baseline for success and failure ratios.",{connection},counter,aws_natgateway_connection_attempt_count,"timeseries|query-value|top-list",sum,"rate","context.natgatewayid:10|context.cloud.region:10",context.env|context.team,context.cloud.account.id|context.cloud.provider|context.cloud.region|context.natgatewayid,"No new connection demand or missing metric coverage.","A single hot destination can create pressure even if total attempts remain modest.",cloudwatch=ConnectionAttemptCount,https://docs.aws.amazon.com/vpc/latest/userguide/metrics-dimensions-nat-gateway.html
Availability/Health,ConnectionEstablishedCount,true,"Connections successfully established by the NAT gateway; direct proxy for translation success.",{connection},counter,aws_natgateway_connection_established_count,"timeseries|query-value|top-list",sum,"rate","context.natgatewayid:10|context.cloud.region:10",context.env|context.team,context.cloud.account.id|context.cloud.provider|context.cloud.region|context.natgatewayid,"No successful connections, no demand, or wrong namespace mapping.","Interpret with attempts to distinguish idle from failing.",cloudwatch=ConnectionEstablishedCount,https://docs.aws.amazon.com/vpc/latest/userguide/metrics-dimensions-nat-gateway.html
Capacity/Saturation,ActiveConnectionCount,true,"Concurrent active translated connections; core concurrency and saturation gauge.",{connection},gauge,aws_natgateway_active_connection_count,"timeseries|query-value|top-list",max,none,"context.natgatewayid:10|context.cloud.region:10",context.env|context.team,context.cloud.account.id|context.cloud.provider|context.cloud.region|context.natgatewayid,"Gateway is idle, absent, or data is missing.","Do not normalize or rate this gauge.",cloudwatch=ActiveConnectionCount,https://docs.aws.amazon.com/vpc/latest/userguide/metrics-dimensions-nat-gateway.html
Errors/Failures,ErrorPortAllocation,true,"Failed port allocations for new connections; direct sign that the gateway could not find a source port.",{error},counter,aws_natgateway_error_port_allocation,"timeseries|query-value|top-list",sum,"rate","context.natgatewayid:10|context.cloud.region:10",context.env|context.team,context.cloud.account.id|context.cloud.provider|context.cloud.region|context.natgatewayid,"No port exhaustion observed or no connection demand.","Keep windows tight; averages can hide short failure bursts.",cloudwatch=ErrorPortAllocation,https://docs.aws.amazon.com/vpc/latest/userguide/metrics-dimensions-nat-gateway.html
Errors/Failures,IdleTimeoutCount,true,"Connections closed after 350 seconds of inactivity; lifecycle/keepalive risk proxy rather than direct availability signal.",{timeout},counter,aws_natgateway_idle_timeout_count,"timeseries|query-value|top-list",sum,"rate","context.natgatewayid:10|context.cloud.region:10",context.env|context.team,context.cloud.account.id|context.cloud.provider|context.cloud.region|context.natgatewayid,"No idle expiries, no long-lived idle flows, or missing metric coverage.","Can spike because of protocol behavior, not gateway failure.",cloudwatch=IdleTimeoutCount,https://docs.aws.amazon.com/vpc/latest/userguide/metrics-dimensions-nat-gateway.html|https://docs.aws.amazon.com/vpc/latest/userguide/nat-gateway-troubleshooting.html
Errors/Failures,PacketsDropCount,true,"Packets dropped by the NAT gateway; strong forwarding-failure symptom.",{packet},counter,aws_natgateway_packets_drop_count,"timeseries|query-value|top-list",sum,"rate","context.natgatewayid:10|context.cloud.region:10",context.env|context.team,context.cloud.account.id|context.cloud.provider|context.cloud.region|context.natgatewayid,"No packet drops, no traffic, or collector gap.","Use with packet baselines to avoid overreacting to tiny absolute counts.",cloudwatch=PacketsDropCount,https://docs.aws.amazon.com/vpc/latest/userguide/metrics-dimensions-nat-gateway.html
Capacity/Saturation,PeakBytesPerSecond,true,"Peak byte throughput observed during the minute; burst headroom proxy.",By/s,gauge,aws_natgateway_peak_bytes_per_second,"timeseries|query-value|top-list",max,none,"context.natgatewayid:10|context.cloud.region:10",context.env|context.team,context.cloud.account.id|context.cloud.provider|context.cloud.region|context.natgatewayid,"No burst recorded, idle gateway, or missing data.","Peak and average should be read together; peak alone can overstate steady-state risk.",cloudwatch=PeakBytesPerSecond,https://docs.aws.amazon.com/vpc/latest/userguide/metrics-dimensions-nat-gateway.html
Capacity/Saturation,PeakPacketsPerSecond,true,"Peak packet throughput observed during the minute; packet-intensity headroom proxy.",{packet}/s,gauge,aws_natgateway_peak_packets_per_second,"timeseries|query-value|top-list",max,none,"context.natgatewayid:10|context.cloud.region:10",context.env|context.team,context.cloud.account.id|context.cloud.provider|context.cloud.region|context.natgatewayid,"No burst recorded, idle gateway, or missing data.","Packet-heavy workloads can stress limits before byte-heavy ones.",cloudwatch=PeakPacketsPerSecond,https://docs.aws.amazon.com/vpc/latest/userguide/metrics-dimensions-nat-gateway.html
