theme,name,confirmed,definition,unit,type,tsuga_metric_name,widget_suggestions,aggregation,post_function,group_by,required_context_fields,optional_context_fields,absence_means,cardinality_footguns,variants,citations
Availability/Health,k8s.pod.phase,true,Pod lifecycle phase — value is 1 for the active phase (Running/Pending/Failed/Succeeded/Unknown) per pod. Aggregating with filter on phase gives count of pods in that phase. Critical for tracking healthy vs unhealthy pod counts.,1,gauge,k8s.pod.phase,query-value|timeseries|top-list,sum,none,context.k8s.namespace.name:20|context.k8s.pod.status.phase:6|context.k8s.cluster.name:10,context.env|context.team,context.k8s.namespace.name|context.k8s.cluster.name,k8scluster receiver not deployed or API server RBAC missing,Filtering by phase attribute is required — do NOT sum all phases together as it double-counts; exact phase attribute field name must be confirmed in Stage 2,otel=k8s.pod.phase,https://github.com/open-telemetry/opentelemetry-collector-contrib/tree/main/receiver/k8sclusterreceiver
Availability/Health,k8s.container.ready,true,Number of ready containers per pod (or binary 0/1 per container depending on config). A container is ready when its readiness probe passes. Use to count ready vs total containers.,1,gauge,k8s.container.ready,query-value|timeseries|top-list,sum,none,context.k8s.namespace.name:20|context.k8s.cluster.name:10,context.env|context.team,context.k8s.pod.name:20|context.k8s.container.name:20,k8scluster receiver not deployed,context.k8s.pod.name has high cardinality — use in top-list only not timeseries,otel=k8s.container.ready,https://github.com/open-telemetry/opentelemetry-collector-contrib/tree/main/receiver/k8sclusterreceiver
Availability/Health,k8s.container.restarts,true,"Total number of container restarts since container start (gauge, not counter — Tsuga confirms gauge type). Rising values indicate CrashLoopBackOff or repeated failures. Use increase() over time window for restart rate detection.",count,gauge,k8s.container.restarts,timeseries|top-list|query-value,sum,none,context.k8s.namespace.name:20|context.k8s.cluster.name:10,context.env|context.team,context.k8s.pod.name:20|context.k8s.container.name:20,k8scluster receiver not deployed,Cumulative counter — raw value always grows; use rate() for restart rate; high cardinality pod/container names,otel=k8s.container.restarts,https://github.com/open-telemetry/opentelemetry-collector-contrib/tree/main/receiver/k8sclusterreceiver
Availability/Health,k8s.node.condition_ready,true,Node Ready condition: 1 when node is Ready (kubelet healthy and all checks passing) 0 when NotReady. Summing gives count of Ready nodes. A drop is a P1 incident signal.,1,gauge,k8s.node.condition_ready,query-value|timeseries|top-list,sum,none,context.k8s.cluster.name:10,context.env|context.team,context.k8s.node.name:20,k8scluster receiver not deployed,Safe (bounded by node count),otel=k8s.node.condition_ready,https://github.com/open-telemetry/opentelemetry-collector-contrib/tree/main/receiver/k8sclusterreceiver
Availability/Health,k8s.deployment.desired,true,Total number of desired (spec.replicas) pods for all deployments. Paired with k8s.deployment.available to compute unavailable replicas.,{pod},gauge,k8s.deployment.desired,timeseries|query-value,sum,none,context.k8s.namespace.name:20|context.k8s.cluster.name:10,context.env|context.team,context.k8s.deployment.name:20,k8scluster receiver not deployed,Safe — bounded by deployment count,otel=k8s.deployment.desired,https://github.com/open-telemetry/opentelemetry-collector-contrib/tree/main/receiver/k8sclusterreceiver
Availability/Health,k8s.deployment.available,true,Number of available (ready and running) pods for all deployments. Available < Desired means the deployment is degraded.,{pod},gauge,k8s.deployment.available,timeseries|query-value,sum,none,context.k8s.namespace.name:20|context.k8s.cluster.name:10,context.env|context.team,context.k8s.deployment.name:20,k8scluster receiver not deployed,Safe — bounded by deployment count,otel=k8s.deployment.available,https://github.com/open-telemetry/opentelemetry-collector-contrib/tree/main/receiver/k8sclusterreceiver
Availability/Health,k8s.replicaset.desired,true,Total desired pod count across all ReplicaSets. Includes both current and old RS during rolling updates — summing across RS may temporarily show 2x expected count during rollouts.,{pod},gauge,k8s.replicaset.desired,timeseries|query-value,sum,none,context.k8s.namespace.name:20|context.k8s.cluster.name:10,context.env|context.team,context.k8s.replicaset.name:20,k8scluster receiver not deployed,Old ReplicaSets from deployments may inflate counts during rollouts — filter by deployment name for accuracy,otel=k8s.replicaset.desired,https://github.com/open-telemetry/opentelemetry-collector-contrib/tree/main/receiver/k8sclusterreceiver
Availability/Health,k8s.replicaset.available,true,Number of available (ready and running) pods in all ReplicaSets. Drop below desired signals pods not yet ready or failing readiness probes.,{pod},gauge,k8s.replicaset.available,timeseries|query-value,sum,none,context.k8s.namespace.name:20|context.k8s.cluster.name:10,context.env|context.team,context.k8s.replicaset.name:20,k8scluster receiver not deployed,Safe — bounded by replicaset count,otel=k8s.replicaset.available,https://github.com/open-telemetry/opentelemetry-collector-contrib/tree/main/receiver/k8sclusterreceiver
Availability/Health,k8s.daemonset.desired_scheduled_nodes,true,Number of nodes where the DaemonSet should be running a pod (nodes matching node selector/tolerations). This is the expected coverage.,{node},gauge,k8s.daemonset.desired_scheduled_nodes,query-value|timeseries,sum,none,context.k8s.namespace.name:20|context.k8s.cluster.name:10,context.env|context.team,context.k8s.daemonset.name:20,k8scluster receiver not deployed,Safe — bounded by daemonset count,otel=k8s.daemonset.desired_scheduled_nodes,https://github.com/open-telemetry/opentelemetry-collector-contrib/tree/main/receiver/k8sclusterreceiver
Availability/Health,k8s.daemonset.current_scheduled_nodes,true,Number of nodes actually running a DaemonSet pod. Should equal desired_scheduled_nodes. A gap indicates pods failed to schedule.,{node},gauge,k8s.daemonset.current_scheduled_nodes,query-value|timeseries,sum,none,context.k8s.namespace.name:20|context.k8s.cluster.name:10,context.env|context.team,context.k8s.daemonset.name:20,k8scluster receiver not deployed,Safe — bounded by daemonset count,otel=k8s.daemonset.current_scheduled_nodes,https://github.com/open-telemetry/opentelemetry-collector-contrib/tree/main/receiver/k8sclusterreceiver
