theme,name,confirmed,definition,unit,type,tsuga_metric_name,widget_suggestions,aggregation,post_function,group_by,required_context_fields,optional_context_fields,absence_means,cardinality_footguns,variants,citations
Availability/Health,PercentIOLimit,true,Shows how close a General Purpose EFS file system is to reaching its I/O limit. Primary headroom signal when available.,%,summary,aws_efs_percent_io_limit,query-value|timeseries,max,none,context.filesystemid:10,context.env|context.team,context.cloud.region|context.cloud.account.id,File system is not General Purpose or exporter omitted the metric,Safe; group by file system only,cloudwatch=PercentIOLimit,https://docs.aws.amazon.com/efs/latest/ug/efs-metrics.html|https://docs.aws.amazon.com/efs/latest/ug/performance.html
Capacity/Saturation,BurstCreditBalance,true,Burst credits available to a bursting-mode file system. Falling balance means future throughput pressure even if current traffic still looks acceptable.,By,summary,aws_efs_burst_credit_balance,query-value|timeseries,min,none,context.filesystemid:10,context.env|context.team,context.cloud.region|context.cloud.account.id,File system is not using Bursting throughput or exporter omitted the metric,Safe,cloudwatch=BurstCreditBalance,https://docs.aws.amazon.com/efs/latest/ug/efs-metrics.html|https://docs.aws.amazon.com/efs/latest/ug/performance.html
Capacity/Saturation,PermittedThroughput,true,Maximum throughput the file system can currently drive. Use as the denominator for throughput utilization and to distinguish healthy load from throughput ceilings.,By/s,summary,aws_efs_permitted_throughput,query-value|timeseries|top-list,average,none,context.filesystemid:10,context.env|context.team,context.cloud.region|context.cloud.account.id,Exporter gap or file system missing from inventory,Safe,cloudwatch=PermittedThroughput,https://docs.aws.amazon.com/efs/latest/ug/efs-metrics.html|https://docs.aws.amazon.com/efs/latest/ug/performance.html
Throughput/Usage,MeteredIOBytes,true,Throughput-accounted bytes for all operations after EFS read-discount rules. Best numerator for throughput utilization math.,By,summary,aws_efs_metered_io_bytes,timeseries|query-value|top-list,sum,per-second,context.filesystemid:10,context.env|context.team,context.cloud.region|context.cloud.account.id,File system is idle or exporter omitted the metric,Safe,cloudwatch=MeteredIOBytes,https://docs.aws.amazon.com/efs/latest/ug/efs-metrics.html|https://docs.aws.amazon.com/efs/latest/ug/performance.html
Throughput/Usage,TotalIOBytes,true,Actual bytes processed for all EFS operations without read discounts. Useful for true workload volume and discount-ratio math.,By,summary,aws_efs_total_io_bytes,timeseries|query-value|top-list,sum,per-second,context.filesystemid:10,context.env|context.team,context.cloud.region|context.cloud.account.id,File system is idle or exporter omitted the metric,Safe,cloudwatch=TotalIOBytes,https://docs.aws.amazon.com/efs/latest/ug/efs-metrics.html
Throughput/Usage,MetadataIOBytes,true,Actual bytes consumed by metadata operations. High values often indicate namespace or tiny-file pressure.,By,summary,aws_efs_metadata_io_bytes,timeseries|query-value|top-list,sum,per-second,context.filesystemid:10,context.env|context.team,context.cloud.region|context.cloud.account.id,No metadata-heavy operations during the period,Safe,cloudwatch=MetadataIOBytes,https://docs.aws.amazon.com/efs/latest/ug/efs-metrics.html
Throughput/Usage,MetadataReadIOBytes,true,Actual bytes consumed by metadata read operations such as namespace scans and stats.,By,summary,aws_efs_metadata_read_io_bytes,timeseries|top-list,sum,per-second,context.filesystemid:10,context.env|context.team,context.cloud.region|context.cloud.account.id,No metadata reads during the period,Safe,cloudwatch=MetadataReadIOBytes,https://docs.aws.amazon.com/efs/latest/ug/efs-metrics.html
Throughput/Usage,MetadataWriteIOBytes,true,Actual bytes consumed by metadata write operations such as creates, deletes, or permission changes.,By,summary,aws_efs_metadata_write_io_bytes,timeseries|top-list,sum,per-second,context.filesystemid:10,context.env|context.team,context.cloud.region|context.cloud.account.id,No metadata writes during the period,Safe,cloudwatch=MetadataWriteIOBytes,https://docs.aws.amazon.com/efs/latest/ug/efs-metrics.html
Availability/Health,ClientConnections,true,Number of client connections to a file system. Good blast-radius signal for fleet fanout and mount churn.,{connection},summary,aws_efs_client_connections,query-value|timeseries|top-list,sum,none,context.filesystemid:10,context.env|context.team,context.cloud.region|context.cloud.account.id,No connected clients or exporter omitted the metric,Safe for file system; do not infer per-host health from this alone,cloudwatch=ClientConnections,https://docs.aws.amazon.com/efs/latest/ug/efs-metrics.html
Capacity/Saturation,StorageBytes,true,File system size across storage classes. Primary storage and cost proxy. Emitted every 15 minutes rather than every minute.,By,summary,aws_efs_storage_bytes,query-value|timeseries|bar,max,none,context.filesystemid:10|context.storageclass:6,context.env|context.team,context.cloud.region|context.cloud.account.id|context.storageclass,Storage-class dimension missing or file system missing from inventory,Safe on file system id and storageclass,cloudwatch=StorageBytes,https://docs.aws.amazon.com/efs/latest/ug/efs-metrics.html|https://docs.aws.amazon.com/efs/latest/ug/features.html
Throughput/Usage,DataReadIOBytes,false,MISSING — documented by AWS but not present in Tsuga for this workspace. Read/write demand must be inferred from TotalIOBytes, MeteredIOBytes, and metadata split instead.,By,summary,MISSING,N/A,N/A,N/A,context.env|context.team,context.cloud.region|context.cloud.account.id,Metric not exported by collector or omitted from workspace,N/A,cloudwatch=DataReadIOBytes,https://docs.aws.amazon.com/efs/latest/ug/efs-metrics.html
Throughput/Usage,DataWriteIOBytes,false,MISSING — documented by AWS but not present in Tsuga for this workspace. Write-heavy behavior must be inferred indirectly because the direct write series is absent.,By,summary,MISSING,N/A,N/A,N/A,context.env|context.team,context.cloud.region|context.cloud.account.id,Metric not exported by collector or omitted from workspace,N/A,cloudwatch=DataWriteIOBytes,https://docs.aws.amazon.com/efs/latest/ug/efs-metrics.html
