theme,name,confirmed,definition,unit,type,tsuga_metric_name,widget_suggestions,aggregation,post_function,group_by,required_context_fields,optional_context_fields,absence_means,cardinality_footguns,variants,citations
Throughput/Usage,istio_requests_total,true,Total service requests seen by Istio and the main denominator for request-based health views,{request},counter,istio_requests_total,query-value|timeseries|top-list,sum,rate,context.destination_service:20|context.destination_canonical_service:15|context.destination_service_namespace:20,context.env|context.team,context.reporter|context.destination_service|context.response_code|context.connection_security_policy,No request traffic or request telemetry missing,double-count risk if source and destination reporter are mixed,prom=istio_requests_total,https://istio.io/latest/docs/reference/config/metrics/|https://istio.io/latest/docs/tasks/observability/metrics/querying-metrics/
Latency/Performance,istio_request_duration_milliseconds,true,Request latency histogram in milliseconds for mesh traffic used for p95 and mean latency views,ms,histogram,istio_request_duration_milliseconds,query-value|timeseries|top-list,percentile(p95),none,context.destination_service:20|context.destination_service_namespace:20,context.env|context.team,context.reporter|context.destination_service|context.request_protocol,Latency histogram not scraped or service not receiving traffic,do not group by destination workload and destination service together on overview charts,prom=istio_request_duration_milliseconds,https://istio.io/latest/docs/reference/config/metrics/
Throughput/Usage,istio_request_bytes,true,Histogram of request payload sizes in bytes used to explain traffic mix and latency changes,By,histogram,istio_request_bytes,query-value|timeseries|top-list,average,none,context.destination_service:20|context.destination_service_namespace:20,context.env|context.team,context.reporter|context.request_protocol,Request-size telemetry missing or protocol mix not represented,high-cardinality service plus app breakdowns can clutter charts,prom=istio_request_bytes,https://istio.io/latest/docs/reference/config/metrics/
Throughput/Usage,istio_response_bytes,true,Histogram of response payload sizes in bytes used to identify heavy responders and egress-heavy services,By,histogram,istio_response_bytes,query-value|timeseries|top-list,average,none,context.destination_service:20|context.destination_service_namespace:20,context.env|context.team,context.reporter|context.request_protocol,Response-size telemetry missing or protocol mix not represented,avoid layering response size with response code and workload in the same chart,prom=istio_response_bytes,https://istio.io/latest/docs/reference/config/metrics/
Throughput/Usage,istio_request_messages_total,true,Total gRPC request messages sent from the client side of a gRPC exchange,{message},counter,istio_request_messages_total,query-value|timeseries|top-list,sum,rate,context.destination_service:20|context.destination_service_namespace:20,context.env|context.team,context.reporter|context.destination_service,Either no gRPC traffic or gRPC-specific metric absent on this path,group only by bounded destination service or namespace keys,prom=istio_request_messages_total,https://istio.io/latest/docs/reference/config/telemetry/
Throughput/Usage,istio_response_messages_total,true,Total gRPC response messages sent from the server side of a gRPC exchange,{message},counter,istio_response_messages_total,query-value|timeseries|top-list,sum,rate,context.destination_service:20|context.destination_service_namespace:20,context.env|context.team,context.reporter|context.destination_service,Either no gRPC traffic or gRPC-specific metric absent on this path,group only by bounded destination service or namespace keys,prom=istio_response_messages_total,https://istio.io/latest/docs/reference/config/telemetry/
Availability/Health,pilot_endpoint_not_ready,true,Number of endpoints known to Pilot that are not ready and may reduce destination reachability,{endpoint},gauge,pilot_endpoint_not_ready,query-value|timeseries,max,none,,context.env|context.team,context.service.name|context.telemetry_source,No current endpoint-readiness issue or pilot telemetry absent,Safe,prom=pilot_endpoint_not_ready,https://istio.io/latest/docs/ops/deployment/performance-and-scalability/
Availability/Health,pilot_dns_cluster_without_endpoints,true,Count of DNS-discovered clusters with no endpoints available to Pilot,{cluster},gauge,pilot_dns_cluster_without_endpoints,query-value|timeseries,max,none,,context.env|context.team,context.service.name|context.telemetry_source,No currently empty DNS-backed cluster set or no pilot telemetry,Safe,prom=pilot_dns_cluster_without_endpoints,https://istio.io/latest/docs/ops/deployment/performance-and-scalability/
Capacity/Saturation,pilot_xds_pushes,true,Total XDS pushes emitted by Pilot and a useful measure of control-plane churn,{push},counter,pilot_xds_pushes,query-value|timeseries|bar,sum,rate,context.type:10,context.env|context.team,context.type|context.service.name,No recent push activity or pilot telemetry missing,type dimension can vary by push family but remains bounded,prom=pilot_xds_pushes,https://istio.io/latest/docs/ops/deployment/performance-and-scalability/
Capacity/Saturation,pilot_push_triggers,true,Total push-trigger events recorded by Pilot showing why control-plane recalculations are happening,{trigger},counter,pilot_push_triggers,query-value|timeseries|bar,sum,rate,context.type:10,context.env|context.team,context.type|context.service.name,No recent trigger activity or pilot telemetry missing,Safe,prom=pilot_push_triggers,https://istio.io/latest/docs/ops/deployment/performance-and-scalability/
Latency/Performance,pilot_proxy_convergence_time,true,Histogram of how long proxies take to converge on a pushed configuration,ms,histogram,pilot_proxy_convergence_time,query-value|timeseries,percentile(p95),none,,context.env|context.team,context.service.name|context.telemetry_source,No recent convergence samples or no pilot telemetry,Safe,prom=pilot_proxy_convergence_time,https://istio.io/latest/docs/ops/deployment/performance-and-scalability/
Latency/Performance,pilot_proxy_queue_time,true,Histogram of how long proxy update work waits in Pilot before processing,ms,histogram,pilot_proxy_queue_time,query-value|timeseries,percentile(p95),none,,context.env|context.team,context.service.name|context.telemetry_source,No recent queue-time samples or no pilot telemetry,Safe,prom=pilot_proxy_queue_time,https://istio.io/latest/docs/ops/deployment/performance-and-scalability/
Cost,NOT_APPLICABLE,true,Direct cost metrics are not part of Istio standard telemetry so request and payload metrics remain the best proxy signals for mesh cost pressure,Unknown,Unknown,NOT_APPLICABLE,query-value|timeseries,Unknown,none,,context.env|context.team,context.destination_service|context.destination_service_namespace,No direct cost series should be expected,Safe,proxy=istio_request_bytes|istio_response_bytes|istio_requests_total,https://istio.io/latest/docs/reference/config/metrics/
