theme,name,confirmed,definition,unit,type,tsuga_metric_name,widget_suggestions,aggregation,post_function,group_by,required_context_fields,optional_context_fields,absence_means,cardinality_footguns,variants,citations
Availability/Health,RunningTaskCount,true,Number of tasks in RUNNING state for a service. Primary health signal — must equal DesiredTaskCount.,1,summary,ecs_containerinsights_running_task_count,timeseries|query-value|top-list,avg,none,context.servicename:25|context.clustername:10,context.env|context.team,context.cloud.region|context.cloud.account.id,Container Insights not enabled or no services in cluster,Safe,cw=ECS/ContainerInsights/RunningTaskCount,https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/Container-Insights-metrics-ECS.html
Availability/Health,PendingTaskCount,true,Number of tasks in PENDING state for a service. Sustained non-zero indicates placement failures or resource shortage.,1,summary,ecs_containerinsights_pending_task_count,timeseries|query-value|top-list,avg,none,context.servicename:25|context.clustername:10,context.env|context.team,context.cloud.region|context.cloud.account.id,Container Insights not enabled or all tasks running,Safe,cw=ECS/ContainerInsights/PendingTaskCount,https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/Container-Insights-metrics-ECS.html
Availability/Health,DesiredTaskCount,true,Target number of running tasks for a service. Set by operator or auto-scaling policy.,1,summary,ecs_containerinsights_desired_task_count,timeseries|query-value,avg,none,context.servicename:25|context.clustername:10,context.env|context.team,context.cloud.region|context.cloud.account.id,Container Insights not enabled,Safe,cw=ECS/ContainerInsights/DesiredTaskCount,https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/Container-Insights-metrics-ECS.html
Availability/Health,DeploymentCount,true,Number of active deployments for a service. >1 means a deployment is in progress or stuck.,1,summary,ecs_containerinsights_deployment_count,query-value|timeseries,max,none,context.servicename:25|context.clustername:10,context.env|context.team,context.cloud.region|context.cloud.account.id,Container Insights not enabled,Safe,cw=ECS/ContainerInsights/DeploymentCount,https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/Container-Insights-metrics-ECS.html
Availability/Health,RestartCount,true,"Cumulative container restart count. Rising slope indicates container crash loops or health check failures.",1,summary,ecs_containerinsights_restart_count,timeseries|query-value,sum,rate,context.servicename:25|context.clustername:10|context.taskdefinitionfamily:25,context.env|context.team,context.cloud.region|context.cloud.account.id|context.containername,No restarts (healthy) or Container Insights not enabled,Safe,cw=ECS/ContainerInsights/RestartCount,https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/Container-Insights-metrics-ECS.html
Availability/Health,TaskCount,true,Total number of tasks running in the cluster (all services + standalone tasks).,1,summary,ecs_containerinsights_task_count,query-value|timeseries,avg,none,context.clustername:10,context.env|context.team,context.cloud.region,Container Insights not enabled,Safe,cw=ECS/ContainerInsights/TaskCount,https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/Container-Insights-metrics-ECS.html
Availability/Health,ServiceCount,true,Number of services in the cluster.,1,summary,ecs_containerinsights_service_count,query-value,avg,none,context.clustername:10,context.env|context.team,context.cloud.region,Container Insights not enabled,Safe,cw=ECS/ContainerInsights/ServiceCount,https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/Container-Insights-metrics-ECS.html
Availability/Health,ContainerInstanceCount,true,Number of EC2 container instances registered with the cluster. EC2 launch type only.,1,summary,ecs_containerinsights_container_instance_count,query-value|timeseries,avg,none,context.clustername:10,context.env|context.team,context.cloud.region,EC2 launch type not used or Container Insights not enabled,Safe,cw=ECS/ContainerInsights/ContainerInstanceCount,https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/Container-Insights-metrics-ECS.html
Performance/Latency,CPUUtilization,true,"Percentage of CPU units in use. Service-level available for Fargate+EC2. Cluster-level available for EC2 only. Can exceed 100% on EC2 if no hard CPU limit set.",percent,summary,aws_ecs_cpu_utilization,timeseries|query-value|top-list,avg,none,context.servicename:25|context.clustername:10,context.env|context.team,context.cloud.region|context.cloud.account.id,No tasks running in service/cluster,Safe,cw=AWS/ECS/CPUUtilization,https://docs.aws.amazon.com/AmazonECS/latest/developerguide/available-metrics.html
Performance/Latency,MemoryUtilization,true,"Percentage of memory in use. Service-level available for Fargate+EC2. Cluster-level available for EC2 only. Approaching 100% = OOM kill risk.",percent,summary,aws_ecs_memory_utilization,timeseries|query-value|top-list,avg,none,context.servicename:25|context.clustername:10,context.env|context.team,context.cloud.region|context.cloud.account.id,No tasks running in service/cluster,Safe,cw=AWS/ECS/MemoryUtilization,https://docs.aws.amazon.com/AmazonECS/latest/developerguide/available-metrics.html
