theme,name,confirmed,definition,unit,type,tsuga_metric_name,widget_suggestions,aggregation,post_function,group_by,required_context_fields,optional_context_fields,absence_means,cardinality_footguns,variants,citations
Throughput/Usage,otelcol_receiver_accepted_spans_total,true,Number of spans successfully accepted by the receiver and passed into the pipeline. Primary trace ingest throughput signal.,{span},counter,otelcol_receiver_accepted_spans_total,timeseries|query-value|top-list,sum,per-second,context.receiver:10|context.transport:3,context.env|context.team,context.k8s.cluster.name:10|context.service.instance.id:10,SDK instrumentation not running or collector endpoint misconfigured. Distinguish from refused (backpressure).,context.receiver safe (few values). Avoid context.service.instance.id for group-by (high cardinality).,prometheus=otelcol_receiver_accepted_spans_total|otlp=otelcol_receiver_accepted_spans,https://opentelemetry.io/docs/collector/internal-telemetry/
Throughput/Usage,otelcol_receiver_accepted_metric_points_total,true,Number of metric data points successfully accepted by the receiver. Measures metrics pipeline ingest throughput. Often orders-of-magnitude higher than span count.,{datapoint},counter,otelcol_receiver_accepted_metric_points_total,timeseries|query-value,sum,per-second,context.receiver:10|context.transport:3,context.env|context.team,context.k8s.cluster.name:10|context.service.instance.id:10,No metric data is being ingested. Check if receivers are configured and scrape targets are reachable.,context.receiver safe.,prometheus=otelcol_receiver_accepted_metric_points_total|otlp=otelcol_receiver_accepted_metric_points,https://opentelemetry.io/docs/collector/internal-telemetry/
Throughput/Usage,otelcol_receiver_accepted_log_records_total,true,Number of log records successfully accepted by the receiver. Measures log pipeline ingest throughput.,{logrecord},counter,otelcol_receiver_accepted_log_records_total,timeseries|query-value,sum,per-second,context.receiver:10|context.transport:3,context.env|context.team,context.k8s.cluster.name:10|context.service.instance.id:10,No log data ingested. Check filelog or OTLP log receiver configuration.,context.receiver safe.,prometheus=otelcol_receiver_accepted_log_records_total|otlp=otelcol_receiver_accepted_log_records,https://opentelemetry.io/docs/collector/internal-telemetry/
Errors/Failures,otelcol_receiver_refused_spans_total,true,Number of spans the receiver refused by sending backpressure to the SDK. NOT data loss — the SDK buffers and retries. Sustained non-zero rate indicates downstream congestion propagating upstream.,{span},counter,otelcol_receiver_refused_spans_total,timeseries|query-value,sum,per-second,context.receiver:10|context.transport:3,context.env|context.team,context.k8s.cluster.name:10|context.service.instance.id:10,No backpressure on trace ingest (healthy) OR self-telemetry not configured.,context.receiver safe.,prometheus=otelcol_receiver_refused_spans_total|otlp=otelcol_receiver_refused_spans,https://opentelemetry.io/docs/collector/internal-telemetry/
Errors/Failures,otelcol_receiver_refused_metric_points_total,true,Number of metric data points refused by the receiver (backpressure). Same semantics as refused_spans — not data loss.,{datapoint},counter,otelcol_receiver_refused_metric_points_total,timeseries|query-value,sum,per-second,context.receiver:10,context.env|context.team,context.k8s.cluster.name:10|context.service.instance.id:10,No backpressure on metrics pipeline (healthy).,context.receiver safe.,prometheus=otelcol_receiver_refused_metric_points_total|otlp=otelcol_receiver_refused_metric_points,https://opentelemetry.io/docs/collector/internal-telemetry/
Errors/Failures,otelcol_receiver_refused_log_records_total,true,Number of log records refused by the receiver (backpressure). Not data loss.,{logrecord},counter,otelcol_receiver_refused_log_records_total,timeseries|query-value,sum,per-second,context.receiver:10,context.env|context.team,context.k8s.cluster.name:10|context.service.instance.id:10,No backpressure on log pipeline (healthy).,context.receiver safe.,prometheus=otelcol_receiver_refused_log_records_total|otlp=otelcol_receiver_refused_log_records,https://opentelemetry.io/docs/collector/internal-telemetry/
Errors/Failures,otelcol_receiver_failed_spans_total,true,Number of spans that failed at the receiver due to decode/parse errors before entering the pipeline. These are permanently lost. Non-zero rate indicates malformed payloads from the sending SDK.,{span},counter,otelcol_receiver_failed_spans_total,timeseries|query-value,sum,per-second,context.receiver:10|context.transport:3,context.env|context.team,context.k8s.cluster.name:10|context.service.instance.id:10,No parse errors (healthy). If absent alongside all other otelcol metrics — self-telemetry disabled.,context.receiver safe.,prometheus=otelcol_receiver_failed_spans_total|otlp=otelcol_receiver_failed_spans,https://opentelemetry.io/docs/collector/internal-telemetry/
Errors/Failures,otelcol_receiver_failed_metric_points_total,true,Number of metric data points that failed at the receiver due to parse/decode errors. Permanently lost.,{datapoint},counter,otelcol_receiver_failed_metric_points_total,timeseries|query-value,sum,per-second,context.receiver:10,context.env|context.team,context.k8s.cluster.name:10|context.service.instance.id:10,No parse errors (healthy).,context.receiver safe.,prometheus=otelcol_receiver_failed_metric_points_total|otlp=otelcol_receiver_failed_metric_points,https://opentelemetry.io/docs/collector/internal-telemetry/
Errors/Failures,otelcol_receiver_failed_log_records_total,true,Number of log records that failed at the receiver due to parse/decode errors. Permanently lost.,{logrecord},counter,otelcol_receiver_failed_log_records_total,timeseries|query-value,sum,per-second,context.receiver:10,context.env|context.team,context.k8s.cluster.name:10|context.service.instance.id:10,No parse errors (healthy).,context.receiver safe.,prometheus=otelcol_receiver_failed_log_records_total|otlp=otelcol_receiver_failed_log_records,https://opentelemetry.io/docs/collector/internal-telemetry/
Throughput/Usage,otelcol_exporter_sent_spans_total,true,Number of spans successfully sent to the backend. Definitive success signal for the trace pipeline. Should closely match receiver_accepted_spans_total in a healthy pipeline.,{span},counter,otelcol_exporter_sent_spans_total,timeseries|query-value|top-list,sum,per-second,context.exporter:10,context.env|context.team,context.k8s.cluster.name:10|context.service.instance.id:10|context.server.address:5,Exporter not configured or backend not reachable (all items failing or queued).,context.exporter safe (few exporters).,prometheus=otelcol_exporter_sent_spans_total|otlp=otelcol_exporter_sent_spans,https://opentelemetry.io/docs/collector/internal-telemetry/
