theme,name,confirmed,definition,unit,type,tsuga_metric_name,widget_suggestions,aggregation,post_function,group_by,required_context_fields,optional_context_fields,absence_means,cardinality_footguns,variants,citations
Throughput/Usage,Invocations,true,"Accepted Lambda invocation count; primary demand baseline and denominator for health ratios.",{invocation},counter,aws_lambda_invocations,"timeseries|query-value|top-list",sum,rate,"context.functionname:20|context.cloud.region:10",context.env|context.team|context.functionname,context.cloud.region|context.cloud.account.id|context.resource,"No matching traffic, wrong namespace mapping, or collector gap.","Stay at function or region level; do not group by request-level fields.",cloudwatch=Invocations,https://docs.aws.amazon.com/lambda/latest/dg/monitoring-metrics-types.html
Errors/Failures,Errors,true,"Function invocation errors returned to Lambda; code or dependency failure symptom.",{error},counter,aws_lambda_errors,"timeseries|query-value|top-list",sum,rate,"context.functionname:20|context.cloud.region:10",context.env|context.team|context.functionname,context.cloud.region|context.cloud.account.id|context.resource,"No recent execution failures, no traffic, or missing data.","Keep separate from throttles because they represent different failure domains.",cloudwatch=Errors,https://docs.aws.amazon.com/lambda/latest/dg/monitoring-metrics-types.html
Errors/Failures,Throttles,true,"Invocations rejected because concurrency capacity was unavailable.",{throttle},counter,aws_lambda_throttles,"timeseries|query-value|top-list",sum,rate,"context.functionname:20|context.cloud.region:10",context.env|context.team|context.functionname,context.cloud.region|context.cloud.account.id|context.resource,"No capacity rejection, no traffic, or missing data.","Interpret against account concurrency signals before blaming one function.",cloudwatch=Throttles,https://docs.aws.amazon.com/lambda/latest/dg/monitoring-metrics-types.html|https://docs.aws.amazon.com/lambda/latest/dg/configuration-concurrency.html
Performance/Latency,Duration,true,"Execution duration for Lambda handler runtime; primary processing-latency signal.",ms,summary,aws_lambda_duration,"timeseries|query-value|top-list",average,none,"context.functionname:20|context.resource:15",context.env|context.team|context.functionname,context.cloud.region|context.cloud.account.id|context.resource,"No executions in window, unsupported statistic selection, or ingest gap.","Average can hide tails; prefer max or top-list views for triage.",cloudwatch=Duration,https://docs.aws.amazon.com/lambda/latest/dg/monitoring-metrics-types.html
Capacity/Saturation,ConcurrentExecutions,true,"Current number of in-flight Lambda executions; primary function-level saturation signal.",{execution},summary,aws_lambda_concurrent_executions,"timeseries|query-value|top-list",max,none,"context.functionname:20|context.cloud.region:10",context.env|context.team|context.functionname,context.cloud.region|context.cloud.account.id|context.resource,"Function idle, not instrumented, or namespace mismatch.","Treat as level-like despite Tsuga catalog temporality being cumulative/summary.",cloudwatch=ConcurrentExecutions,https://docs.aws.amazon.com/lambda/latest/dg/monitoring-metrics-types.html
Throughput/Usage,AsyncEventsReceived,true,"Async events accepted into Lambda's internal queue.",{event},counter,aws_lambda_async_events_received,"timeseries|query-value|top-list",sum,rate,"context.functionname:20|context.cloud.region:10",context.env|context.team|context.functionname,context.cloud.region|context.cloud.account.id|context.resource,"No async traffic, sync-only function, or missing data.","Interpret only for async-capable workflows.",cloudwatch=AsyncEventsReceived,https://docs.aws.amazon.com/lambda/latest/dg/monitoring-metrics-types.html|https://docs.aws.amazon.com/lambda/latest/dg/invocation-async.html
Errors/Failures,AsyncEventsDropped,true,"Async events dropped before successful processing.",{event},counter,aws_lambda_async_events_dropped,"timeseries|query-value|top-list",sum,rate,"context.functionname:20|context.cloud.region:10",context.env|context.team|context.functionname,context.cloud.region|context.cloud.account.id|context.resource,"No async drops, async path unused, or missing data.","Small counts still represent lost work.",cloudwatch=AsyncEventsDropped,https://docs.aws.amazon.com/lambda/latest/dg/monitoring-metrics-types.html|https://docs.aws.amazon.com/lambda/latest/dg/invocation-async.html
Performance/Latency,AsyncEventAge,true,"Age of the oldest event in Lambda's async queue.",ms,summary,aws_lambda_async_event_age,"timeseries|query-value|top-list",max,none,"context.functionname:20|context.cloud.region:10",context.env|context.team|context.functionname,context.cloud.region|context.cloud.account.id|context.resource,"No async backlog, async path unused, or missing data.","Age matters more than count when consumers are delayed.",cloudwatch=AsyncEventAge,https://docs.aws.amazon.com/lambda/latest/dg/monitoring-metrics-types.html|https://docs.aws.amazon.com/lambda/latest/dg/invocation-async.html
Performance/Latency,PostRuntimeExtensionsDuration,true,"Tail time spent after the handler returns while extensions continue processing.",ms,summary,aws_lambda_post_runtime_extensions_duration,"timeseries|query-value|top-list",max,none,"context.functionname:20|context.resource:15",context.env|context.team|context.functionname,context.cloud.region|context.cloud.account.id|context.resource,"No extensions present, no executions, or feature not emitted.","Useful only when compared to Duration; do not treat as the primary latency signal.",cloudwatch=PostRuntimeExtensionsDuration,https://docs.aws.amazon.com/lambda/latest/dg/monitoring-metrics-types.html|https://docs.aws.amazon.com/lambda/latest/dg/runtimes-telemetry-api.html
Capacity/Saturation,ClaimedAccountConcurrency,true,"Amount of account concurrency currently claimed by Lambda workloads; account-level saturation context.",{execution},summary,aws_lambda_claimed_account_concurrency,"timeseries|query-value",max,none,"context.cloud.account.id:10|context.cloud.region:10",context.env|context.team,context.cloud.region|context.cloud.account.id,"Metric absent if account-level concurrency export is disabled.","Account-level only; no function grouping available.",cloudwatch=ClaimedAccountConcurrency,https://docs.aws.amazon.com/lambda/latest/dg/monitoring-metrics-types.html|https://docs.aws.amazon.com/lambda/latest/dg/configuration-concurrency.html
Capacity/Saturation,UnreservedConcurrentExecutions,true,"Concurrent executions consuming the shared unreserved account pool.",{execution},summary,aws_lambda_unreserved_concurrent_executions,"timeseries|query-value",max,none,"context.cloud.account.id:10|context.cloud.region:10",context.env|context.team,context.cloud.region|context.cloud.account.id,"Metric absent if no unreserved concurrency activity is exported.","Account-level only; use with throttles to spot shared-pool pressure.",cloudwatch=UnreservedConcurrentExecutions,https://docs.aws.amazon.com/lambda/latest/dg/monitoring-metrics-types.html|https://docs.aws.amazon.com/lambda/latest/dg/configuration-concurrency.html
Capacity/Saturation,ProvisionedConcurrentExecutions,false,"Number of provisioned execution environments actively serving work. Not found in Tsuga during Stage 2 and should remain a gated optional metric.",{execution},Unknown,aws_lambda_provisioned_concurrent_executions,"timeseries|query-value|top-list",max,none,"context.functionname:20|context.cloud.region:10",context.env|context.team|context.functionname,context.cloud.region|context.cloud.account.id|context.resource,"Provisioned concurrency not configured, not ingested, or metric family absent.","Keep gated until Tsuga discovery confirms availability.",cloudwatch=ProvisionedConcurrentExecutions,https://docs.aws.amazon.com/lambda/latest/dg/monitoring-metrics-types.html|https://docs.aws.amazon.com/lambda/latest/dg/provisioned-concurrency.html
Capacity/Saturation,ProvisionedConcurrencyUtilization,false,"Share of provisioned concurrency in use. Not found in Tsuga during Stage 2 and should remain gated.",1,Unknown,aws_lambda_provisioned_concurrency_utilization,"timeseries|query-value|top-list",max,none,"context.functionname:20|context.cloud.region:10",context.env|context.team|context.functionname,context.cloud.region|context.cloud.account.id|context.resource,"Provisioned concurrency not enabled or not ingested.","Do not compare across functions unless the feature exists and is standardized.",cloudwatch=ProvisionedConcurrencyUtilization,https://docs.aws.amazon.com/lambda/latest/dg/monitoring-metrics-types.html|https://docs.aws.amazon.com/lambda/latest/dg/provisioned-concurrency.html
Throughput/Usage,ProvisionedConcurrencyInvocations,false,"Invocations served by provisioned concurrency environments. Not found in Tsuga during Stage 2.",{invocation},Unknown,aws_lambda_provisioned_concurrency_invocations,"timeseries|query-value|top-list",sum,rate,"context.functionname:20|context.cloud.region:10",context.env|context.team|context.functionname,context.cloud.region|context.cloud.account.id|context.resource,"Provisioned concurrency not enabled, not ingested, or no traffic.","Use with spillover only when Tsuga actually exports both metrics.",cloudwatch=ProvisionedConcurrencyInvocations,https://docs.aws.amazon.com/lambda/latest/dg/monitoring-metrics-types.html
Errors/Failures,ProvisionedConcurrencySpilloverInvocations,false,"Invocations that overflowed provisioned concurrency. Not found in Tsuga during Stage 2.",{invocation},Unknown,aws_lambda_provisioned_concurrency_spillover_invocations,"timeseries|query-value|top-list",sum,rate,"context.functionname:20|context.cloud.region:10",context.env|context.team|context.functionname,context.cloud.region|context.cloud.account.id|context.resource,"Provisioned concurrency not enabled, not ingested, or no spillover.","Keep gated until discovered.",cloudwatch=ProvisionedConcurrencySpilloverInvocations,https://docs.aws.amazon.com/lambda/latest/dg/monitoring-metrics-types.html|https://docs.aws.amazon.com/lambda/latest/dg/provisioned-concurrency.html
