theme,name,confirmed,definition,unit,type,tsuga_metric_name,widget_suggestions,aggregation,post_function,group_by,required_context_fields,optional_context_fields,absence_means,cardinality_footguns,variants,citations
Performance/Latency,gen_ai.client.operation.duration,true,Histogram of client-observed OpenAI operation duration in Tsuga. This is the primary confirmed latency metric for request health and model-tier comparison.,s,histogram,gen_ai.client.operation.duration,timeseries|query-value|top-list,percentile(p95)|percentile(p50),none,context.gen_ai.request.model:12|context.service.name:12|context.gen_ai.operation.name:10,context.env|context.team,context.gen_ai.response.model|context.error.type|context.k8s.cluster.name|context.server.address|context.traceloop.workflow.name,GenAI instrumentation is absent OR OpenAI calls are not traced into Tsuga.,Avoid high-cardinality request identifiers or API-key slices in default charts. Prefer model/service/operation splits.,otel_genai=gen_ai.client.operation.duration,https://opentelemetry.io/docs/specs/semconv/gen-ai/gen-ai-metrics/|https://opentelemetry.io/docs/specs/semconv/gen-ai/gen-ai-spans/
Throughput/Usage,gen_ai.client.token.usage,true,Histogram of OpenAI token usage in Tsuga. Use the confirmed `context.gen_ai.token.type` dimension to split input and output token volume.,{token},histogram,gen_ai.client.token.usage,timeseries|query-value|top-list,sum,none,context.gen_ai.request.model:12|context.service.name:12|context.gen_ai.operation.name:10,context.env|context.team,context.gen_ai.response.model|context.gen_ai.token.type|context.k8s.cluster.name|context.server.address|context.traceloop.workflow.name,GenAI instrumentation is absent OR token usage is not being exported.,Do not group by API key or workflow name in overview charts. Model and service remain the safest defaults.,otel_genai=gen_ai.client.token.usage,https://opentelemetry.io/docs/specs/semconv/gen-ai/gen-ai-metrics/|https://opentelemetry.io/docs/specs/semconv/registry/attributes/gen-ai/
Throughput/Usage,gen_ai.client.generation.choices,true,Delta counter of generated response choices observed by the OpenAI client instrumentation. Useful for spotting multi-choice fan-out or response-shape drift.,{choice},counter,gen_ai.client.generation.choices,query-value|timeseries|top-list,sum,per-second,context.gen_ai.response.model:12|context.service.name:12|context.llm.response.finish_reason:8,context.env|context.team,context.gen_ai.operation.name|context.k8s.cluster.name|context.server.address|context.traceloop.workflow.name,GenAI client instrumentation is absent OR responses are not emitting choice counts.,Keep finish-reason grouping bounded; avoid workflow-level breakdowns in overview charts.,otel_genai=gen_ai.client.generation.choices,https://opentelemetry.io/docs/specs/semconv/gen-ai/gen-ai-metrics/|https://opentelemetry.io/docs/specs/semconv/gen-ai/gen-ai-spans/
Throughput/Usage,metric family: openai usage api input_tokens,false,Usage API bucket field for total input tokens over a time window. Best source for prompt-size and cost-trend analysis when exported into Tsuga. [Inferred from Std],{token},counter,Unknown,timeseries|query-value|top-list,sum,per-second|rate,Unknown|context.gen_ai.request.model:12,context.env|context.team,Unknown|context.service.name,Usage API poller/exporter absent or under-scoped.,Project and API-key fields remain unresolved in Tsuga for this workspace.,usage_api=input_tokens,https://platform.openai.com/docs/api-reference/usage/costs|https://developers.openai.com/cookbook/examples/completions_usage_api
Throughput/Usage,metric family: openai usage api output_tokens,false,Usage API bucket field for total output tokens over a time window. Best source for completion verbosity and cost growth when exported into Tsuga. [Inferred from Std],{token},counter,Unknown,timeseries|query-value|top-list,sum,per-second|rate,Unknown|context.gen_ai.request.model:12,context.env|context.team,Unknown|context.service.name,Usage API poller/exporter absent or under-scoped.,Output-heavy workloads can dwarf request-count changes; avoid grouping by unresolved high-cardinality fields.,usage_api=output_tokens,https://platform.openai.com/docs/api-reference/usage/costs|https://developers.openai.com/cookbook/examples/completions_usage_api
Throughput/Usage,metric family: openai usage api input_cached_tokens,false,Usage API bucket field for cached input tokens. Best source for prompt-caching effectiveness if exported into Tsuga. [Inferred from Std],{token},counter,Unknown,timeseries|query-value|top-list,sum,per-second|rate,Unknown|context.gen_ai.request.model:12,context.env|context.team,Unknown|context.service.name,Prompt caching exporter absent or cache not used by the workload.,Field mappings for project and batch remain unresolved, so keep grouping conservative.,usage_api=input_cached_tokens,https://platform.openai.com/docs/api-reference/usage/costs|https://developers.openai.com/cookbook/examples/completions_usage_api|https://platform.openai.com/docs/pricing/
Throughput/Usage,metric family: openai usage api input_audio_tokens,false,Usage API bucket field for audio input tokens. Needed only for audio or multimodal workloads if exported into Tsuga. [Inferred from Std],{token},counter,Unknown,timeseries|query-value|top-list,sum,per-second|rate,Unknown|context.gen_ai.request.model:12,context.env|context.team,Unknown|context.service.name,Either no audio workload exists OR audio token fields are not exported.,Use only where audio is part of the product; otherwise exclude to avoid empty widgets.,usage_api=input_audio_tokens,https://developers.openai.com/cookbook/examples/completions_usage_api|https://platform.openai.com/docs/api-reference/usage/costs
Throughput/Usage,metric family: openai usage api output_audio_tokens,false,Usage API bucket field for audio output tokens. Important for voice assistants and TTS-heavy apps if exported into Tsuga. [Inferred from Std],{token},counter,Unknown,timeseries|query-value|top-list,sum,per-second|rate,Unknown|context.gen_ai.request.model:12,context.env|context.team,Unknown|context.service.name,Either no audio output workload exists OR audio token fields are not exported.,Avoid in text-only dashboards unless Stage 2 later confirms active audio usage.,usage_api=output_audio_tokens,https://developers.openai.com/cookbook/examples/completions_usage_api|https://platform.openai.com/docs/api-reference/usage/costs
Throughput/Usage,metric family: openai usage api num_model_requests,false,Usage API bucket field for total model requests. Best denominator for per-request efficiency KPIs when exported into Tsuga. [Inferred from Std],{request},counter,Unknown,timeseries|query-value|top-list,sum,per-second|rate,Unknown|context.gen_ai.request.model:12,context.env|context.team,Unknown|context.service.name,Usage API poller/exporter absent or under-scoped.,API-key and project dimensions are not confirmed in Tsuga for this workspace yet.,usage_api=num_model_requests,https://platform.openai.com/docs/api-reference/usage/costs|https://developers.openai.com/cookbook/examples/completions_usage_api
Cost,metric family: openai costs api amount.value,false,Costs API dollar amount for the selected time bucket. This is the preferred spend truth for finance-facing widgets when exported into Tsuga. [Inferred from Std],USD,gauge,Unknown,timeseries|query-value|bar,sum,none,Unknown,context.env|context.team,Unknown|context.service.name,Costs API exporter absent or not yet reconciled into Tsuga.,Daily buckets only; do not over-interpret as real-time spend.,costs_api=amount.value,https://platform.openai.com/docs/api-reference/usage/costs|https://developers.openai.com/cookbook/examples/completions_usage_api
Errors/Failures,metric family: openai error responses by status_code,false,"Client-captured count of OpenAI calls that returned non-success status codes, ideally tagged by HTTP code and error type. Primary failure-rate family if exported. [Inferred from Std]",{request},counter,Unknown,timeseries|query-value|top-list,sum,per-second|rate,context.http.response.status_code:8|context.error.type:12|context.gen_ai.request.model:12,context.env|context.team,context.service.name,Client middleware/log-to-metric export absent OR there are no recent failures.,Normalize error types; raw exception messages can explode cardinality.,sdk_or_gateway=error_count,https://github.com/openai/openai-python|https://platform.openai.com/docs/guides/rate-limits/overview
Capacity/Saturation,metric family: openai rate limit remaining requests,false,Per-response remaining request budget from `x-ratelimit-remaining-requests`. Best proactive throttle-headroom signal if exported. [Inferred from Std],{request},gauge,Unknown,timeseries|query-value,min,none,context.gen_ai.request.model:12|context.service.name:12,context.env|context.team,Unknown,Header capture/export absent. This does not mean the application has infinite headroom.,Do not chart by request ID. Model or service is sufficient.,response_header=x-ratelimit-remaining-requests,https://platform.openai.com/docs/guides/rate-limits/overview
Capacity/Saturation,metric family: openai rate limit remaining tokens,false,Per-response remaining token budget from `x-ratelimit-remaining-tokens`. More important than request budget for long-context or verbose workloads if exported. [Inferred from Std],{token},gauge,Unknown,timeseries|query-value|min,none,context.gen_ai.request.model:12|context.service.name:12,context.env|context.team,Unknown,Header capture/export absent. Token headroom cannot be assessed yet.,Prefer model or service grouping; API-key grouping only for targeted triage.,response_header=x-ratelimit-remaining-tokens,https://platform.openai.com/docs/guides/rate-limits/overview
Capacity/Saturation,metric family: openai batch requests,false,Request count restricted to Batch API jobs. Useful to distinguish cheap asynchronous work from online traffic if exported separately. [Inferred from Std],{request},counter,Unknown,timeseries|query-value|top-list,sum,per-second|rate,Unknown|context.gen_ai.request.model:12,context.env|context.team,context.service.name,Either Batch API is not used OR batch usage is not exported separately.,Batch dimensions are unresolved in Tsuga for this workspace.,usage_api=batch=true,https://platform.openai.com/docs/api-reference/batch|https://developers.openai.com/cookbook/examples/completions_usage_api
Performance/Latency,metric family: openai latency to first token,false,Client-derived time to first streamed token. Valuable for UX-sensitive streaming apps where total latency hides responsiveness. [Inferred from Std],s,gauge,Unknown,timeseries|query-value|top-list,percentile(p95)|percentile(p50),none,context.gen_ai.request.model:12|context.service.name:12|context.gen_ai.operation.name:10,context.env|context.team,Unknown|context.server.address,Streaming instrumentation absent or the app does not stream responses.,Separate from full-response latency; do not mix them in one widget without clear labeling.,streaming_client=ttft,https://platform.openai.com/docs/guides/latency-optimization|https://github.com/openai/openai-python
