theme,name,confirmed,definition,unit,type,tsuga_metric_name,widget_suggestions,aggregation,post_function,group_by,required_context_fields,optional_context_fields,absence_means,cardinality_footguns,variants,citations
Availability/Health,nginx_up,true,Status of the last metric scrape from NGINX stub_status; 1=reachable 0=unreachable or NGINX down,1,gauge,nginx_up,query-value|timeseries,max,none,context.scope:20,context.env|context.team,context.scope|context.k8s.namespace.name,NGINX is down OR exporter cannot reach stub_status endpoint,Low cardinality — 0 or 1 per instance,prometheus=nginx_up,https://github.com/nginxinc/nginx-prometheus-exporter
Availability/Health,promhttp_metric_handler_requests_total,true,Total number of scrape requests to the exporter /metrics endpoint by HTTP status code; code=200 indicates success,{requests},counter,promhttp_metric_handler_requests_total,timeseries|query-value,sum,per-second,context.code:3,context.env|context.team,context.scope|context.code,Exporter is not being scraped; check scrape job configuration,Very low cardinality (3 code values: 200/500/503),prometheus=promhttp_metric_handler_requests_total,https://pkg.go.dev/github.com/prometheus/client_golang/prometheus/promhttp
Throughput/Usage,nginx_connections_accepted,true,Cumulative count of client connections accepted by NGINX since process start,{connections},counter,nginx_connections_accepted,timeseries|query-value,sum,per-second,context.scope:20,context.env|context.team,context.scope|context.k8s.namespace.name,NGINX is receiving zero connections — check upstream routing or nginx_up,Low cardinality per instance; safe to group-by instance,prometheus=nginx_connections_accepted,https://nginx.org/en/docs/http/ngx_http_stub_status_module.html
Throughput/Usage,nginx_connections_handled,true,Cumulative count of connections handled by NGINX (no resource limits hit); accepted - handled = dropped connections,{connections},counter,nginx_connections_handled,timeseries|query-value,sum,per-second,context.scope:20,context.env|context.team,context.scope|context.k8s.namespace.name,Same as accepted absence — routing or nginx_up issue; if below accepted indicates drops,Low cardinality per instance,prometheus=nginx_connections_handled,https://nginx.org/en/docs/http/ngx_http_stub_status_module.html
Throughput/Usage,nginx_http_requests_total,true,Total count of HTTP requests processed by NGINX since process start,{requests},counter,nginx_http_requests_total,timeseries|query-value,sum,per-second,context.scope:20,context.env|context.team,context.scope|context.k8s.namespace.name,No HTTP traffic flowing; check routing and nginx_up,Low cardinality per instance; note requests >> connections when keep-alive active,prometheus=nginx_http_requests_total,https://nginx.org/en/docs/http/ngx_http_stub_status_module.html
Capacity/Saturation,nginx_connections_active,true,Current number of active client connections including connections in reading/writing/waiting states,{connections},gauge,nginx_connections_active,query-value|timeseries,max,none,context.scope:20,context.env|context.team,context.scope|context.k8s.namespace.name,No active connections — NGINX idle or down,Low cardinality; equals reading + writing + waiting,prometheus=nginx_connections_active,https://nginx.org/en/docs/http/ngx_http_stub_status_module.html
Capacity/Saturation,nginx_connections_reading,true,Current connections where NGINX is reading the HTTP request header from the client,{connections},gauge,nginx_connections_reading,query-value|timeseries,max,none,context.scope:20,context.env|context.team,context.scope|context.k8s.namespace.name,No connections in header-read state — normal under low load,Low cardinality; sustained nonzero indicates slow clients or large headers,prometheus=nginx_connections_reading,https://nginx.org/en/docs/http/ngx_http_stub_status_module.html
Capacity/Saturation,nginx_connections_waiting,true,Current idle keep-alive connections waiting for the next HTTP request,{connections},gauge,nginx_connections_waiting,query-value|timeseries,max,none,context.scope:20,context.env|context.team,context.scope|context.k8s.namespace.name,Keep-alive disabled or all connections actively processing — check traffic pattern,Low cardinality; high waiting is healthy and expected under keep-alive,prometheus=nginx_connections_waiting,https://nginx.org/en/docs/http/ngx_http_stub_status_module.html
Capacity/Saturation,nginx_connections_writing,true,Current connections where NGINX is writing the HTTP response back to the client,{connections},gauge,nginx_connections_writing,query-value|timeseries,max,none,context.scope:20,context.env|context.team,context.scope|context.k8s.namespace.name,No active responses being sent — no traffic or all requests are in header reading phase,Low cardinality; sustained high writing with stable request rate indicates backend latency,prometheus=nginx_connections_writing,https://nginx.org/en/docs/http/ngx_http_stub_status_module.html
Capacity/Saturation,process_cpu_seconds_total,true,Total user and system CPU time consumed by the nginx-prometheus-exporter process in seconds (cumulative),s,counter,process_cpu_seconds_total,timeseries|query-value,sum,per-second,context.scope:20,context.env|context.team,context.scope,Exporter process metric missing — scrape configuration issue,Low cardinality per instance; this is exporter CPU not NGINX CPU,prometheus=process_cpu_seconds_total,https://prometheus.io/docs/instrumenting/writing_clientlibs/
Capacity/Saturation,process_resident_memory_bytes,true,Resident set size (RSS) memory used by the nginx-prometheus-exporter process in bytes,By,gauge,process_resident_memory_bytes,query-value|timeseries,max,none,context.scope:20,context.env|context.team,context.scope,Exporter process metric missing; expected ~15-25 MB normally,Low cardinality per instance; this is exporter memory not NGINX memory,prometheus=process_resident_memory_bytes,https://prometheus.io/docs/instrumenting/writing_clientlibs/
