theme,name,confirmed,definition,unit,type,tsuga_metric_name,widget_suggestions,aggregation,post_function,group_by,required_context_fields,optional_context_fields,absence_means,cardinality_footguns,variants,citations
Availability/Health,CPUUtilization,true,Instance CPU utilization; useful but secondary to cache and memory distress for DocDB triage.,%,summary,aws_docdb_cpu_utilization,query-value|timeseries|top-list,max,none,context.dbinstanceidentifier:20|context.role:4,context.env|context.team,context.dbclusteridentifier|context.cloud.region|context.cloud.account.id,Metric absent or namespace mismatch,Stay at instance or role granularity,cloudwatch=CPUUtilization,https://docs.aws.amazon.com/documentdb/latest/developerguide/cloud_watch.html
Availability/Health,DatabaseConnections,true,Client-initiated active and idle connections on an instance.,count,summary,aws_docdb_database_connections,query-value|timeseries|top-list,max,none,context.dbinstanceidentifier:20|context.role:4,context.env|context.team,context.dbclusteridentifier|context.cloud.region,No client traffic or namespace mismatch,Do not group by client metadata in default dashboards,cloudwatch=DatabaseConnections,https://docs.aws.amazon.com/documentdb/latest/developerguide/cloud_watch.html
Availability/Health,DatabaseConnectionsMax,true,One-minute maximum of open connections on an instance.,count,summary,aws_docdb_database_connections_max,query-value|timeseries|top-list,max,none,context.dbinstanceidentifier:20|context.role:4,context.env|context.team,context.dbclusteridentifier|context.cloud.region,Metric absent or namespace mismatch,Interpret with DatabaseConnectionsLimit,cloudwatch=DatabaseConnectionsMax,https://docs.aws.amazon.com/documentdb/latest/developerguide/cloud_watch.html
Availability/Health,DatabaseConnectionsLimit,true,Maximum allowed concurrent connections on an instance.,count,summary,aws_docdb_database_connections_limit,query-value|timeseries,max,none,context.dbinstanceidentifier:20,context.env|context.team,context.dbclusteridentifier|context.cloud.region,Metric absent or namespace mismatch,Low-cardinality and safe,cloudwatch=DatabaseConnectionsLimit,https://docs.aws.amazon.com/documentdb/latest/developerguide/cloud_watch.html
Availability/Health,EngineUptime,true,Time the instance engine has been running; useful to spot restarts or failovers.,s,summary,aws_docdb_engine_uptime,query-value|timeseries,min,none,context.dbinstanceidentifier:20,context.env|context.team,context.dbclusteridentifier|context.role|context.cloud.region,"Restart, failover, or namespace mismatch",Do not over-split a monotonic uptime metric,cloudwatch=EngineUptime,https://docs.aws.amazon.com/documentdb/latest/developerguide/cloud_watch.html
Traffic/Operations,DatabaseCursors,true,Number of open cursors on an instance.,count,summary,aws_docdb_database_cursors,query-value|timeseries|top-list,max,none,context.dbinstanceidentifier:20,context.env|context.team,context.dbclusteridentifier|context.role,Metric absent or namespace mismatch,Cursors by raw client is too high-cardinality,cloudwatch=DatabaseCursors,https://docs.aws.amazon.com/documentdb/latest/developerguide/cloud_watch.html
Traffic/Operations,DatabaseCursorsTimedOut,true,Timed-out cursors in the one-minute period.,count,summary,aws_docdb_database_cursors_timed_out,query-value|timeseries|top-list,sum,none,context.dbinstanceidentifier:20,context.env|context.team,context.dbclusteridentifier|context.role,No timed-out cursors or namespace mismatch,Keep at instance-level,cloudwatch=DatabaseCursorsTimedOut,https://docs.aws.amazon.com/documentdb/latest/developerguide/cloud_watch.html
Traffic/Operations,OpcountersQuery,true,Queries issued in the one-minute period; idle baseline is non-zero due to internal work.,count,summary,aws_docdb_opcounters_query,query-value|timeseries|top-list|bar,sum,none,context.dbinstanceidentifier:20|context.role:4,context.env|context.team,context.dbclusteridentifier|context.cloud.region,Idle workload or namespace mismatch,Do not over-interpret tiny non-zero baselines,cloudwatch=OpcountersQuery,https://docs.aws.amazon.com/documentdb/latest/developerguide/cloud_watch.html
Traffic/Operations,OpcountersCommand,true,Commands issued in the one-minute period.,count,summary,aws_docdb_opcounters_command,query-value|timeseries|top-list|bar,sum,none,context.dbinstanceidentifier:20|context.role:4,context.env|context.team,context.dbclusteridentifier|context.cloud.region,Idle workload or namespace mismatch,Command mix detail is log/profiler work not metric work,cloudwatch=OpcountersCommand,https://docs.aws.amazon.com/documentdb/latest/developerguide/cloud_watch.html
Traffic/Operations,OpcountersInsert,true,Insert operations issued in the one-minute period.,count,summary,aws_docdb_opcounters_insert,query-value|timeseries|bar,sum,none,context.dbinstanceidentifier:20|context.role:4,context.env|context.team,context.dbclusteridentifier|context.cloud.region,No insert activity or namespace mismatch,Keep bounded to instance or role,cloudwatch=OpcountersInsert,https://docs.aws.amazon.com/documentdb/latest/developerguide/cloud_watch.html
Traffic/Operations,OpcountersUpdate,true,Update operations issued in the one-minute period.,count,summary,aws_docdb_opcounters_update,query-value|timeseries|bar,sum,none,context.dbinstanceidentifier:20|context.role:4,context.env|context.team,context.dbclusteridentifier|context.cloud.region,No update activity or namespace mismatch,Useful with change streams and transactions,cloudwatch=OpcountersUpdate,https://docs.aws.amazon.com/documentdb/latest/developerguide/cloud_watch.html
Traffic/Operations,OpcountersDelete,true,Delete operations issued in the one-minute period.,count,summary,aws_docdb_opcounters_delete,query-value|timeseries|bar,sum,none,context.dbinstanceidentifier:20|context.role:4,context.env|context.team,context.dbclusteridentifier|context.cloud.region,No delete activity or namespace mismatch,Keep bounded to instance or role,cloudwatch=OpcountersDelete,https://docs.aws.amazon.com/documentdb/latest/developerguide/cloud_watch.html
Traffic/Operations,DocumentsReturned,true,Documents returned in the one-minute period; good fan-out and read-amplification proxy.,count,summary,aws_docdb_documents_returned,query-value|timeseries|top-list,sum,none,context.dbinstanceidentifier:20|context.role:4,context.env|context.team,context.dbclusteridentifier|context.cloud.region,No reads or namespace mismatch,Collection-level grouping should be deferred to logs,cloudwatch=DocumentsReturned,https://docs.aws.amazon.com/documentdb/latest/developerguide/cloud_watch.html
Traffic/Operations,TransactionsOpen,true,Open transactions on an instance.,count,summary,aws_docdb_transactions_open,query-value|timeseries|top-list,max,none,context.dbinstanceidentifier:20,context.env|context.team,context.dbclusteridentifier|context.role,No open transactions or namespace mismatch,Useful only with bounded instance grouping,cloudwatch=TransactionsOpen,https://docs.aws.amazon.com/documentdb/latest/developerguide/cloud_watch.html
Traffic/Operations,TransactionsAborted,true,Transactions aborted in the one-minute period.,count,summary,aws_docdb_transactions_aborted,query-value|timeseries|top-list,sum,none,context.dbinstanceidentifier:20,context.env|context.team,context.dbclusteridentifier|context.role,No aborted transactions or namespace mismatch,Pair with profiler/audit before conclusions,cloudwatch=TransactionsAborted,https://docs.aws.amazon.com/documentdb/latest/developerguide/cloud_watch.html
Latency/Storage,ReadLatency,true,Average disk read I/O latency.,ms,summary,aws_docdb_read_latency,query-value|timeseries|top-list,max,none,context.dbinstanceidentifier:20|context.role:4,context.env|context.team,context.dbclusteridentifier|context.cloud.region,Metric absent or namespace mismatch,Average not percentile,cloudwatch=ReadLatency,https://docs.aws.amazon.com/documentdb/latest/developerguide/cloud_watch.html
Latency/Storage,WriteLatency,true,Average disk write I/O latency.,ms,summary,aws_docdb_write_latency,query-value|timeseries|top-list,max,none,context.dbinstanceidentifier:20|context.role:4,context.env|context.team,context.dbclusteridentifier|context.cloud.region,Metric absent or namespace mismatch,Average not percentile,cloudwatch=WriteLatency,https://docs.aws.amazon.com/documentdb/latest/developerguide/cloud_watch.html
Latency/Storage,ReadIOPS,true,Average disk read I/O operations per second at the instance layer.,count/s,summary,aws_docdb_read_iops,query-value|timeseries|top-list,sum,none,context.dbinstanceidentifier:20|context.role:4,context.env|context.team,context.dbclusteridentifier|context.cloud.region,Read path idle or namespace mismatch,Use with cache-hit ratios and volume reads,cloudwatch=ReadIOPS,https://docs.aws.amazon.com/documentdb/latest/developerguide/cloud_watch.html
Latency/Storage,WriteIOPS,true,Average disk write I/O operations per second at the instance layer.,count/s,summary,aws_docdb_write_iops,query-value|timeseries|top-list,sum,none,context.dbinstanceidentifier:20|context.role:4,context.env|context.team,context.dbclusteridentifier|context.cloud.region,Write path idle or namespace mismatch,Use with write latency and replica lag,cloudwatch=WriteIOPS,https://docs.aws.amazon.com/documentdb/latest/developerguide/cloud_watch.html
Latency/Storage,VolumeReadIOPs,true,Cluster volume billed read operations aggregated over 5-minute intervals.,count/5m,summary,aws_docdb_volume_read_io_ps,query-value|timeseries|top-list,sum,none,context.dbclusteridentifier:10,context.env|context.team,context.cloud.region|context.role,Metric absent or namespace mismatch,Cluster-level only; reported as the live VolumeReadIOPs surface with io_ps naming,cloudwatch=VolumeReadIOPs,https://docs.aws.amazon.com/documentdb/latest/developerguide/cloud_watch.html
Latency/Storage,VolumeWriteIOPs,true,Cluster volume billed write operations aggregated over 5-minute intervals.,count/5m,summary,aws_docdb_volume_write_io_ps,query-value|timeseries|top-list,sum,none,context.dbclusteridentifier:10,context.env|context.team,context.cloud.region|context.role,Metric absent or namespace mismatch,Cluster-level only; reported as the live VolumeWriteIOPs surface with io_ps naming,cloudwatch=VolumeWriteIOPs,https://docs.aws.amazon.com/documentdb/latest/developerguide/cloud_watch.html
Latency/Storage,StorageNetworkReceiveThroughput,true,Network bytes per second received from the cluster storage volume by each instance.,By/s,summary,aws_docdb_storage_network_receive_throughput,query-value|timeseries|top-list,sum,none,context.dbinstanceidentifier:20,context.env|context.team,context.dbclusteridentifier|context.role,Metric absent or namespace mismatch,"Interpret as storage path, not client path",cloudwatch=StorageNetworkReceiveThroughput,https://docs.aws.amazon.com/documentdb/latest/developerguide/cloud_watch.html
Latency/Storage,StorageNetworkTransmitThroughput,true,Network bytes per second sent to the cluster storage volume by each instance.,By/s,summary,aws_docdb_storage_network_transmit_throughput,query-value|timeseries|top-list,sum,none,context.dbinstanceidentifier:20,context.env|context.team,context.dbclusteridentifier|context.role,Metric absent or namespace mismatch,"Interpret as storage path, not client path",cloudwatch=StorageNetworkTransmitThroughput,https://docs.aws.amazon.com/documentdb/latest/developerguide/cloud_watch.html
Latency/Storage,NVMeStorageCacheHitRatio,false,Percent of requests served by the tiered cache on NVMe-backed instances.,%,summary,aws_docdb_nvme_storage_cache_hit_ratio,query-value|timeseries,max,none,context.dbinstanceidentifier:20,context.env|context.team,context.dbclusteridentifier|context.role,Instance family does not support NVMe tiered cache or namespace mismatch,Gate by instance family support,cloudwatch=NVMeStorageCacheHitRatio,https://docs.aws.amazon.com/documentdb/latest/developerguide/cloud_watch.html
Cache/Memory,BufferCacheHitRatio,true,Percent of requests served from the buffer cache.,%,summary,aws_docdb_buffer_cache_hit_ratio,query-value|timeseries|top-list,max,none,context.dbinstanceidentifier:20|context.role:4,context.env|context.team,context.dbclusteridentifier|context.cloud.region,Metric absent or namespace mismatch,Percentage metric; do not rate or sum across unlike scopes,cloudwatch=BufferCacheHitRatio,https://docs.aws.amazon.com/documentdb/latest/developerguide/cloud_watch.html
Cache/Memory,IndexBufferCacheHitRatio,true,Percent of index requests served from cache.,%,summary,aws_docdb_index_buffer_cache_hit_ratio,query-value|timeseries|top-list,max,none,context.dbinstanceidentifier:20|context.role:4,context.env|context.team,context.dbclusteridentifier|context.cloud.region,Metric absent or namespace mismatch,Can briefly spike above 100 percent after drops,cloudwatch=IndexBufferCacheHitRatio,https://docs.aws.amazon.com/documentdb/latest/developerguide/cloud_watch.html
Cache/Memory,FreeableMemory,true,Available memory in bytes on the instance.,By,summary,aws_docdb_freeable_memory,query-value|timeseries|top-list,min,none,context.dbinstanceidentifier:20,context.env|context.team,context.dbclusteridentifier|context.role,Metric absent or namespace mismatch,Use instance or role only,cloudwatch=FreeableMemory,https://docs.aws.amazon.com/documentdb/latest/developerguide/cloud_watch.html
Cache/Memory,FreeLocalStorage,true,Available local temporary/log storage per instance.,By,summary,aws_docdb_free_local_storage,query-value|timeseries|top-list,min,none,context.dbinstanceidentifier:20,context.env|context.team,context.dbclusteridentifier|context.role,Metric absent or namespace mismatch,This is not cluster volume free space,cloudwatch=FreeLocalStorage,https://docs.aws.amazon.com/documentdb/latest/developerguide/cloud_watch.html
Cache/Memory,SwapUsage,true,Swap space in use on the instance.,By,summary,aws_docdb_swap_usage,query-value|timeseries|top-list,max,none,context.dbinstanceidentifier:20,context.env|context.team,context.dbclusteridentifier|context.role,No swap use or namespace mismatch,Late-stage memory distress signal,cloudwatch=SwapUsage,https://docs.aws.amazon.com/documentdb/latest/developerguide/cloud_watch.html
Cache/Memory,LowMemThrottleQueueDepth,true,Queue depth for requests throttled by low memory.,count,summary,aws_docdb_low_mem_throttle_queue_depth,query-value|timeseries|top-list,max,none,context.dbinstanceidentifier:20,context.env|context.team,context.dbclusteridentifier|context.role,No throttling or namespace mismatch,Stay at instance-level,cloudwatch=LowMemThrottleQueueDepth,https://docs.aws.amazon.com/documentdb/latest/developerguide/cloud_watch.html
Cache/Memory,LowMemNumOperationsThrottled,true,Requests throttled due to low available memory in the one-minute period.,count,summary,aws_docdb_low_mem_num_operations_throttled,query-value|timeseries|top-list,sum,none,context.dbinstanceidentifier:20,context.env|context.team,context.dbclusteridentifier|context.role,No throttled operations or namespace mismatch,Pair with FreeableMemory and cache-hit ratios,cloudwatch=LowMemNumOperationsThrottled,https://docs.aws.amazon.com/documentdb/latest/developerguide/cloud_watch.html
Replication/Change Streams,DBClusterReplicaLagMaximum,false,Maximum replica lag in milliseconds across the cluster.,ms,summary,aws_docdb_db_cluster_replica_lag_maximum,query-value|timeseries|top-list,max,none,context.dbclusteridentifier:10|context.role:4,context.env|context.team,context.cloud.region,"No replicas, no lag, or namespace mismatch",Cluster-level metric can hide one bad reader,cloudwatch=DBClusterReplicaLagMaximum,https://docs.aws.amazon.com/documentdb/latest/developerguide/cloud_watch.html
Replication/Change Streams,DBInstanceReplicaLag,false,Replica lag in milliseconds for a specific replica instance.,ms,summary,aws_docdb_db_instance_replica_lag,query-value|timeseries|top-list,max,none,context.dbinstanceidentifier:20|context.role:4,context.env|context.team,context.dbclusteridentifier|context.cloud.region,Metric absent on writer-only or namespace mismatch,Best per-reader drilldown signal,cloudwatch=DBInstanceReplicaLag,https://docs.aws.amazon.com/documentdb/latest/developerguide/cloud_watch.html
