theme,name,confirmed,definition,unit,type,tsuga_metric_name,widget_suggestions,aggregation,post_function,group_by,required_context_fields,optional_context_fields,absence_means,cardinality_footguns,variants,citations
Throughput/Usage,storage.googleapis.com/api/request_count,true,Number of API calls per bucket. Primary traffic signal for all GCS operations. Labeled by method and response_code.,1,counter,storage.googleapis.com/api/request_count,timeseries|query-value|top-list,sum,per-second,context.bucket_name:25|context.method:15|context.response_code:10,context.cloud.account.id|context.cloud.region|context.env|context.team,context.method|context.response_code|context.location|context.project_id,Bucket has no API traffic in the window,Safe — method (~20) and response_code (~15) are bounded,gcp=storage.googleapis.com/api/request_count,https://docs.cloud.google.com/monitoring/api/metrics_gcp_p_z
Throughput/Usage,storage.googleapis.com/network/sent_bytes_count,true,Bytes sent (egress) over the network per bucket. Primary bandwidth and cost signal. Labeled by method and response_code.,By,counter,storage.googleapis.com/network/sent_bytes_count,timeseries|query-value,sum,per-second,context.bucket_name:25|context.method:15,context.cloud.account.id|context.cloud.region|context.env|context.team,context.response_code|context.location,No egress traffic from this bucket,Safe,gcp=storage.googleapis.com/network/sent_bytes_count,https://docs.cloud.google.com/monitoring/api/metrics_gcp_p_z
Throughput/Usage,storage.googleapis.com/network/received_bytes_count,true,Bytes received (ingress) over the network per bucket. Measures upload/write bandwidth.,By,counter,storage.googleapis.com/network/received_bytes_count,timeseries|query-value,sum,per-second,context.bucket_name:25|context.method:15,context.cloud.account.id|context.cloud.region|context.env|context.team,context.response_code|context.location,No ingress traffic to this bucket,Safe,gcp=storage.googleapis.com/network/received_bytes_count,https://docs.cloud.google.com/monitoring/api/metrics_gcp_p_z
Capacity/Saturation,storage.googleapis.com/storage/total_bytes,true,"Total size of all objects in the bucket grouped by storage class. Updated once per 24 hours. Primary capacity metric.",By,gauge,storage.googleapis.com/storage/total_bytes,timeseries|query-value|top-list,max,none,context.bucket_name:25|context.storage_class:5,context.cloud.account.id|context.cloud.region|context.env|context.team,context.location,Bucket is empty or metric not yet populated (first 24h),Safe,gcp=storage.googleapis.com/storage/total_bytes,https://docs.cloud.google.com/monitoring/api/metrics_gcp_p_z
Capacity/Saturation,storage.googleapis.com/storage/object_count,true,"Number of objects per bucket by storage class. Updated once per 24 hours.",1,gauge,storage.googleapis.com/storage/object_count,timeseries|query-value|top-list,max,none,context.bucket_name:25|context.storage_class:5,context.cloud.account.id|context.cloud.region|context.env|context.team,context.location,Bucket is empty,Safe,gcp=storage.googleapis.com/storage/object_count,https://docs.cloud.google.com/monitoring/api/metrics_gcp_p_z
Capacity/Saturation,storage.googleapis.com/storage/total_byte_seconds,true,"Daily storage consumed in byte-seconds. Used for billing calculations. Reported as gauge in Tsuga (GCP type: cumulative).",By.s,gauge,storage.googleapis.com/storage/total_byte_seconds,timeseries,max,none,context.bucket_name:25|context.storage_class:5,context.cloud.account.id|context.cloud.region|context.env|context.team,context.location,Bucket is empty,Safe,gcp=storage.googleapis.com/storage/total_byte_seconds,https://docs.cloud.google.com/monitoring/api/metrics_gcp_p_z
Errors/Failures,storage.googleapis.com/api/request_count,true,"Same metric as traffic but filtered for error response codes. Server errors: INTERNAL|UNAVAILABLE|DEADLINE_EXCEEDED. Client errors: PERMISSION_DENIED|NOT_FOUND|INVALID_ARGUMENT. Throttling: RESOURCE_EXHAUSTED.",1,counter,storage.googleapis.com/api/request_count,timeseries|query-value|top-list,sum,per-second,context.response_code:10|context.bucket_name:25|context.method:15,context.cloud.account.id|context.cloud.region|context.env|context.team,,No errors — healthy,Safe,gcp=storage.googleapis.com/api/request_count,https://docs.cloud.google.com/monitoring/api/metrics_gcp_p_z
Availability/Health,storage.googleapis.com/replication/meeting_rpo,false,"Whether the bucket is meeting its Recovery Point Objective. 1 = meeting 0 = not meeting. Only exists for dual/multi-region buckets with turbo replication. NOT FOUND in Tsuga — feature not enabled in this account.",1,gauge,storage.googleapis.com/replication/meeting_rpo,query-value|timeseries,min,none,,context.cloud.account.id|context.cloud.region,context.bucket_name,Feature not enabled or bucket is single-region — NOT an outage,Safe,gcp=storage.googleapis.com/replication/meeting_rpo,https://docs.cloud.google.com/storage/docs/managing-turbo-replication
Availability/Health,storage.googleapis.com/replication/turbo_max_delay,false,"Maximum age in seconds of an unsynced object. NOT FOUND in Tsuga — turbo replication not enabled in this account.",s,gauge,storage.googleapis.com/replication/turbo_max_delay,timeseries|query-value,max,none,,context.cloud.account.id|context.cloud.region,context.bucket_name,Turbo replication not enabled — NOT a problem,Safe,gcp=storage.googleapis.com/replication/turbo_max_delay,https://docs.cloud.google.com/storage/docs/managing-turbo-replication
Availability/Health,storage.googleapis.com/replication/missing_rpo_minutes_last_30d,false,"Number of minutes in last 30 days where RPO was missed. NOT FOUND in Tsuga — turbo replication not enabled.",1,gauge,storage.googleapis.com/replication/missing_rpo_minutes_last_30d,query-value,max,none,,context.cloud.account.id|context.cloud.region,context.bucket_name,Turbo replication not enabled,Safe,gcp=storage.googleapis.com/replication/missing_rpo_minutes_last_30d,https://docs.cloud.google.com/storage/docs/managing-turbo-replication
