theme,name,confirmed,definition,unit,type,tsuga_metric_name,widget_suggestions,aggregation,post_function,group_by,required_context_fields,optional_context_fields,absence_means,cardinality_footguns,variants,citations
Throughput/Usage,quickwit_indexing_processed_bytes,true,Total bytes processed by the indexing pipeline. Primary throughput KPI for indexers.,By,counter,quickwit_indexing_processed_bytes,timeseries|query-value,sum,per-second,context.service.name:10|context.cluster_id:10,context.env|context.team,context.index|context.k8s.pod.name|context.docs_processed_status,No indexer running or no active pipelines,context.index can have unbounded cardinality,otel=quickwit_indexing_processed_bytes,https://github.com/quickwit-oss/quickwit/tree/main/monitoring/grafana/dashboards
Throughput/Usage,quickwit_indexing_processed_docs_total,true,Total documents processed by the indexing pipeline.,{document},counter,quickwit_indexing_processed_docs_total,timeseries|query-value,sum,per-second,context.service.name:10|context.cluster_id:10,context.env|context.team,context.index|context.k8s.pod.name|context.docs_processed_status,No indexer running or no active pipelines,context.index can have unbounded cardinality,otel=quickwit_indexing_processed_docs_total,https://github.com/quickwit-oss/quickwit/tree/main/monitoring/grafana/dashboards
Throughput/Usage,quickwit_write_bytes,true,Total bytes written to local storage by the indexing pipeline.,By,counter,quickwit_write_bytes,timeseries|query-value,sum,per-second,context.service.name:10,context.env|context.team,context.component|context.k8s.pod.name,No indexer running or no writes occurring,Safe,otel=quickwit_write_bytes,https://github.com/quickwit-oss/quickwit/tree/main/monitoring/grafana/dashboards
Throughput/Usage,quickwit_search_leaf_searches_splits_total,true,Total number of splits touched by leaf searches. Indicates search fan-out.,{split},counter,quickwit_search_leaf_searches_splits_total,timeseries|query-value,sum,per-second,context.service.name:10,context.env|context.team,context.k8s.pod.name,No searcher running or no queries executed,Safe,otel=quickwit_search_leaf_searches_splits_total,https://github.com/quickwit-oss/quickwit/tree/main/monitoring/grafana/dashboards
Throughput/Usage,quickwit_ingest_grpc_requests_total,true,Total ingest gRPC requests. Labeled by rpc method and status.,{request},counter,quickwit_ingest_grpc_requests_total,timeseries|query-value|top-list,sum,per-second,context.service.name:10|context.rpc:10,context.env|context.team,context.status|context.kind|context.k8s.pod.name,No ingest service running,context.rpc is bounded; context.status has error/ok values,otel=quickwit_ingest_grpc_requests_total,https://github.com/quickwit-oss/quickwit/tree/main/monitoring/grafana/dashboards
Errors/Failures,quickwit_metastore_grpc_requests_total,true,Total metastore gRPC requests. Filter by context.status for error rate.,{request},counter,quickwit_metastore_grpc_requests_total,timeseries|query-value|top-list,sum,per-second,context.service.name:10|context.rpc:10,context.env|context.team,context.status|context.kind|context.k8s.pod.name,No metastore service running,context.rpc is bounded (~20 operations),otel=quickwit_metastore_grpc_requests_total,https://github.com/quickwit-oss/quickwit/tree/main/monitoring/grafana/dashboards
Performance/Latency,quickwit_ingest_grpc_request_duration_seconds,true,Histogram of ingest gRPC request durations in seconds.,s,histogram,quickwit_ingest_grpc_request_duration_seconds,timeseries|query-value,percentile(p95),none,context.service.name:10|context.rpc:10,context.env|context.team,context.status|context.kind|context.k8s.pod.name,No ingest service running,Safe,otel=quickwit_ingest_grpc_request_duration_seconds,https://github.com/quickwit-oss/quickwit/tree/main/monitoring/grafana/dashboards
Performance/Latency,quickwit_metastore_grpc_request_duration_seconds,true,Histogram of metastore gRPC request durations in seconds.,s,histogram,quickwit_metastore_grpc_request_duration_seconds,timeseries|query-value,percentile(p95),none,context.service.name:10|context.rpc:10,context.env|context.team,context.status|context.kind|context.k8s.pod.name,No metastore service running,Safe,otel=quickwit_metastore_grpc_request_duration_seconds,https://github.com/quickwit-oss/quickwit/tree/main/monitoring/grafana/dashboards
Performance/Latency,quickwit_indexing_backpressure_micros,true,"Cumulative microseconds of backpressure experienced by indexing pipelines. Non-zero indicates pipeline throttling.",us,counter,quickwit_indexing_backpressure_micros,timeseries|query-value,sum,per-second,context.service.name:10,context.env|context.team,context.actor_name|context.k8s.pod.name,No indexer running or no backpressure (healthy),Safe,otel=quickwit_indexing_backpressure_micros,https://github.com/quickwit-oss/quickwit/tree/main/monitoring/grafana/dashboards
Capacity/Saturation,quickwit_memory_allocated_bytes,true,"Total bytes allocated by the application (jemalloc stats.allocated).",By,gauge,quickwit_memory_allocated_bytes,timeseries|query-value,max,none,context.service.name:10,context.env|context.team,context.k8s.pod.name|context.cluster_id,Metric scraping not working or jemalloc disabled,Safe,otel=quickwit_memory_allocated_bytes,https://github.com/quickwit-oss/quickwit/blob/main/quickwit/quickwit-common/src/metrics.rs
