theme,name,confirmed,definition,unit,type,tsuga_metric_name,widget_suggestions,aggregation,post_function,group_by,required_context_fields,optional_context_fields,absence_means,cardinality_footguns,variants,citations
Availability,apache_up,true,Apache server availability as seen by the exporter. 1=up 0=down. Instant gauge — critical header KPI.,{},gauge,apache_up,query-value (threshold color 0=red 1=green),max,none,context.server.address:10,context.env,context.team,Exporter cannot reach Apache mod_status — check /server-status?auto endpoint and exporter logs,One value per instance — no cardinality risk,None,prometheus-community/apache_exporter (confirmed live)
Availability,apache_uptime_seconds_total,true,Cumulative total seconds since Apache last started. Monotonic counter — resets to zero on restart. Use increase() to display current uptime value or rate() to detect restarts (rate near-zero means just restarted).,s,counter,apache_uptime_seconds_total,query-value (increase for uptime display),sum,increase,context.server.address:10,context.env,context.team,Server not scraped or mod_status endpoint unreachable; distinguish from actual downtime via exporter health,Low cardinality — one value per instance,None,prometheus-community/apache_exporter (confirmed live)
Availability,apache_workers (busy),true,Number of worker threads/processes currently processing a request. Gauge.,{workers},gauge,apache_workers,timeseries + query-value,sum (filter state=busy),none,context.server.address:10 context.state:2,context.env,context.team,Workers metric absent = mod_status not enabled or scrape failure,state attribute has 2 values (busy/idle) — low cardinality,Filter: state=busy,prometheus-community/apache_exporter (confirmed live — state attribute key verified)
Availability,apache_workers (idle),true,Number of worker threads/processes available to accept new requests. Gauge.,{workers},gauge,apache_workers,timeseries + query-value,sum (filter state=idle),none,context.server.address:10 context.state:2,context.env,context.team,Workers metric absent = scrape failure,state attribute — low cardinality,Filter: state=idle,prometheus-community/apache_exporter (confirmed live — state attribute key verified)
Availability,apache_connections,true,Current open connections by state. Gauge. Has state attribute: closing/keepalive/total/writing.,{connections},gauge,apache_connections,timeseries + query-value (filter state=total for overall),sum,none,context.server.address:10 context.state:4,context.env,context.team,Connections metric absent = scrape failure or mod_status misconfigured,state has 4 values (closing/keepalive/total/writing) — low cardinality,Filter by state value,prometheus-community/apache_exporter (confirmed live)
Availability,apache_processes,true,Current number of Apache server processes. Gauge. Has state attribute (e.g. running/stopping).,{processes},gauge,apache_processes,timeseries + query-value,sum,none,context.server.address:10 context.state:5,context.env,context.team,Scrape failure or Apache not running,state attribute — low cardinality,None,prometheus-community/apache_exporter (confirmed live)
Throughput,apache_accesses_total,true,Cumulative total HTTP requests handled since last restart. Monotonic counter — use rate() for req/s.,{requests},counter,apache_accesses_total,timeseries (rate) + query-value,sum,rate,context.server.address:10,context.env,context.team,No traffic OR scrape failure OR server restarted (rate will spike then reset),One value per instance — no cardinality risk,None,prometheus-community/apache_exporter (confirmed live)
Throughput,apache_sent_kilobytes_total,true,Cumulative kilobytes of data sent by Apache since last restart. Monotonic counter. Unit is KiB (1024 bytes) NOT bytes. Use rate() for KiB/s bandwidth.,KiBy,counter,apache_sent_kilobytes_total,timeseries (rate) + query-value,sum,rate,context.server.address:10,context.env,context.team,No traffic OR scrape failure — cross-reference with apache_accesses_total,One value per instance — no cardinality risk,None,prometheus-community/apache_exporter (confirmed live — unit is KiB not bytes)
Throughput,apache_duration_ms_total,true,Cumulative total request processing time in milliseconds since last restart. Monotonic counter. rate(duration_ms_total) / rate(accesses_total) = avg request latency in ms/req. Requires ExtendedStatus On.,ms,counter,apache_duration_ms_total,timeseries (rate / accesses rate = avg latency),sum,rate,context.server.address:10,context.env,context.team,ExtendedStatus not enabled in httpd.conf — metric will be 0 or absent,One value per instance — no cardinality risk,None,prometheus-community/apache_exporter (confirmed live)
Throughput,apache_cpu_time_ms_total,true,Cumulative CPU time consumed by Apache in milliseconds. Monotonic counter. Has type attribute (system/user or self/children — verify live values). Use rate() for CPU consumption trend. Requires ExtendedStatus On.,ms,counter,apache_cpu_time_ms_total,timeseries (rate),sum,rate,context.server.address:10 context.type:4,context.env,context.team,ExtendedStatus not enabled OR non-Linux host,type attribute — low cardinality (verify values in Stage 3),None,prometheus-community/apache_exporter (confirmed live — context.type attribute key verified)
Saturation,apache_cpuload,true,Current Apache CPU load as a percentage of one CPU. Gauge. High values indicate CPU-bound request processing. Requires ExtendedStatus On. Can exceed 100% on multi-core systems.,%,gauge,apache_cpuload,timeseries + query-value,avg,none,context.server.address:10,context.env,context.team,ExtendedStatus not enabled — metric will be 0 or absent,One value per instance,None,prometheus-community/apache_exporter (confirmed live)
Saturation,apache_load,true,System load average by time interval. Gauge. Has interval attribute with values 1 / 5 / 15 (minutes). System-level metric — NOT Apache-specific CPU. Reflects total host load from /proc/loadavg.,dimensionless,gauge,apache_load,timeseries (group by interval),avg,none,context.server.address:10 context.interval:3,context.env,context.team,/proc/loadavg unavailable (non-Linux) or ExtendedStatus Off,interval attribute (1/5/15) — low cardinality,Filter: interval=1 for 1-minute load,prometheus-community/apache_exporter (confirmed live — context.interval attribute key verified)
Saturation,apache_scoreboard,true,Apache request processing slots by state from mod_status scoreboard. Gauge. Has state attribute with values: open/waiting/starting/reading/sending/keepalive/logging/finishing/idle_cleanup/closing/dnslookup/unknown.,{slots},gauge,apache_scoreboard,timeseries + pie (by state),sum,none,context.server.address:10 context.state:12,context.env,context.team,Scrape failure or mod_status disabled,state has 12 values per instance — low cardinality,Filter by state value,prometheus-community/apache_exporter (confirmed live — state attribute key verified)
Saturation,apache_generation,true,Current server configuration generation count. Gauge. Has type attribute. Increments on graceful restart — use to detect configuration reloads.,dimensionless,gauge,apache_generation,query-value + timeseries,max,none,context.server.address:10 context.type:2,context.env,context.team,Scrape failure,type attribute — low cardinality,None,prometheus-community/apache_exporter (confirmed live — context.type attribute key verified)
