theme,name,confirmed,definition,unit,type,tsuga_metric_name,widget_suggestions,aggregation,post_function,group_by,required_context_fields,optional_context_fields,absence_means,cardinality_footguns,variants,citations
Availability/Health,DCGM_FI_DEV_VGPU_LICENSE_STATUS,true,vGPU license health status for virtual GPU deployments,1,gauge,DCGM_FI_DEV_VGPU_LICENSE_STATUS,query-value|timeseries,max,none,context.uuid:20|context.hostname:20,context.env|context.team,context.service.name|context.scope|context.hostname|context.uuid|context.gpu|context.modelname|context.pci_bus_id|context.device|context.deployment.environment,Usually metric not applicable because vGPU not enabled,Safe,dcgm=DCGM_FI_DEV_VGPU_LICENSE_STATUS,https://docs.nvidia.com/datacenter/dcgm/latest/dcgm-api/dcgm-api-field-ids.html|https://raw.githubusercontent.com/NVIDIA/dcgm-exporter/main/etc/default-counters.csv
Errors/Failures,DCGM_FI_DEV_UNCORRECTABLE_REMAPPED_ROWS,true,Count of remapped memory rows after uncorrectable events,{row},counter,DCGM_FI_DEV_UNCORRECTABLE_REMAPPED_ROWS,timeseries|query-value|top-list,sum,rate,context.uuid:20|context.hostname:20,context.env|context.team,context.service.name|context.scope|context.hostname|context.uuid|context.gpu|context.modelname|context.pci_bus_id|context.device|context.deployment.environment,No severe remap events or metric disabled,Safe,dcgm=DCGM_FI_DEV_UNCORRECTABLE_REMAPPED_ROWS,https://docs.nvidia.com/datacenter/dcgm/latest/dcgm-api/dcgm-api-field-ids.html|https://raw.githubusercontent.com/NVIDIA/dcgm-exporter/main/etc/default-counters.csv
Performance/Latency,DCGM_FI_DEV_MEM_CLOCK,true,Current memory clock frequency,MHz,gauge,DCGM_FI_DEV_MEM_CLOCK,query-value|timeseries|top-list,average,none,context.uuid:20|context.hostname:20,context.env|context.team,context.service.name|context.scope|context.hostname|context.uuid|context.gpu|context.modelname|context.pci_bus_id|context.device|context.deployment.environment,Missing memory clock collection or unsupported device,Safe,dcgm=DCGM_FI_DEV_MEM_CLOCK,https://docs.nvidia.com/datacenter/dcgm/latest/dcgm-api/dcgm-api-field-ids.html|https://raw.githubusercontent.com/NVIDIA/dcgm-exporter/main/etc/default-counters.csv
Errors/Failures,DCGM_FI_DEV_XID_ERRORS,true,Last seen Xid error code reported by driver,{code},gauge,DCGM_FI_DEV_XID_ERRORS,query-value|timeseries|top-list,max,none,context.uuid:20|context.hostname:20,context.env|context.team,context.service.name|context.scope|context.hostname|context.uuid|context.gpu|context.modelname|context.pci_bus_id|context.device|context.deployment.environment,No Xid events in window or collector not enabled,Safe,dcgm=DCGM_FI_DEV_XID_ERRORS,https://docs.nvidia.com/datacenter/dcgm/latest/dcgm-api/dcgm-api-field-ids.html|https://docs.nvidia.com/deploy/xid-errors/index.html
Capacity/Saturation,DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION,true,Cumulative GPU energy consumed over runtime,mJ,counter,DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION,timeseries|query-value|top-list,sum,rate,context.uuid:20|context.hostname:20,context.env|context.team,context.service.name|context.scope|context.hostname|context.uuid|context.gpu|context.modelname|context.pci_bus_id|context.device|context.deployment.environment,Energy telemetry unavailable or reset during restart,Safe,dcgm=DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION,https://docs.nvidia.com/datacenter/dcgm/latest/dcgm-api/dcgm-api-field-ids.html|https://raw.githubusercontent.com/NVIDIA/dcgm-exporter/main/etc/default-counters.csv
Capacity/Saturation,DCGM_FI_DEV_GPU_UTIL,true,Fraction of time GPU compute engines are active,%,gauge,DCGM_FI_DEV_GPU_UTIL,query-value|timeseries|top-list,average,none,context.uuid:20|context.hostname:20,context.env|context.team,context.service.name|context.scope|context.hostname|context.uuid|context.gpu|context.modelname|context.pci_bus_id|context.device|context.deployment.environment,No workload running or utilization metric disabled,Safe,dcgm=DCGM_FI_DEV_GPU_UTIL,https://docs.nvidia.com/datacenter/dcgm/latest/dcgm-api/dcgm-api-field-ids.html|https://raw.githubusercontent.com/NVIDIA/dcgm-exporter/main/etc/default-counters.csv
Performance/Latency,DCGM_FI_DEV_MEMORY_TEMP,true,Current memory temperature,C,gauge,DCGM_FI_DEV_MEMORY_TEMP,query-value|timeseries|top-list,max,none,context.uuid:20|context.hostname:20,context.env|context.team,context.service.name|context.scope|context.hostname|context.uuid|context.gpu|context.modelname|context.pci_bus_id|context.device|context.deployment.environment,Memory temperature collection unavailable on this SKU,Safe,dcgm=DCGM_FI_DEV_MEMORY_TEMP,https://docs.nvidia.com/datacenter/dcgm/latest/dcgm-api/dcgm-api-field-ids.html|https://raw.githubusercontent.com/NVIDIA/dcgm-exporter/main/etc/default-counters.csv
Throughput/Usage,DCGM_FI_PROF_PCIE_TX_BYTES,true,Observed PCIe transmit throughput for the GPU,By/s,counter,DCGM_FI_PROF_PCIE_TX_BYTES,timeseries|query-value|top-list,sum,rate,context.uuid:20|context.hostname:20,context.env|context.team,context.service.name|context.scope|context.hostname|context.uuid|context.gpu|context.modelname|context.pci_bus_id|context.device|context.deployment.environment,Profiling counters not enabled or no transport activity,Safe,dcgm=DCGM_FI_PROF_PCIE_TX_BYTES,https://docs.nvidia.com/datacenter/dcgm/latest/dcgm-api/dcgm-api-field-ids.html|https://raw.githubusercontent.com/NVIDIA/dcgm-exporter/main/etc/default-counters.csv
Throughput/Usage,DCGM_FI_DEV_NVLINK_BANDWIDTH_TOTAL,true,Aggregate NVLink bandwidth signal across links,Unknown,counter,DCGM_FI_DEV_NVLINK_BANDWIDTH_TOTAL,timeseries|query-value|top-list,sum,rate,context.uuid:20|context.hostname:20,context.env|context.team,context.service.name|context.scope|context.hostname|context.uuid|context.gpu|context.modelname|context.pci_bus_id|context.device|context.deployment.environment,NVLink not present profiling disabled or metric not wired,Safe,dcgm=DCGM_FI_DEV_NVLINK_BANDWIDTH_TOTAL,https://raw.githubusercontent.com/NVIDIA/dcgm-exporter/main/etc/default-counters.csv|https://docs.nvidia.com/datacenter/dcgm/latest/user-guide/feature-overview.html
Errors/Failures,DCGM_FI_DEV_PCIE_REPLAY_COUNTER,true,Counter of PCIe replay events indicating link retransmissions,{replay},counter,DCGM_FI_DEV_PCIE_REPLAY_COUNTER,timeseries|query-value|top-list,sum,rate,context.uuid:20|context.hostname:20,context.env|context.team,context.service.name|context.scope|context.hostname|context.uuid|context.gpu|context.modelname|context.pci_bus_id|context.device|context.deployment.environment,No replay events or unsupported hardware telemetry path,Safe,dcgm=DCGM_FI_DEV_PCIE_REPLAY_COUNTER,https://docs.nvidia.com/datacenter/dcgm/latest/dcgm-api/dcgm-api-field-ids.html|https://docs.nvidia.com/datacenter/dcgm/latest/user-guide/dcgm-diagnostics.html
