theme,name,confirmed,definition,unit,type,tsuga_metric_name,widget_suggestions,aggregation,post_function,group_by,required_context_fields,optional_context_fields,absence_means,cardinality_footguns,variants,citations
Throughput/Usage,cassandra.client.request.count,true,"Cumulative count of client requests by operation type (read/write/range_slice/cas_read/cas_write/view_write). This is the primary client-facing throughput metric — use it for cluster-wide rates, not table.operation.count which double-counts due to replication.",{request},counter,cassandra.client.request.count,timeseries|query-value|top-list,sum,rate,context.operation:6,context.env|context.team,context.service.name,"OTel receiver not running or JMX connection failed; check collector logs","Do NOT group by context.operation and context.service.name simultaneously at full cardinality; use top-list with top_n",otel=cassandra.client.request.count|dd=cassandra.latency.one_minute_rate,https://github.com/open-telemetry/opentelemetry-java-contrib/blob/main/jmx-metrics/docs/target-systems/cassandra.md
Errors/Failures,cassandra.client.request.error.count,true,"Cumulative count of client request errors by operation type and status (Timeout/Unavailable/etc.). Non-zero rate indicates replicas are not responding within timeout. Distinguish from dropped messages (node-internal failure mode) — these are coordinator-level errors returned to clients.",{request},counter,cassandra.client.request.error.count,timeseries|query-value,sum,rate,context.operation:6|context.status:10,context.env|context.team,context.service.name,"OTel receiver issue or no errors occurring (both are possible — check request count is present)","Grouping by both operation and status simultaneously may produce many series; prefer top-list with single group-by",otel=cassandra.client.request.error.count,https://github.com/open-telemetry/opentelemetry-java-contrib/blob/main/jmx-metrics/docs/target-systems/cassandra.md
Performance/Latency,cassandra.client.request.read.latency.50p,true,"Pre-computed p50 read latency from JMX ClientRequest MBean. This is a gauge (not histogram) — use average aggregation with no post-function. Represents the median read response time seen by coordinators across all reads. No host dimension available; use context.service.name for per-node view.",us,gauge,cassandra.client.request.read.latency.50p,timeseries|query-value,average,none,context.service.name:20,context.env|context.team,,"OTel receiver not running or JMX issue","Low cardinality; safe to group by service.name for per-node view",otel=cassandra.client.request.read.latency.50p|dd=cassandra.read_latency.50th_percentile,https://github.com/open-telemetry/opentelemetry-java-contrib/blob/main/jmx-metrics/docs/target-systems/cassandra.md
Performance/Latency,cassandra.client.request.read.latency.99p,true,"Pre-computed p99 read latency from JMX. The primary SLA signal for read performance — most latency alerting is based on this metric. Spikes indicate compaction backlog, GC pauses, tombstone accumulation, or hot partitions. No host dimension; use context.service.name for per-node breakdown.",us,gauge,cassandra.client.request.read.latency.99p,timeseries|query-value,average,none,context.service.name:20,context.env|context.team,,"OTel receiver not running or JMX issue","Safe; group by service.name to isolate degraded nodes",otel=cassandra.client.request.read.latency.99p|dd=cassandra.read_latency.99th_percentile,https://github.com/open-telemetry/opentelemetry-java-contrib/blob/main/jmx-metrics/docs/target-systems/cassandra.md
Performance/Latency,cassandra.client.request.read.latency.max,true,"Pre-computed max read latency from JMX ClientRequest MBean. Gauge — use max aggregation. Max latency reveals worst-case read response times and is key for SLO violation detection and outlier identification. Pairs with p99 to distinguish sustained degradation from single-request spikes.",us,gauge,cassandra.client.request.read.latency.max,timeseries|query-value,max,none,context.service.name:20,context.env|context.team,,"OTel receiver not running or JMX issue","Safe cardinality; use max aggregation to surface worst-case across service instances",otel=cassandra.client.request.read.latency.max,https://github.com/open-telemetry/opentelemetry-java-contrib/blob/main/jmx-metrics/docs/target-systems/cassandra.md
Performance/Latency,cassandra.client.request.write.latency.50p,true,"Pre-computed p50 write latency from JMX. Gauge — use average aggregation. Writes are typically faster than reads in Cassandra (hit Memtable first); high write p50 indicates Memtable flush backlog or commit log contention. No host dimension; use context.service.name for per-node view.",us,gauge,cassandra.client.request.write.latency.50p,timeseries|query-value,average,none,context.service.name:20,context.env|context.team,,"OTel receiver not running or JMX issue","Safe; group by service.name to isolate degraded nodes",otel=cassandra.client.request.write.latency.50p|dd=cassandra.write_latency.50th_percentile,https://github.com/open-telemetry/opentelemetry-java-contrib/blob/main/jmx-metrics/docs/target-systems/cassandra.md
Performance/Latency,cassandra.client.request.write.latency.99p,true,"Pre-computed p99 write latency from JMX. High write p99 indicates Memtable flush pressure, compaction CPU competition, or a slow/down replica node. CAS write latency is included in this metric if CAS operations exist — separate with context.operation filter if needed.",us,gauge,cassandra.client.request.write.latency.99p,timeseries|query-value,average,none,context.service.name:20,context.env|context.team,,"OTel receiver not running or JMX issue","Safe; group by service.name; avoid mixing CAS and non-CAS without filter",otel=cassandra.client.request.write.latency.99p|dd=cassandra.write_latency.99th_percentile,https://github.com/open-telemetry/opentelemetry-java-contrib/blob/main/jmx-metrics/docs/target-systems/cassandra.md
Performance/Latency,cassandra.client.request.write.latency.max,true,"Pre-computed max write latency from JMX. Gauge — use max aggregation. Max write latency reveals worst-case write path stalls due to Memtable flush pressure, commit log contention, or GC pauses. Useful for pinpointing individual node write degradation.",us,gauge,cassandra.client.request.write.latency.max,timeseries|query-value,max,none,context.service.name:20,context.env|context.team,,"OTel receiver not running or JMX issue","Safe cardinality; use max aggregation to surface worst-case across service instances",otel=cassandra.client.request.write.latency.max,https://github.com/open-telemetry/opentelemetry-java-contrib/blob/main/jmx-metrics/docs/target-systems/cassandra.md
Performance/Latency,cassandra.client.request.range_slice.latency.50p,true,"Pre-computed p50 latency for range slice (scan) requests from JMX. Gauge — use average aggregation. Range scans are inherently more expensive than point reads; elevated p50 often indicates wide partitions or heavy scan workloads.",us,gauge,cassandra.client.request.range_slice.latency.50p,timeseries|query-value,average,none,context.service.name:20,context.env|context.team,,"OTel receiver issue or no range slice operations in workload","Safe cardinality; group by service.name",otel=cassandra.client.request.range_slice.latency.50p,https://github.com/open-telemetry/opentelemetry-java-contrib/blob/main/jmx-metrics/docs/target-systems/cassandra.md
Performance/Latency,cassandra.client.request.range_slice.latency.99p,true,"Pre-computed p99 latency for range slice (scan) requests from JMX. Gauge. Range scans are inherently more expensive than point reads; high range scan p99 often indicates tombstone accumulation or wide partitions being scanned.",us,gauge,cassandra.client.request.range_slice.latency.99p,timeseries|query-value,average,none,context.service.name:20,context.env|context.team,,"OTel receiver issue or no range slice operations in workload","Safe cardinality; group by service.name",otel=cassandra.client.request.range_slice.latency.99p|dd=cassandra.range_latency.99th_percentile,https://github.com/open-telemetry/opentelemetry-java-contrib/blob/main/jmx-metrics/docs/target-systems/cassandra.md
