theme,name,confirmed,definition,unit,type,tsuga_metric_name,widget_suggestions,aggregation,post_function,group_by,required_context_fields,optional_context_fields,absence_means,cardinality_footguns,variants,citations
Availability/Health,ActiveConnections,true,"Number of concurrent active TCP connections through the PrivateLink endpoint or endpoint service during the 1-minute CloudWatch period. Measures sustained connection load; sudden drops indicate mass disconnections from idle timeout or backend failures.",{connection},gauge,aws_privatelinkendpoints_active_connections,timeseries|query-value|top-list,sum,none,"context.vpc endpoint id:10|context.service name:10","context.vpc endpoint id|context.service name","context.vpc id|context.cloud.region|context.cloud.account.id","Endpoint/service exists but no active connections established; either no consumer traffic or all connections recently closed.","Safe for typical deployments (10-100 endpoints per account); high cardinality risk if grouping by subnet id (1000s). Use vpc endpoint id (top 10) or service name (top 10) only. Context fields use SPACE-SEPARATED naming.",consumer=AWS/PrivateLinkEndpoints.ActiveConnections|provider=AWS/PrivateLinkServices.ActiveConnections,https://docs.aws.amazon.com/vpc/latest/privatelink/privatelink-cloudwatch-metrics.html
Throughput/Usage,NewConnections,true,"Number of new TCP connections established through the PrivateLink endpoint or endpoint service during the 1-minute CloudWatch period. Measures connection establishment rate; zero NewConnections while app attempts connections = authorization or connectivity failure.",{connection},counter,aws_privatelinkendpoints_new_connections,timeseries|query-value|top-list,sum,rate,"context.vpc endpoint id:10|context.service name:10","context.vpc endpoint id|context.service name","context.vpc id|context.cloud.region|context.cloud.account.id","No new connections during period; normal if connection pool stable. Zero while app attempts connections = rejected/failed state, security group block, or DNS failure.","Safe for group-by on vpc endpoint id or service name (low-medium cardinality). Cumulative temporality confirmed; use rate post-function.",consumer=AWS/PrivateLinkEndpoints.NewConnections|provider=AWS/PrivateLinkServices.NewConnections,https://docs.aws.amazon.com/vpc/latest/privatelink/privatelink-cloudwatch-metrics.html
Throughput/Usage,BytesProcessed,true,"Total bytes transferred through the PrivateLink endpoint or endpoint service during the 1-minute CloudWatch period. Includes both inbound and outbound traffic. Used for bandwidth utilization analysis and data transfer cost calculation ($0.01/GB tier 1).",By,counter,aws_privatelinkendpoints_bytes_processed,timeseries|query-value|top-list,sum,rate,"context.vpc endpoint id:10|context.service name:10","context.vpc endpoint id|context.service name","context.vpc id|context.cloud.region|context.cloud.account.id","No data transferred during period; endpoint/service exists but idle. Zero sustained for >5 minutes = possible connectivity issue or app not using endpoint.","Safe for vpc endpoint id/service name group-by. NOTE: Availability Zone dimension does NOT exist in Tsuga; per-AZ bandwidth analysis not possible. Region dimension (context.cloud.region) exists for cross-region cost analysis.",consumer=AWS/PrivateLinkEndpoints.BytesProcessed|provider=AWS/PrivateLinkServices.BytesProcessed,https://docs.aws.amazon.com/vpc/latest/privatelink/privatelink-cloudwatch-metrics.html|https://aws.amazon.com/privatelink/pricing/
Errors/Failures,PacketDropCount,true,"Number of packets dropped by the PrivateLink endpoint or endpoint service during the 1-minute CloudWatch period. Primary indicator of bandwidth saturation (exceeding 10 Gbps per AZ), MTU mismatches, or network congestion. Any sustained non-zero value is actionable.",{packet},counter,aws_privatelinkendpoints_packets_dropped,timeseries|query-value|top-list,sum,rate,"context.vpc endpoint id:10|context.service name:10","context.vpc endpoint id|context.service name","context.vpc id|context.cloud.region|context.cloud.account.id","No packets dropped; healthy state. Zero is expected baseline; any non-zero indicates issues.","Safe for vpc endpoint id/service name group-by. NOTE: Availability Zone dimension does NOT exist; cannot identify per-AZ hotspots. Aggregate at endpoint level only.",consumer=AWS/PrivateLinkEndpoints.PacketDropCount|provider=AWS/PrivateLinkServices.PacketDropCount,https://docs.aws.amazon.com/vpc/latest/privatelink/privatelink-cloudwatch-metrics.html|https://repost.aws/knowledge-center/vpc-troubleshoot-network-performance-privatelink
Errors/Failures,ResetPacketsReceived,true,"Number of TCP RST (reset) packets received by the PrivateLink endpoint or endpoint service during the 1-minute CloudWatch period. Indicates abrupt connection terminations from idle timeout (350s), application errors, or NLB target health failures. Elevated RST count (>100/min) = active connection instability.",{packet},counter,aws_privatelinkendpoints_rst_packets_received,timeseries|query-value|top-list,sum,rate,"context.vpc endpoint id:10|context.service name:10","context.vpc endpoint id|context.service name","context.vpc id|context.cloud.region|context.cloud.account.id","No TCP resets; healthy connection lifecycle (graceful FIN terminations). Some RST packets normal during failover or app restarts; sustained >100/min is actionable.",Safe for vpc endpoint id/service name group-by. Correlate with NLB UnHealthyHostCount (provider-side) to identify backend-driven resets vs idle timeout resets. Cumulative temporality confirmed; use rate post-function.,consumer=AWS/PrivateLinkEndpoints.ResetPacketsReceived|provider=AWS/PrivateLinkServices.ResetPacketsReceived,https://docs.aws.amazon.com/vpc/latest/privatelink/privatelink-cloudwatch-metrics.html|https://repost.aws/knowledge-center/vpc-troubleshoot-network-performance-privatelink
Availability/Health,EndpointsCount,true,"(Provider-side OR aggregate metric) Count of VPC endpoints. Exact semantics unclear; may be total consumer endpoints per service or aggregate endpoint count. Unexpected metric found during discovery.",{endpoint},counter,aws_privatelinkservices_endpoints_count,query-value,sum,none,context.service name:10,context.service name,context.cloud.region|context.cloud.account.id,"Zero endpoints; no consumers connected to endpoint service OR metric not applicable to consumer-side.","Low cardinality; safe for service name group-by. Exact use case unclear; Stage 3 should evaluate if worth including in provider dashboards.",provider=AWS/PrivateLinkServices,https://docs.aws.amazon.com/vpc/latest/privatelink/privatelink-cloudwatch-metrics.html
Availability/Health,NLB_HealthyHostCount,true,"(Provider-side only) Number of healthy targets registered with the Network Load Balancer backing the PrivateLink endpoint service. Target health failures cascade to consumer-side metrics (PacketDropCount, ResetPacketsReceived). Zero healthy hosts = service unavailable to all consumers.",{target},gauge,aws_networkelb_healthy_host_count,timeseries|query-value,sum,none,"context.service id:10|context.target group arn:10",context.service id,"context.target group arn|context.cloud.region","NLB has no registered targets OR all targets are failing health checks. Zero sustained >2 minutes = service outage.","Safe for service id and target group arn group-by (low cardinality in typical provider setups). Provider-side only; consumers cannot see this metric. Context field naming uses space-separated format (inferred based on PrivateLink pattern; Stage 3 should validate).",NLB=AWS/NetworkELB.HealthyHostCount,https://docs.aws.amazon.com/elasticloadbalancing/latest/network/load-balancer-cloudwatch-metrics.html
Availability/Health,NLB_UnHealthyHostCount,true,"(Provider-side only) Number of unhealthy targets registered with the Network Load Balancer backing the PrivateLink endpoint service. Unhealthy targets cause consumer-side connection errors and resets. Any non-zero value is actionable for provider.",{target},gauge,aws_networkelb_un_healthy_host_count,timeseries|query-value,sum,none,"context.service id:10|context.target group arn:10",context.service id,"context.target group arn|context.cloud.region","All targets are healthy. Zero is expected baseline; any non-zero indicates backend service degradation.","Safe for service id and target group arn group-by. Note: Tsuga metric name uses underscore in un_healthy (not unhealthy). Correlate with consumer-side ResetPacketsReceived to confirm backend-driven connection failures.",NLB=AWS/NetworkELB.UnHealthyHostCount,https://docs.aws.amazon.com/elasticloadbalancing/latest/network/load-balancer-cloudwatch-metrics.html
Errors/Failures,NLB_TargetConnectionErrorCount,false,"(Provider-side only) Number of connections from the NLB to targets that failed during the 1-minute period. Indicates backend capacity exhaustion, target crashes, or port mismatches. Correlates with consumer-side RST resets.",{connection},counter,Unknown,timeseries|query-value,sum,rate,"context.service id:10|context.target group arn:10",context.service id,"context.target group arn|context.cloud.region","No connection errors to backend targets; healthy state. Zero is expected; any non-zero indicates backend issues.","NOT FOUND in Tsuga during Stage 2 discovery. Metric expected but not ingested. Alternative: use aws_networkelb_tcp_target_reset_count as proxy for connection quality. Widget using this metric should be gated or replaced.",NLB=AWS/NetworkELB.TargetConnectionErrorCount,https://docs.aws.amazon.com/elasticloadbalancing/latest/network/load-balancer-cloudwatch-metrics.html
Throughput/Usage,NLB_ProcessedBytes,true,"(Provider-side only) Total bytes processed by the Network Load Balancer backing the PrivateLink endpoint service. Should closely match consumer-side BytesProcessed; significant divergence indicates traffic loss or asymmetric routing.",By,counter,aws_networkelb_processed_bytes,timeseries|query-value,sum,rate,"context.service id:10|context.target group arn:10",context.service id,"context.target group arn|context.cloud.region","NLB processed no traffic; endpoint service exists but no consumer connections. Zero sustained = no consumer usage.","Safe for service id and target group arn group-by. Cumulative temporality confirmed; use rate post-function.",NLB=AWS/NetworkELB.ProcessedBytes,https://docs.aws.amazon.com/elasticloadbalancing/latest/network/load-balancer-cloudwatch-metrics.html
