theme,name,confirmed,definition,unit,type,tsuga_metric_name,widget_suggestions,aggregation,post_function,group_by,required_context_fields,optional_context_fields,absence_means,cardinality_footguns,variants,citations
Capacity/Saturation,AccountMaxReads,true,Maximum read capacity units the account can use in the Region for provisioned tables.,count,summary,aws_dynamodb_account_max_reads,query-value|timeseries,max,none,context.cloud.region:10,context.env|context.team,context.cloud.account.id,Metric absent or namespace mismatch,Account-scoped metric so table group-by is invalid,live=aws_dynamodb_account_max_reads,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/metrics-dimensions.html
Capacity/Saturation,AccountMaxTableLevelReads,true,Maximum read capacity units any single table or GSI in the account can use in the Region.,count,summary,aws_dynamodb_account_max_table_level_reads,query-value|timeseries,max,none,context.cloud.region:10,context.env|context.team,context.cloud.account.id,Metric absent or namespace mismatch,Account-scoped metric so table group-by is invalid,live=aws_dynamodb_account_max_table_level_reads,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/metrics-dimensions.html
Capacity/Saturation,AccountMaxTableLevelWrites,true,Maximum write capacity units any single table or GSI in the account can use in the Region.,count,summary,aws_dynamodb_account_max_table_level_writes,query-value|timeseries,max,none,context.cloud.region:10,context.env|context.team,context.cloud.account.id,Metric absent or namespace mismatch,Account-scoped metric so table group-by is invalid,live=aws_dynamodb_account_max_table_level_writes,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/metrics-dimensions.html
Capacity/Saturation,AccountMaxWrites,true,Maximum write capacity units the account can use in the Region for provisioned tables.,count,summary,aws_dynamodb_account_max_writes,query-value|timeseries,max,none,context.cloud.region:10,context.env|context.team,context.cloud.account.id,Metric absent or namespace mismatch,Account-scoped metric so table group-by is invalid,live=aws_dynamodb_account_max_writes,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/metrics-dimensions.html
Capacity/Saturation,AccountProvisionedReadCapacityUtilization,true,Percentage of provisioned read capacity used across the account in a Region; quota proximity context.,%,summary,aws_dynamodb_account_provisioned_read_capacity_utilization,query-value|timeseries,max,none,context.cloud.region:10,context.env|context.team,context.cloud.account.id,No provisioned tables in region or namespace mismatch,Account scope is too broad for table drilldowns,cloudwatch=AccountProvisionedReadCapacityUtilization,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/metrics-dimensions.html
Capacity/Saturation,AccountProvisionedWriteCapacityUtilization,true,Percentage of provisioned write capacity used across the account in a Region; quota proximity context.,%,summary,aws_dynamodb_account_provisioned_write_capacity_utilization,query-value|timeseries|max,none,context.cloud.region:10,context.env|context.team,context.cloud.account.id,No provisioned tables in region or namespace mismatch,Account scope is too broad for table drilldowns,cloudwatch=AccountProvisionedWriteCapacityUtilization,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/metrics-dimensions.html
Throughput/Usage,ConsumedReadCapacityUnits,true,Read capacity actually consumed over the time period; best baseline for read demand and one denominator for read saturation.,count,summary,aws_dynamodb_consumed_read_capacity_units,query-value|timeseries|top-list,sum,none,context.tablename:20,context.env|context.team,context.cloud.region|context.cloud.account.id,No reads or namespace mismatch,Keep default grouping at table scope because GSI context is not present in this workspace,cloudwatch=ConsumedReadCapacityUnits,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/metrics-dimensions.html
Throughput/Usage,ConsumedWriteCapacityUnits,true,Write capacity actually consumed over the time period; best baseline for write demand and one denominator for write saturation.,count,summary,aws_dynamodb_consumed_write_capacity_units,query-value|timeseries|top-list,sum,none,context.tablename:20,context.env|context.team,context.cloud.region|context.cloud.account.id,No writes or namespace mismatch,Keep default grouping at table scope because GSI context is not present in this workspace,cloudwatch=ConsumedWriteCapacityUnits,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/metrics-dimensions.html
Capacity/Saturation,MaxProvisionedTableReadCapacityUtilization,true,Highest provisioned read-capacity utilization observed on any single table or GSI in the account during the interval.,%,summary,aws_dynamodb_max_provisioned_table_read_capacity_utilization,query-value|timeseries,max,none,context.cloud.region:10,context.env|context.team,context.cloud.account.id,No provisioned tables in region or namespace mismatch,Account-scoped metric so it cannot identify the hot table by itself,live=aws_dynamodb_max_provisioned_table_read_capacity_utilization,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/metrics-dimensions.html
Capacity/Saturation,MaxProvisionedTableWriteCapacityUtilization,true,Highest provisioned write-capacity utilization observed on any single table or GSI in the account during the interval.,%,summary,aws_dynamodb_max_provisioned_table_write_capacity_utilization,query-value|timeseries,max,none,context.cloud.region:10,context.env|context.team,context.cloud.account.id,No provisioned tables in region or namespace mismatch,Account-scoped metric so it cannot identify the hot table by itself,live=aws_dynamodb_max_provisioned_table_write_capacity_utilization,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/metrics-dimensions.html
Capacity/Saturation,ProvisionedReadCapacityUnits,true,Provisioned read capacity configured for a table; denominator for read headroom in this workspace.,count,summary,aws_dynamodb_provisioned_read_capacity_units,query-value|timeseries|top-list,max,none,context.tablename:20,context.env|context.team,context.cloud.region|context.cloud.account.id,Table is on-demand or namespace mismatch,Use table grouping only because GSI context is not present in this workspace,cloudwatch=ProvisionedReadCapacityUnits,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/metrics-dimensions.html
