theme,name,confirmed,definition,unit,type,tsuga_metric_name,widget_suggestions,aggregation,post_function,group_by,required_context_fields,optional_context_fields,absence_means,cardinality_footguns,variants,citations
Capacity/Saturation,jvm.memory.used,true,Measure of memory currently used by the JVM across memory pools. Must filter by context.jvm.memory.type to separate heap from non-heap. Primary signal for heap pressure and leak detection. UpDownCounter — treat as gauge.,By,gauge,jvm.memory.used,timeseries|query-value|bar|top-list,sum,none,context.jvm.memory.pool.name:10|context.service.name:10,context.env|context.service.name,context.k8s.cluster.name|context.k8s.namespace.name|context.team,OTel agent not attached or metrics export disabled; verify agent attachment and OTEL_METRICS_EXPORTER setting,"context.jvm.memory.pool.name values differ by GC (G1: G1 Old Gen vs Parallel: PS Old Gen); do not group cross-GC without awareness. Avoid context.k8s.pod.name (high cardinality).",otel=jvm.memory.used|legacy=process.runtime.jvm.memory.usage,https://opentelemetry.io/docs/specs/semconv/runtime/jvm-metrics/
Capacity/Saturation,jvm.memory.committed,true,Measure of memory committed (allocated from OS and available for JVM use) in each pool. Used as denominator for non-heap pressure when jvm.memory.limit is 0 (Metaspace without MaxMetaspaceSize). UpDownCounter — treat as gauge.,By,gauge,jvm.memory.committed,timeseries|query-value,sum,none,context.jvm.memory.pool.name:10|context.service.name:10,context.env|context.service.name,context.k8s.cluster.name|context.k8s.namespace.name,OTel agent not attached or collection disabled,Same GC-specific pool name cardinality as jvm.memory.used. Do not group by pod name.,otel=jvm.memory.committed|legacy=process.runtime.jvm.memory.committed,https://opentelemetry.io/docs/specs/semconv/runtime/jvm-metrics/
Capacity/Saturation,jvm.memory.limit,true,Measure of maximum memory obtainable for each pool. For heap pools: equals -Xmx; for Metaspace without -XX:MaxMetaspaceSize: may be -1 or very large. UpDownCounter — treat as gauge.,By,gauge,jvm.memory.limit,query-value,sum,none,context.jvm.memory.pool.name:10|context.service.name:10,context.env|context.service.name,context.k8s.cluster.name,OTel agent not attached,"Metaspace limit may be -1 (unlimited); use committed as denominator for Metaspace pressure instead. GC-specific pool names vary.",otel=jvm.memory.limit|legacy=process.runtime.jvm.memory.limit,https://opentelemetry.io/docs/specs/semconv/runtime/jvm-metrics/
Capacity/Saturation,jvm.memory.used_after_last_gc,true,Measure of memory used after the most recent GC event on each pool. This is the live set size — the baseline below which the heap cannot shrink. Best metric for memory leak detection. UpDownCounter — treat as gauge.,By,gauge,jvm.memory.used_after_last_gc,timeseries|query-value,sum,none,context.jvm.memory.pool.name:10|context.service.name:10,context.env|context.service.name,context.k8s.cluster.name,OTel agent not attached or GC not yet run; appears after first GC event,"Only available on heap pools that track collection usage. Non-heap pools may not emit this metric. GC-specific pool names vary.",otel=jvm.memory.used_after_last_gc,https://opentelemetry.io/docs/specs/semconv/runtime/jvm-metrics/
Capacity/Saturation,jvm.memory.init,false,Initial memory that was requested from the OS at JVM startup for each pool. Informational; rarely changes after startup. Development stability status in some OTel versions. UpDownCounter — treat as gauge.,By,gauge,jvm.memory.init,query-value,sum,none,context.service.name:10,context.env|context.service.name,,OTel agent not attached or Development feature disabled,Safe — low cardinality.,otel=jvm.memory.init|legacy=process.runtime.jvm.memory.init,https://opentelemetry.io/docs/specs/semconv/runtime/jvm-metrics/
Performance/Latency,jvm.gc.duration,true,"Duration of JVM garbage collection actions recorded as a histogram. Use percentile(p95/p99) for pause latency; use count with per-second for GC rate; use sum with per-second for GC CPU overhead. Filter context.jvm.gc.action to separate minor (end of minor GC) from major (end of major GC) events. CRITICAL: Histogram support in Tsuga must be verified in Stage 2.",s,histogram,jvm.gc.duration,timeseries|query-value|bar|top-list,percentile(p95)|count,none|per-second,context.jvm.gc.name:10|context.jvm.gc.action:2|context.service.name:10,context.env|context.service.name,context.k8s.cluster.name|context.k8s.namespace.name|context.team,"Histogram metric — verify that Tsuga exposes percentile aggregations for this metric. If not available as histogram, only sum/count may work.","context.jvm.gc.name values differ by GC implementation. jvm.gc.cause is Development status and may not be available. Do not group by pod name.",otel=jvm.gc.duration|legacy=process.runtime.jvm.gc.duration,https://opentelemetry.io/docs/specs/semconv/runtime/jvm-metrics/
Capacity/Saturation,jvm.thread.count,true,"Number of currently executing platform threads. Includes runnable, blocked, waiting, timed_waiting threads. Does NOT count virtual threads (Java 21+ Project Loom). Use context.jvm.thread.state attribute to filter by state. UpDownCounter — treat as gauge.",{thread},gauge,jvm.thread.count,timeseries|query-value|bar,sum,none,context.jvm.thread.state:6|context.jvm.thread.daemon:2|context.service.name:10,context.env|context.service.name,context.k8s.cluster.name|context.k8s.namespace.name,OTel agent not attached; OR service uses only virtual threads (Java 21+) and platform thread count is near-zero by design,"context.jvm.thread.state has only 6 values (safe). context.jvm.thread.daemon has 2 values (safe). Do not group by pod name.",otel=jvm.thread.count|legacy=process.runtime.jvm.threads.count,https://opentelemetry.io/docs/specs/semconv/runtime/jvm-metrics/
Throughput/Usage,jvm.class.loaded,true,Total number of classes that have been loaded since JVM startup. Monotonically increasing counter. Use per-second rate for class load rate. Class loading spikes correlate with deployments and dynamic proxy generation.,{class},counter,jvm.class.loaded,timeseries|query-value,sum,per-second,context.service.name:10,context.env|context.service.name,context.k8s.cluster.name,OTel agent not attached,Safe — no high-cardinality attributes.,otel=jvm.class.loaded|legacy=process.runtime.jvm.classes.loaded,https://opentelemetry.io/docs/specs/semconv/runtime/jvm-metrics/
Throughput/Usage,jvm.class.unloaded,true,Total number of classes unloaded since JVM startup. Monotonically increasing counter. In most production JVMs with G1 and fixed classpath: near-zero. Rising value with OSGi or dynamic proxies is normal; rising value without dynamic loading = potential classloader leak being partially recovered.,{class},counter,jvm.class.unloaded,timeseries|query-value,sum,per-second,context.service.name:10,context.env|context.service.name,context.k8s.cluster.name,OTel agent not attached,Safe — no high-cardinality attributes.,otel=jvm.class.unloaded|legacy=process.runtime.jvm.classes.unloaded,https://opentelemetry.io/docs/specs/semconv/runtime/jvm-metrics/
Capacity/Saturation,jvm.class.count,true,Current number of classes loaded in the JVM (loaded minus unloaded). UpDownCounter — treat as gauge. Development stability status — may not be available in all OTel agent versions. Gate on availability.,{class},gauge,jvm.class.count,query-value|timeseries,sum,none,context.service.name:10,context.env|context.service.name,context.k8s.cluster.name,OTel agent not attached OR Development feature not enabled (gate this widget),Safe — no high-cardinality attributes.,otel=jvm.class.count,https://opentelemetry.io/docs/specs/semconv/runtime/jvm-metrics/
