theme,name,confirmed,definition,unit,type,tsuga_metric_name,widget_suggestions,aggregation,post_function,group_by,required_context_fields,optional_context_fields,absence_means,cardinality_footguns,variants,citations
Availability/Health,haproxy_backend_active_servers,true,Number of active servers (backend) or active flag (server scope),{servers},gauge,haproxy_backend_active_servers,query-value|timeseries|max,max,none,context.proxy:20|context.service.name:20,context.env|context.team,context.proxy|context.service.name,Optional metric disabled or role not exporting active state,Scope differences require careful aggregation,otel=haproxy.active|raw=act,https://raw.githubusercontent.com/open-telemetry/opentelemetry-collector-contrib/main/receiver/haproxyreceiver/documentation.md
Availability/Health,haproxy_backend_backup_servers,true,Number of backup servers or backup flag at server scope,{servers},gauge,haproxy_backend_backup_servers,query-value|timeseries|max,max,none,context.proxy:20|context.service.name:20,context.env|context.team,context.proxy|context.service.name,Optional metric disabled or no backup pool configured,Backup count alone does not prove failover readiness,otel=haproxy.backup|raw=bck,https://raw.githubusercontent.com/open-telemetry/opentelemetry-collector-contrib/main/receiver/haproxyreceiver/documentation.md
Availability/Health,haproxy_backend_client_aborts_total,true,Client-aborted data transfers often tied to client timeout behavior,{cancellations},counter,haproxy_backend_client_aborts_total,timeseries|query-value|top-list,sum,per-second,context.proxy:20|context.service.name:20,context.env|context.team,context.proxy|context.service.name,Optional metric disabled or no client aborts,Can spike from client deploys independent of backend health,otel=haproxy.clients.canceled|raw=cli_abrt,https://raw.githubusercontent.com/open-telemetry/opentelemetry-collector-contrib/main/receiver/haproxyreceiver/documentation.md
Availability/Health,haproxy_backend_downtime_seconds_total,true,Cumulative downtime seconds for backend or server,s,counter,haproxy_backend_downtime_seconds_total,timeseries|query-value|top-list,sum,per-second,context.proxy:20|context.service.name:20,context.env|context.team,context.proxy|context.service.name,No downtime accumulation in selected window,Cumulative metric should be viewed as increase/rate not raw absolute only,otel=haproxy.downtime|raw=downtime,https://raw.githubusercontent.com/open-telemetry/opentelemetry-collector-contrib/main/receiver/haproxyreceiver/documentation.md
Availability/Health,haproxy_backend_status,true,PROMEX backend status gauge (up/down semantics by exporter mapping),1,gauge,haproxy_backend_status,query-value|timeseries|max,max,none,context.proxy:20|context.service.name:20,context.env|context.team,context.proxy|context.service.name,PROMEX not enabled or backend status filtered out,Status encoding must be verified before thresholds,raw=haproxy_backend_status,https://raw.githubusercontent.com/haproxy/haproxy/master/addons/promex/README
Availability/Health,haproxy_server_check_failures_total,true,Failed health checks while server reported up,{checks},counter,haproxy_server_check_failures_total,timeseries|query-value|top-list,sum,per-second,context.proxy:20|context.service.name:20,context.env|context.team,context.proxy|context.service.name,No recent failed checks or optional metric disabled,Misses complete-down states if interpreted alone,otel=haproxy.failed_checks|raw=chkfail,https://raw.githubusercontent.com/open-telemetry/opentelemetry-collector-contrib/main/receiver/haproxyreceiver/documentation.md
Availability/Health,haproxy_server_status,true,PROMEX server status gauge per server target,1,gauge,haproxy_server_status,timeseries|top-list|max,max,none,context.proxy:20|context.service.name:20,context.env|context.team,context.proxy|context.service.name|context.server.address,Server status metric absent or scope filtered,Server labels can become high-cardinality with templates,raw=haproxy_server_status,https://raw.githubusercontent.com/haproxy/haproxy/master/addons/promex/README
Capacity/Saturation,haproxy_backend_current_queue,true,Current queued requests without server assignment indicating pressure,{requests},gauge,haproxy_backend_current_queue,timeseries|query-value|top-list,max,none,context.proxy:20|context.service.name:20,context.env|context.team,context.proxy|context.service.name,No queue pressure or metric disabled,Interpretation depends on receiver temporality mapping; verify in Stage 2,otel=haproxy.requests.queued|raw=qcur,https://raw.githubusercontent.com/open-telemetry/opentelemetry-collector-contrib/main/receiver/haproxyreceiver/documentation.md
Capacity/Saturation,haproxy_backend_weight,true,Effective backend/server weight for load-balancing decisions,1,gauge,haproxy_backend_weight,timeseries|query-value|top-list,max,none,context.proxy:20|context.service.name:20,context.env|context.team,context.proxy|context.service.name,Optional metric disabled or static config not exposing weights,Weight interpretation differs by algorithm and role,otel=haproxy.weight|raw=weight,https://raw.githubusercontent.com/open-telemetry/opentelemetry-collector-contrib/main/receiver/haproxyreceiver/documentation.md
Capacity/Saturation,haproxy_frontend_connections_total,true,Cumulative frontend connections accepted,{connections},counter,haproxy_frontend_connections_total,timeseries|query-value|top-list,sum,per-second,context.proxy:20|context.service.name:20,context.env|context.team,context.proxy|context.service.name,Optional metric disabled or no frontend traffic,Can be redundant with sessions if mixed families are plotted together,otel=haproxy.connections.total|raw=conn_tot,https://raw.githubusercontent.com/open-telemetry/opentelemetry-collector-contrib/main/receiver/haproxyreceiver/documentation.md
