theme,name,confirmed,definition,unit,type,tsuga_metric_name,widget_suggestions,aggregation,post_function,group_by,required_context_fields,optional_context_fields,absence_means,cardinality_footguns,variants,citations
Availability/Health,rabbitmq.connection.current,true,Current open AMQP connections on broker scope. Use against connection.max for utilisation.,{connection},gauge,rabbitmq_connections,query-value|timeseries|top-list,sum,none,context.net.host.name:10|context.net.host.name:10,context.env|context.team,context.service.name|context.k8s.cluster.name|context.k8s.namespace.name,No broker telemetry or no active clients,Safe when bounded by node top N,otel=rabbitmq.connection.current,https://raw.githubusercontent.com/open-telemetry/opentelemetry-collector-contrib/main/receiver/rabbitmqreceiver/metadata.yaml
Availability/Health,rabbitmq.connection.max,true,Configured connection ceiling used as denominator for connection utilisation.,{connection},gauge,rabbitmq_process_max_tcp_sockets,query-value|timeseries,max,none,context.net.host.name:10|context.net.host.name:10,context.env|context.team,context.service.name|context.k8s.cluster.name|context.k8s.namespace.name,Metric absent or limits not exposed,Safe,otel=rabbitmq.connection.max,https://raw.githubusercontent.com/open-telemetry/opentelemetry-collector-contrib/main/receiver/rabbitmqreceiver/metadata.yaml
Availability/Health,rabbitmq.channel.current,true,Current open channels across tracked RabbitMQ scope.,{channel},gauge,rabbitmq_channels,query-value|timeseries|top-list,sum,none,context.net.host.name:10|context.net.host.name:10,context.env|context.team,context.service.name|context.k8s.cluster.name|context.k8s.namespace.name,No broker telemetry or no active channels,Safe,otel=rabbitmq.channel.current,https://raw.githubusercontent.com/open-telemetry/opentelemetry-collector-contrib/main/receiver/rabbitmqreceiver/metadata.yaml
Availability/Health,rabbitmq.channel.max,true,Configured channel ceiling used as denominator for channel utilisation.,{channel},gauge,rabbitmq_process_max_fds,query-value|timeseries,max,none,context.net.host.name:10|context.net.host.name:10,context.env|context.team,context.service.name|context.k8s.cluster.name|context.k8s.namespace.name,Metric absent or limits not exposed,Safe,otel=rabbitmq.channel.max,https://raw.githubusercontent.com/open-telemetry/opentelemetry-collector-contrib/main/receiver/rabbitmqreceiver/metadata.yaml
Throughput/Usage,rabbitmq.message.published,true,Messages published into broker and queue surfaces. Primary ingress workload counter.,{message},counter,rabbitmq_global_messages_received_total,timeseries|query-value|top-list,sum,per-second,context.service.instance.id:15|context.rabbitmq.cluster:10,context.env|context.team,context.net.host.name|context.service.instance.id|context.rabbitmq.cluster,No publishes in range or ingestion gap,Queue names can be high cardinality so always bound top N,otel=rabbitmq.message.published,https://raw.githubusercontent.com/open-telemetry/opentelemetry-collector-contrib/main/receiver/rabbitmqreceiver/metadata.yaml
Throughput/Usage,rabbitmq.message.delivered,true,Messages delivered from queues to consumers. Primary egress workload counter.,{message},counter,rabbitmq_global_messages_delivered_total,timeseries|query-value|top-list,sum,per-second,context.service.instance.id:15|context.rabbitmq.cluster:10,context.env|context.team,context.net.host.name|context.service.instance.id|context.rabbitmq.cluster,No deliveries in range or ingestion gap,Queue names can be high cardinality so always bound top N,otel=rabbitmq.message.delivered,https://raw.githubusercontent.com/open-telemetry/opentelemetry-collector-contrib/main/receiver/rabbitmqreceiver/metadata.yaml
Capacity/Saturation,rabbitmq.message.current,true,Current queue message depth across state dimensions. Backlog indicator.,{message},gauge,rabbitmq_queue_messages,timeseries|query-value|bar|top-list,sum,none,context.service.instance.id:15,context.env|context.team,context.service.instance.id|context.rabbitmq.cluster,No queued messages or telemetry not reporting,Queue dimension is high cardinality so bound and prefer top-list for breadth,otel=rabbitmq.message.current,https://raw.githubusercontent.com/open-telemetry/opentelemetry-collector-contrib/main/receiver/rabbitmqreceiver/metadata.yaml
Performance/Latency,rabbitmq.consumer.count,true,Total number of consumers observed in metric scope.,{consumer},gauge,rabbitmq_consumers,query-value|timeseries|top-list,sum,none,context.service.instance.id:15|context.rabbitmq.cluster:10,context.env|context.team,context.net.host.name|context.service.instance.id|context.rabbitmq.cluster,No active consumers or collector gap,Queue-level split can be large in multi-tenant fleets,otel=rabbitmq.consumer.count,https://raw.githubusercontent.com/open-telemetry/opentelemetry-collector-contrib/main/receiver/rabbitmqreceiver/metadata.yaml
Capacity/Saturation,rabbitmq.disk.free,true,Free disk bytes against broker-level threshold. Critical saturation guardrail.,By,gauge,rabbitmq_disk_space_available_bytes,query-value|timeseries|min,none,context.net.host.name:10,context.env|context.team,context.net.host.name|context.service.name,Metric missing or node not scraped,Safe,otel=rabbitmq.disk.free,https://raw.githubusercontent.com/open-telemetry/opentelemetry-collector-contrib/main/receiver/rabbitmqreceiver/metadata.yaml
Capacity/Saturation,rabbitmq.disk.limit,true,Disk free floor that triggers protective behavior when crossed.,By,gauge,rabbitmq_disk_space_available_limit_bytes,query-value|timeseries,min,none,context.net.host.name:10|context.net.host.name:10,context.env|context.team,context.net.host.name|context.service.name,Metric missing or limit not exposed,Safe,otel=rabbitmq.disk.limit,https://raw.githubusercontent.com/open-telemetry/opentelemetry-collector-contrib/main/receiver/rabbitmqreceiver/metadata.yaml
