theme,name,confirmed,definition,unit,type,tsuga_metric_name,widget_suggestions,aggregation,post_function,group_by,required_context_fields,optional_context_fields,absence_means,cardinality_footguns,variants,citations
Availability/Health,CPUUtilization,true,CPU utilization of the DB instance; fast fleet-health signal but not sufficient alone for database saturation decisions.,%,summary,aws_rds_cpu_utilization,query-value|timeseries|top-list,max,none,context.dbinstanceidentifier:20|context.databaseclass:12,context.env|context.team,context.enginename|context.cloud.region|context.databaseclass|context.dbclusteridentifier,Metric absent or namespace mismatch in Tsuga,Safe when grouped by instance/class,cloudwatch=CPUUtilization,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/rds-metrics.html
Availability/Health,FreeableMemory,true,Amount of available memory that can be reclaimed; low headroom often precedes I/O and latency pain.,By,summary,aws_rds_freeable_memory,query-value|timeseries|top-list,min,none,context.dbinstanceidentifier:20|context.databaseclass:12,context.env|context.team,context.enginename|context.cloud.region|context.databaseclass|context.dbclusteridentifier,Metric absent or namespace mismatch in Tsuga,Do not combine with high-card SQL digests,cloudwatch=FreeableMemory,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/rds-metrics.html
Availability/Health,DiskQueueDepth,true,Queued disk operations waiting on storage; useful with read/write latency and IOPS.,count,summary,aws_rds_disk_queue_depth,query-value|timeseries|top-list,max,none,context.dbinstanceidentifier:20|context.cloud.region:10,context.env|context.team,context.enginename|context.databaseclass|context.dbclusteridentifier,Metric absent or unsupported for this surface,Queue depth by tiny transient entities is noisy; stay at instance granularity,cloudwatch=DiskQueueDepth,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/rds-metrics.html
Availability/Health,DatabaseConnections,true,Number of client connections to the DB instance; first demand and pool-leak signal.,count,summary,aws_rds_database_connections,query-value|timeseries|top-list,max,none,context.dbinstanceidentifier:20|context.enginename:8,context.env|context.team,context.databaseclass|context.cloud.region|context.dbclusteridentifier|context.role,No recent connections or namespace mismatch,Do not group by user/session unless Stage 2 proves bounded fields,cloudwatch=DatabaseConnections|live=aws_rds_database_connections,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/rds-metrics.html
Throughput/Usage,NetworkReceiveThroughput,true,Bytes received from clients and peers per second at the instance boundary.,By/s,summary,aws_rds_network_receive_throughput,query-value|timeseries|top-list,sum,none,context.dbinstanceidentifier:20|context.cloud.region:10,context.env|context.team,context.enginename|context.databaseclass|context.dbclusteridentifier,Feature absent or namespace mismatch,Use instance or region rather than client-address groupings,cloudwatch=NetworkReceiveThroughput,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/rds-metrics.html
Throughput/Usage,NetworkTransmitThroughput,true,Bytes transmitted by the DB instance per second; pairs with receive throughput for traffic shape analysis.,By/s,summary,aws_rds_network_transmit_throughput,query-value|timeseries|top-list,sum,none,context.dbinstanceidentifier:20|context.cloud.region:10,context.env|context.team,context.enginename|context.databaseclass|context.dbclusteridentifier,Feature absent or namespace mismatch,Stay at instance granularity for overview widgets,cloudwatch=NetworkTransmitThroughput,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/rds-metrics.html
Performance/Latency,ReadIOPS,true,Read operations per second on storage for the DB instance.,count/s,summary,aws_rds_read_iops,query-value|timeseries|top-list,sum,none,context.dbinstanceidentifier:20|context.cloud.region:10,context.env|context.team,context.enginename|context.databaseclass|context.dbclusteridentifier,Read path idle or namespace mismatch,Interpret with throughput because operation size matters,cloudwatch=ReadIOPS,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/rds-metrics.html
Performance/Latency,WriteIOPS,true,Write operations per second on storage for the DB instance.,count/s,summary,aws_rds_write_iops,query-value|timeseries|top-list,sum,none,context.dbinstanceidentifier:20|context.cloud.region:10,context.env|context.team,context.enginename|context.databaseclass|context.dbclusteridentifier,Write path idle or namespace mismatch,Write-heavy bursts can look worse than reads even when latency is stable,cloudwatch=WriteIOPS,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/rds-metrics.html
Performance/Latency,ReadLatency,true,Average latency per read I/O operation.,s,summary,aws_rds_read_latency,query-value|timeseries|top-list,max,none,context.dbinstanceidentifier:20|context.cloud.region:10,context.env|context.team,context.enginename|context.databaseclass|context.dbclusteridentifier,Metric absent or no read I/O in range,Average latency is not a percentile; do not over-interpret tiny spikes,cloudwatch=ReadLatency,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/rds-metrics.html
Performance/Latency,WriteLatency,true,Average latency per write I/O operation.,s,summary,aws_rds_write_latency,query-value|timeseries|top-list,max,none,context.dbinstanceidentifier:20|context.cloud.region:10,context.env|context.team,context.enginename|context.databaseclass|context.dbclusteridentifier,Metric absent or no write I/O in range,Needs context from queue depth and log pressure,cloudwatch=WriteLatency,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/rds-metrics.html
Performance/Latency,ReadThroughput,true,Bytes read from disk per second.,By/s,summary,aws_rds_read_throughput,query-value|timeseries|top-list,sum,none,context.dbinstanceidentifier:20|context.cloud.region:10,context.env|context.team,context.enginename|context.databaseclass|context.dbclusteridentifier,Read workload absent or namespace mismatch,Throughput without IOPS obscures I/O size distribution,cloudwatch=ReadThroughput,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/rds-metrics.html
Performance/Latency,WriteThroughput,true,Bytes written to disk per second.,By/s,summary,aws_rds_write_throughput,query-value|timeseries|top-list,sum,none,context.dbinstanceidentifier:20|context.cloud.region:10,context.env|context.team,context.enginename|context.databaseclass|context.dbclusteridentifier,Write workload absent or namespace mismatch,Throughput alone cannot distinguish healthy batching from saturation,cloudwatch=WriteThroughput,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/rds-metrics.html
Capacity/Saturation,FreeStorageSpace,true,Remaining storage on the DB instance; time-to-outage signal for growth and retention problems.,By,summary,aws_rds_free_storage_space,query-value|timeseries|top-list,min,none,context.dbinstanceidentifier:20|context.databaseclass:12,context.env|context.team,context.enginename|context.cloud.region|context.databaseclass|context.dbclusteridentifier,Metric absent or namespace mismatch in Tsuga,Free storage grouped by too many dimensions adds no value; keep instance-level,cloudwatch=FreeStorageSpace,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/rds-metrics.html
Capacity/Saturation,BurstBalance,true,Percentage of burst-credit balance remaining for burstable storage surfaces.,%,summary,aws_rds_burst_balance,query-value|timeseries,min,none,,context.env|context.team,context.enginename|context.databaseclass|context.cloud.region,Storage type may not emit this metric,Do not assume absence means healthy zero; many storage types do not use credits,cloudwatch=BurstBalance,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/rds-metrics.html
Capacity/Saturation,EBSByteBalance%,true,Percentage of throughput credits remaining for supported EBS-backed storage.,%,summary,aws_rds_ebs_byte_balance,query-value|timeseries,min,none,,context.env|context.team,context.enginename|context.cloud.region|context.databaseclass,Metric exists only on certain storage configurations,Volume-scoped variants should stay gated unless Stage 3 confirms the field,cloudwatch=EBSByteBalance%,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/rds-metrics.html
Capacity/Saturation,EBSIOBalance%,true,Percentage of I/O credits remaining for supported EBS-backed storage.,%,summary,aws_rds_ebsio_balance,query-value|timeseries,min,none,,context.env|context.team,context.enginename|context.cloud.region|context.databaseclass,Metric exists only on certain storage configurations,Stage 2 confirmed the live name normalizes the percent sign away,cloudwatch=EBSIOBalance%,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/rds-metrics.html
Errors/Failures,Deadlocks,true,"Deadlock events reported for the DB instance and carried into Tsuga as a summary metric, so use windowed sums rather than counter-rate math.",count,summary,aws_rds_deadlocks,query-value|timeseries|top-list,sum,none,context.dbinstanceidentifier:20|context.enginename:8,context.env|context.team,context.databaseclass|context.cloud.region|context.dbclusteridentifier|context.role,No deadlocks in the selected window,Use instance or engine only; per-query groupings need logs or database-insights surfaces,cloudwatch=Deadlocks|live=aws_rds_deadlocks,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/rds-metrics.html
Capacity/Saturation,DBLoad,true,Average active sessions running or waiting; best engine saturation signal when Performance Insights is enabled.,count,summary,aws_rds_db_load,query-value|timeseries|top-list,average,none,context.dbinstanceidentifier:20|context.enginename:8,context.env|context.team,context.cloud.region|context.databaseinsightsmode,Performance Insights not enabled or not exported,Do not group by SQL digest on overview dashboards,pi=DBLoad|live=aws_rds_db_load,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_PerfInsights.Cloudwatch.html
