theme,name,confirmed,definition,unit,type,tsuga_metric_name,widget_suggestions,aggregation,post_function,group_by,required_context_fields,optional_context_fields,absence_means,cardinality_footguns,variants,citations
Availability/Health,server.live,true,Envoy process liveness where value 1 indicates live,1,gauge,envoy_server_live,query-value|timeseries,max,none,,context.env|context.team,context.service.name|context.scope,Envoy process not reporting or scrape path unavailable,Safe,stat=server.live|prom=envoy_server_live,https://www.envoyproxy.io/docs/envoy/latest/operations/admin
Availability/Health,server.uptime,true,Envoy process uptime in seconds,s,gauge,envoy_server_uptime,query-value|timeseries,max,none,,context.env|context.team,context.service.name|context.scope,Recent restart or missing telemetry,Safe,stat=server.uptime|prom=envoy_server_uptime,https://www.envoyproxy.io/docs/envoy/latest/operations/admin
Resource Utilization,server.memory_allocated,true,Runtime allocated memory bytes for Envoy process,By,gauge,envoy_server_memory_allocated,query-value|timeseries,max,none,context.service.name:20|context.scope:20,context.env|context.team,context.service.name|context.scope,Runtime memory telemetry missing,pod level grouping can churn during rollouts,stat=server.memory_allocated|prom=envoy_server_memory_allocated,https://aws.github.io/aws-app-mesh-controller-for-k8s/reference/envoy_metrics/
Resource Utilization,server.memory_heap_size,true,Runtime heap size bytes for Envoy process,By,gauge,envoy_server_memory_heap_size,query-value|timeseries,max,none,context.service.name:20|context.scope:20,context.env|context.team,context.service.name|context.scope,Runtime heap telemetry missing,pod level grouping can churn during rollouts,stat=server.memory_heap_size|prom=envoy_server_memory_heap_size,https://aws.github.io/aws-app-mesh-controller-for-k8s/reference/envoy_metrics/
Resource Utilization,server.concurrency,true,Configured Envoy worker concurrency,{thread},gauge,envoy_server_concurrency,query-value,max,none,,context.env|context.team,context.service.name|context.scope,Metric not emitted by some builds,Safe,stat=server.concurrency|prom=envoy_server_concurrency,https://aws.github.io/aws-app-mesh-controller-for-k8s/reference/envoy_metrics/
Throughput/Usage,listener.<name>.downstream_cx_total,true,Total downstream connections accepted by listener,{connection},counter,envoy_listener_downstream_cx_total,query-value|timeseries,sum,per-second,context.envoy_listener_address:20|context.service.name:20,context.env|context.team,context.envoy_listener_address|context.service.name,No downstream traffic or missing listener telemetry,listener cardinality can rise with many ports,stat=listener.<name>.downstream_cx_total|prom=envoy_listener_downstream_cx_total,https://www.envoyproxy.io/docs/envoy/latest/configuration/listeners/stats
Capacity/Saturation,listener.<name>.downstream_cx_active,true,Current active downstream connections,{connection},gauge,envoy_listener_downstream_cx_active,query-value|timeseries,max,none,context.envoy_listener_address:20|context.service.name:20,context.env|context.team,context.envoy_listener_address|context.service.name,No active downstream clients or idle traffic,listener address may be high cardinality across dynamic listeners,stat=listener.<name>.downstream_cx_active|prom=envoy_listener_downstream_cx_active,https://www.envoyproxy.io/docs/envoy/latest/configuration/listeners/stats
Errors/Failures,listener.<name>.downstream_cx_overflow,true,Downstream listener connection overflow events,{overflow},counter,envoy_listener_downstream_cx_overflow,query-value|timeseries,sum,per-second,context.envoy_listener_address:20|context.service.name:20,context.env|context.team,context.envoy_listener_address|context.service.name,No overflow pressure observed,Safe,stat=listener.<name>.downstream_cx_overflow|prom=envoy_listener_downstream_cx_overflow,https://www.envoyproxy.io/docs/envoy/latest/configuration/listeners/stats
Errors/Failures,listener.<name>.downstream_cx_destroy_remote_active_rq,false,Remote closed downstream connection while request was active legacy name,{event},counter,envoy_listener_downstream_cx_destroy_remote_active_rq,timeseries|query-value,sum,per-second,context.envoy_listener_address:20|context.service.name:20,context.env|context.team,context.envoy_listener_address|context.service.name,Legacy metric name not found in Tsuga use envoy_listener_downstream_cx_destroy instead,Replaced by generic destroy metric,stat=listener.<name>.downstream_cx_destroy_remote_active_rq,https://www.envoyproxy.io/docs/envoy/latest/configuration/listeners/stats
Errors/Failures,listener.<name>.downstream_cx_destroy,true,Observed downstream connection destroy events,{event},counter,envoy_listener_downstream_cx_destroy,query-value|timeseries,sum,per-second,context.envoy_listener_address:20|context.service.name:20,context.env|context.team,context.envoy_listener_address|context.service.name,No connection teardown events in window,Safe,stat=listener.<name>.downstream_cx_destroy,https://www.envoyproxy.io/docs/envoy/latest/configuration/listeners/stats
Errors/Failures,listener.<name>.downstream_cx_overload_reject,true,Listener rejected connection due to overload,{reject},counter,envoy_listener_downstream_cx_overload_reject,query-value|timeseries,sum,per-second,context.envoy_listener_address:20|context.service.name:20,context.env|context.team,context.envoy_listener_address|context.service.name,No overload rejection events,Safe,stat=listener.<name>.downstream_cx_overload_reject,https://www.envoyproxy.io/docs/envoy/latest/configuration/listeners/stats
Capacity/Saturation,cluster.<name>.upstream_cx_active,true,Current active upstream connections by cluster,{connection},gauge,envoy_cluster_upstream_cx_active,query-value|timeseries|max,max,none,context.envoy_cluster_name:20|context.service.name:20,context.env|context.team,context.envoy_cluster_name|context.service.name,No active upstream traffic or idle cluster,cluster name cardinality can grow with dynamic clusters,stat=cluster.<name>.upstream_cx_active|prom=envoy_cluster_upstream_cx_active,https://www.envoyproxy.io/docs/envoy/latest/configuration/upstream/cluster_manager/cluster_stats
