theme,name,confirmed,definition,unit,type,tsuga_metric_name,widget_suggestions,aggregation,post_function,group_by,required_context_fields,optional_context_fields,absence_means,cardinality_footguns,variants,citations
Throughput/Usage,pubsub.googleapis.com/topic/send_message_operation_count,true,Number of publish message operations per topic. Core publish throughput signal. DEPRECATED but present in Tsuga.,{operation},counter,pubsub.googleapis.com/topic/send_message_operation_count,timeseries|query-value|top-list,sum,per-second,context.topic_id:20,context.env|context.team,context.cloud.account.id|context.cloud.region|context.project_id|context.response_code,No messages being published or GCP integration not configured,Safe,gcp=pubsub.googleapis.com/topic/send_message_operation_count,https://cloud.google.com/monitoring/api/metrics_gcp#gcp-pubsub
Errors/Failures,pubsub.googleapis.com/topic/send_request_count,true,"Number of publish requests grouped by response_code and response_class. Key error signal for publishing.",{request},counter,pubsub.googleapis.com/topic/send_request_count,timeseries|query-value|top-list,sum,per-second,context.topic_id:20|context.response_code:10,context.env|context.team,context.cloud.account.id|context.cloud.region|context.project_id|context.response_class,No publish requests or integration not configured,Safe,gcp=pubsub.googleapis.com/topic/send_request_count,https://cloud.google.com/monitoring/api/metrics_gcp#gcp-pubsub
Performance/Latency,pubsub.googleapis.com/topic/send_request_latencies,true,Distribution of publish request latencies in microseconds.,us,histogram,pubsub.googleapis.com/topic/send_request_latencies,timeseries|query-value,percentile(p95),none,context.topic_id:20,context.env|context.team,context.cloud.account.id|context.cloud.region|context.project_id|context.response_code|context.has_ordering|context.schema_type,No publish requests,Safe,gcp=pubsub.googleapis.com/topic/send_request_latencies,https://cloud.google.com/monitoring/api/metrics_gcp#gcp-pubsub
Throughput/Usage,pubsub.googleapis.com/topic/message_sizes,true,Distribution of publish message sizes in bytes.,By,histogram,pubsub.googleapis.com/topic/message_sizes,timeseries|query-value,percentile(p95),none,context.topic_id:20,context.env|context.team,context.cloud.account.id|context.cloud.region|context.project_id,No messages published,Safe,gcp=pubsub.googleapis.com/topic/message_sizes,https://cloud.google.com/monitoring/api/metrics_gcp#gcp-pubsub
Throughput/Usage,pubsub.googleapis.com/topic/byte_cost,true,"Cost of operations measured in bytes. Includes publish and transform costs.",By,counter,pubsub.googleapis.com/topic/byte_cost,timeseries|query-value,sum,per-second,context.topic_id:20|context.operation_type:5,context.env|context.team,context.cloud.account.id|context.cloud.region|context.project_id|context.response_code,No publish operations,Safe,gcp=pubsub.googleapis.com/topic/byte_cost,https://cloud.google.com/monitoring/api/metrics_gcp#gcp-pubsub
Throughput/Usage,pubsub.googleapis.com/topic/config_updates_count,true,Count of configuration changes on a topic.,{operation},counter,pubsub.googleapis.com/topic/config_updates_count,timeseries,sum,per-second,context.topic_id:20,context.env|context.team,context.cloud.account.id|context.project_id,No config changes (normal in steady state),Safe,gcp=pubsub.googleapis.com/topic/config_updates_count,https://cloud.google.com/monitoring/api/metrics_gcp#gcp-pubsub
Capacity/Saturation,pubsub.googleapis.com/topic/num_unacked_messages_by_region,true,Number of unacknowledged messages across all subscriptions for a topic by region.,{message},gauge,pubsub.googleapis.com/topic/num_unacked_messages_by_region,timeseries|query-value,sum,none,context.topic_id:20|context.cloud.region:10,context.env|context.team,context.cloud.account.id|context.project_id,All messages acked or no subscriptions exist,Safe,gcp=pubsub.googleapis.com/topic/num_unacked_messages_by_region,https://cloud.google.com/monitoring/api/metrics_gcp#gcp-pubsub
Performance/Latency,pubsub.googleapis.com/topic/oldest_unacked_message_age_by_region,true,Age of oldest unacknowledged message in a topic by region in seconds.,s,gauge,pubsub.googleapis.com/topic/oldest_unacked_message_age_by_region,timeseries|query-value,max,none,context.topic_id:20|context.cloud.region:10,context.env|context.team,context.cloud.account.id|context.project_id,All messages acked,Safe,gcp=pubsub.googleapis.com/topic/oldest_unacked_message_age_by_region,https://cloud.google.com/monitoring/api/metrics_gcp#gcp-pubsub
Capacity/Saturation,pubsub.googleapis.com/topic/num_retained_acked_messages_by_region,true,Number of acknowledged messages retained in a topic by region.,{message},gauge,pubsub.googleapis.com/topic/num_retained_acked_messages_by_region,timeseries|query-value,sum,none,context.topic_id:20|context.cloud.region:10,context.env|context.team,context.cloud.account.id|context.project_id,Retention not enabled or messages expired,Safe,gcp=pubsub.googleapis.com/topic/num_retained_acked_messages_by_region,https://cloud.google.com/monitoring/api/metrics_gcp#gcp-pubsub
Capacity/Saturation,pubsub.googleapis.com/topic/unacked_bytes_by_region,true,Total bytes of unacknowledged messages in a topic by region.,By,gauge,pubsub.googleapis.com/topic/unacked_bytes_by_region,timeseries|query-value,sum,none,context.topic_id:20|context.cloud.region:10,context.env|context.team,context.cloud.account.id|context.project_id,All messages acked,Safe,gcp=pubsub.googleapis.com/topic/unacked_bytes_by_region,https://cloud.google.com/monitoring/api/metrics_gcp#gcp-pubsub
