theme,name,confirmed,definition,unit,type,tsuga_metric_name,widget_suggestions,aggregation,post_function,group_by,required_context_fields,optional_context_fields,absence_means,cardinality_footguns,variants,citations
Backlog,ApproximateAgeOfOldestMessage,true,"Approximate age of the oldest non-deleted message in the queue; primary backlog latency signal.",s,summary,aws_sqs_approximate_age_of_oldest_message,"timeseries|query-value|top-list",max,none,"context.queuename:20|context.cloud.region:10",context.env|context.team|context.queuename,context.cloud.account.id|context.cloud.region|context.aws.exporter.arn,"No sustained backlog, queue idle, or metric absent for the selected queue.","Keep grouped by queue or region only; never by message identifiers.",cloudwatch=ApproximateAgeOfOldestMessage,https://docs.aws.amazon.com/AWSSimpleQueueService/latest/SQSDeveloperGuide/sqs-available-cloudwatch-metrics.html
Backlog,ApproximateNumberOfMessagesVisible,true,"Approximate number of messages available to be received immediately.",message,summary,aws_sqs_approximate_number_of_messages_visible,"timeseries|query-value|top-list",max,none,"context.queuename:20|context.cloud.region:10",context.env|context.team|context.queuename,context.cloud.account.id|context.cloud.region|context.aws.exporter.arn,"Queue has no ready backlog, queue idle, or metric absent.","Use as queue depth, not as exact inventory.",cloudwatch=ApproximateNumberOfMessagesVisible,https://docs.aws.amazon.com/AWSSimpleQueueService/latest/SQSDeveloperGuide/sqs-available-cloudwatch-metrics.html
Backlog,ApproximateNumberOfMessagesNotVisible,true,"Approximate number of in-flight messages currently hidden by the visibility timeout.",message,summary,aws_sqs_approximate_number_of_messages_not_visible,"timeseries|query-value|top-list",max,none,"context.queuename:20|context.cloud.region:10",context.env|context.team|context.queuename,context.cloud.account.id|context.cloud.region|context.aws.exporter.arn,"No in-flight work, low traffic, or metric absent.","Interpret with receives and deletes; high values can be healthy during parallel processing.",cloudwatch=ApproximateNumberOfMessagesNotVisible,https://docs.aws.amazon.com/AWSSimpleQueueService/latest/SQSDeveloperGuide/sqs-visibility-timeout.html|https://docs.aws.amazon.com/AWSSimpleQueueService/latest/SQSDeveloperGuide/sqs-available-cloudwatch-metrics.html
Backlog,ApproximateNumberOfMessagesDelayed,true,"Approximate number of delayed messages not yet available for receive.",message,summary,aws_sqs_approximate_number_of_messages_delayed,"timeseries|query-value|top-list",max,none,"context.queuename:20|context.cloud.region:10",context.env|context.team|context.queuename,context.cloud.account.id|context.cloud.region,"No delayed workload, queue not using delay features, or metric absent.","Do not mix with ready backlog when explaining urgent lag.",cloudwatch=ApproximateNumberOfMessagesDelayed,https://docs.aws.amazon.com/AWSSimpleQueueService/latest/SQSDeveloperGuide/sqs-available-cloudwatch-metrics.html
Throughput,NumberOfMessagesSent,true,"Count of messages added to the queue during the period.",message,summary,aws_sqs_number_of_messages_sent,"timeseries|query-value|top-list|bar",sum,per-second,"context.queuename:20|context.cloud.region:10",context.env|context.team|context.queuename,context.cloud.account.id|context.cloud.region|context.aws.exporter.arn,"No producer traffic, queue idle, or metric absent.","Treat as per-second throughput for operational views; retries may still be hidden by dedup on FIFO queues.",cloudwatch=NumberOfMessagesSent,https://docs.aws.amazon.com/AWSSimpleQueueService/latest/SQSDeveloperGuide/sqs-available-cloudwatch-metrics.html
Throughput,NumberOfMessagesReceived,true,"Count of messages returned by receive calls during the period.",message,summary,aws_sqs_number_of_messages_received,"timeseries|query-value|top-list|bar",sum,per-second,"context.queuename:20|context.cloud.region:10",context.env|context.team|context.queuename,context.cloud.account.id|context.cloud.region|context.aws.exporter.arn,"No receive activity, queue idle, or metric absent.","May exceed unique business work because duplicates and retries count again.",cloudwatch=NumberOfMessagesReceived,https://docs.aws.amazon.com/AWSSimpleQueueService/latest/SQSDeveloperGuide/sqs-available-cloudwatch-metrics.html
Throughput,NumberOfMessagesDeleted,true,"Count of successful delete actions during the period.",message,summary,aws_sqs_number_of_messages_deleted,"timeseries|query-value|top-list|bar",sum,per-second,"context.queuename:20|context.cloud.region:10",context.env|context.team|context.queuename,context.cloud.account.id|context.cloud.region|context.aws.exporter.arn,"No completed processing, queue idle, or metric absent.","Can exceed receive counts because deletes may follow repeated receives of the same message.",cloudwatch=NumberOfMessagesDeleted,https://docs.aws.amazon.com/AWSSimpleQueueService/latest/SQSDeveloperGuide/sqs-available-cloudwatch-metrics.html
Consumer Efficiency,NumberOfEmptyReceives,true,"Count of receive calls that returned no messages.",receive,summary,aws_sqs_number_of_empty_receives,"timeseries|query-value|top-list",sum,per-second,"context.queuename:20|context.cloud.region:10",context.env|context.team|context.queuename,context.cloud.account.id|context.cloud.region|context.aws.exporter.arn,"No polling waste, no traffic, or long polling is working well.","Interpret with receive throughput and backlog; high values alone do not prove failure.",cloudwatch=NumberOfEmptyReceives,https://docs.aws.amazon.com/AWSSimpleQueueService/latest/SQSDeveloperGuide/sqs-short-and-long-polling.html|https://docs.aws.amazon.com/AWSSimpleQueueService/latest/SQSDeveloperGuide/sqs-available-cloudwatch-metrics.html
Payload,SentMessageSize,true,"Size of messages added to the queue during the period.",B,summary,aws_sqs_sent_message_size,"timeseries|query-value|top-list",average,none,"context.queuename:20|context.cloud.region:10",context.env|context.team|context.queuename,context.cloud.account.id|context.cloud.region|context.aws.exporter.arn,"No send traffic or metric absent.","Prefer average or max trends; summed size is rarely a useful KPI.",cloudwatch=SentMessageSize,https://docs.aws.amazon.com/AWSSimpleQueueService/latest/SQSDeveloperGuide/sqs-available-cloudwatch-metrics.html
FIFO/Fairness,NumberOfDeduplicatedSentMessages,true,"Count of FIFO send attempts suppressed by deduplication.",message,summary,aws_sqs_number_of_deduplicated_sent_messages,"timeseries|query-value|top-list",sum,per-second,"context.queuename:20|context.cloud.region:10",context.env|context.team|context.queuename,context.cloud.account.id|context.cloud.region,"Queue is standard, dedup disabled, or no duplicate send attempts occurred.","Meaningful mainly for FIFO queues; do not use as a universal SQS KPI.",cloudwatch=NumberOfDeduplicatedSentMessages,https://docs.aws.amazon.com/AWSSimpleQueueService/latest/SQSDeveloperGuide/FIFO-queues-exactly-once-processing.html|https://docs.aws.amazon.com/AWSSimpleQueueService/latest/SQSDeveloperGuide/sqs-available-cloudwatch-metrics.html
FIFO/Fairness,ApproximateNumberOfGroupsWithInflightMessages,true,"Approximate count of message groups with at least one in-flight message.",group,summary,aws_sqs_approximate_number_of_groups_with_inflight_messages,"timeseries|query-value|top-list",max,none,"context.queuename:20|context.cloud.region:10",context.env|context.team|context.queuename,context.cloud.account.id|context.cloud.region,"Queue is not FIFO or fair-queue-capable, or the metric is absent.","Queue-level metric only; do not invent group-id splits without discovered fields.",cloudwatch=ApproximateNumberOfGroupsWithInflightMessages,https://docs.aws.amazon.com/AWSSimpleQueueService/latest/SQSDeveloperGuide/FIFO-queues-understanding-logic.html|https://docs.aws.amazon.com/AWSSimpleQueueService/latest/SQSDeveloperGuide/sqs-available-cloudwatch-metrics.html
