theme,name,confirmed,definition,unit,type,tsuga_metric_name,widget_suggestions,aggregation,post_function,group_by,required_context_fields,optional_context_fields,absence_means,cardinality_footguns,variants,citations
Availability/Health,litespeed_up,true,Server health check: 1 = LiteSpeed process is running and .rtreport is readable; 0 = exporter cannot reach LiteSpeed,1,gauge,litespeed_up,query-value|timeseries,min,none,context.scope:20,context.env|context.team,context.scope,LiteSpeed process is down or exporter is not running,Low — one value per instance,prometheus=litespeed_up,https://github.com/litespeedtech/litespeed-prometheus-exporter
Capacity/Saturation,litespeed_current_http_connections,true,Current number of active plain HTTP (non-SSL) connections; pre-computed snapshot gauge updated every ~10 s by LiteSpeed,{connection},gauge,litespeed_current_http_connections,query-value|timeseries,max,none,context.scope:20,context.env|context.team,context.scope,No plain HTTP traffic or exporter not running,Low — one value per instance,prometheus=litespeed_current_http_connections,https://github.com/litespeedtech/litespeed-prometheus-exporter
Capacity/Saturation,litespeed_maximum_http_connections,true,Configured maximum concurrent plain HTTP connections (MAXCONN); static configuration value; used as denominator for utilization ratio,{connection},counter,litespeed_maximum_http_connections,query-value,max,none,context.scope:20,context.env|context.team,context.scope,Configuration not exposed or exporter not running,Safe — configuration constant,prometheus=litespeed_maximum_http_connections,https://github.com/litespeedtech/litespeed-prometheus-exporter
Capacity/Saturation,litespeed_available_connections,true,Available plain HTTP connection slots (MAXCONN minus active); drops toward 0 as connection pool fills; key saturation indicator,{connection},gauge,litespeed_available_connections,query-value|timeseries,min,none,context.scope:20,context.env|context.team,context.scope,Connection pool fully exhausted or exporter not running,Low — one value per instance,prometheus=litespeed_available_connections,https://github.com/litespeedtech/litespeed-prometheus-exporter
Capacity/Saturation,litespeed_current_idle_connections,true,Connections open but not actively processing a request (keep-alive); high value is normal keep-alive behavior; not a saturation signal on its own,{connection},gauge,litespeed_current_idle_connections,timeseries,sum,none,context.scope:20,context.env|context.team,context.scope,No keep-alive connections or exporter not running,Low,prometheus=litespeed_current_idle_connections,https://github.com/litespeedtech/litespeed-prometheus-exporter
Capacity/Saturation,litespeed_current_ssl_connections,true,Current number of active SSL/TLS connections; covers HTTP/1.1+TLS HTTP/2 and HTTP/3/QUIC traffic — all encrypted traffic regardless of protocol version,{connection},gauge,litespeed_current_ssl_connections,query-value|timeseries,max,none,context.scope:20,context.env|context.team,context.scope,No SSL traffic or exporter not running,Low — one value per instance,prometheus=litespeed_current_ssl_connections,https://github.com/litespeedtech/litespeed-prometheus-exporter
Capacity/Saturation,litespeed_maximum_ssl_connections,true,Configured maximum concurrent SSL connections (MAXSSL_CONN); static configuration value; used as denominator for SSL utilization ratio,{connection},counter,litespeed_maximum_ssl_connections,query-value,max,none,context.scope:20,context.env|context.team,context.scope,SSL configuration not exposed or exporter not running,Safe — configuration constant,prometheus=litespeed_maximum_ssl_connections,https://github.com/litespeedtech/litespeed-prometheus-exporter
Capacity/Saturation,litespeed_available_ssl_connections,true,Available SSL connection slots (MAXSSL_CONN minus active); key SSL saturation indicator,{connection},gauge,litespeed_available_ssl_connections,query-value|timeseries,min,none,context.scope:20,context.env|context.team,context.scope,SSL pool fully exhausted or exporter not running,Low — one value per instance,prometheus=litespeed_available_ssl_connections,https://github.com/litespeedtech/litespeed-prometheus-exporter
Throughput/Usage,litespeed_incoming_http_bytes_per_second,true,Inbound plain HTTP bandwidth in bytes per second; pre-computed rate gauge — do NOT apply rate() or per-second post-function,By/s,gauge,litespeed_incoming_http_bytes_per_second,timeseries|query-value,sum,none,context.scope:20,context.env|context.team,context.scope,No plain HTTP inbound traffic,Low,prometheus=litespeed_incoming_http_bytes_per_second,https://github.com/litespeedtech/litespeed-prometheus-exporter
Throughput/Usage,litespeed_outgoing_http_bytes_per_second,true,Outbound plain HTTP bandwidth in bytes per second; pre-computed rate gauge,By/s,gauge,litespeed_outgoing_http_bytes_per_second,timeseries|query-value,sum,none,context.scope:20,context.env|context.team,context.scope,No plain HTTP outbound traffic,Low,prometheus=litespeed_outgoing_http_bytes_per_second,https://github.com/litespeedtech/litespeed-prometheus-exporter
