theme,name,confirmed,definition,unit,type,tsuga_metric_name,widget_suggestions,aggregation,post_function,group_by,required_context_fields,optional_context_fields,absence_means,cardinality_footguns,variants,citations
Availability/Health,mysql.uptime,true,Seconds the MySQL server has been running since last start. Cumulative Sum — increases monotonically. Useful for detecting unexpected restarts (value resets to low).,s,counter,mysql.uptime,query-value|timeseries,max,none,context.scope:10,context.env|context.team,context.k8s.cluster.name|context.k8s.namespace.name,MySQL has not been scraped or is unreachable,Safe — one value per instance,otel=mysql.uptime,https://github.com/open-telemetry/opentelemetry-collector-contrib/blob/main/receiver/mysqlreceiver/documentation.md
Availability/Health,mysql.threads,true,Current thread counts by kind (cached/connected/created/running). Non-monotonic Sum — behaves like a gauge. kind=connected = active connections; kind=running = threads actively executing queries.,1,counter,mysql.threads,query-value|timeseries,max,none,context.scope:10,context.env|context.team,context.k8s.cluster.name,MySQL has not been scraped; filter on kind attribute (connected|running|cached|created),Safe — bounded kind enum (4 values),otel=mysql.threads,https://github.com/open-telemetry/opentelemetry-collector-contrib/blob/main/receiver/mysqlreceiver/documentation.md
Availability/Health,mysql.connection.count,false,Total connection attempts since MySQL startup (successful + failed). Optional metric. Cumulative monotonic counter — apply rate to get connections/s.,1,counter,mysql.connection.count,timeseries|query-value,sum,per-second,context.scope:10,context.env|context.team,context.k8s.cluster.name,Optional metric — absence means not enabled in collector config (not a MySQL error),Safe,otel=mysql.connection.count,https://github.com/open-telemetry/opentelemetry-collector-contrib/blob/main/receiver/mysqlreceiver/documentation.md
Availability/Health,mysql.connection.errors,false,"Connection error counts by type (auth failures, max_connections rejections, internal errors). Optional metric. Cumulative monotonic counter.",1,counter,mysql.connection.errors,timeseries|top-list,sum,per-second,context.scope:10|context.connection_error:10,context.env|context.team,context.k8s.cluster.name,Optional metric. Absence means not enabled — NOT absence of errors. connection_error attribute values: accept|auth|handshake|internal|max_connections|select|tcpwrap,connection_error attribute adds cardinality — bounded enum (6-8 values),otel=mysql.connection.errors,https://github.com/open-telemetry/opentelemetry-collector-contrib/blob/main/receiver/mysqlreceiver/documentation.md
Availability/Health,mysql.max_used_connections,false,Peak simultaneous connections since MySQL startup. Optional metric. Non-monotonic Sum — gauge-like. Useful for capacity planning vs max_connections config.,1,gauge,mysql.max_used_connections,query-value,max,none,context.scope:10,context.env|context.team,context.k8s.cluster.name,Optional metric — absence means not enabled,Safe,otel=mysql.max_used_connections,https://github.com/open-telemetry/opentelemetry-collector-contrib/blob/main/receiver/mysqlreceiver/documentation.md
Availability/Health,mysql.mysqlx_connections,true,MySQL X-Plugin connection counts by status (accepted/errors/rejected). Default metric. Non-monotonic Sum. Only relevant when X-Plugin / Document Store is in use.,1,counter,mysql.mysqlx_connections,timeseries|query-value,max,none,context.scope:10,context.env|context.team,context.k8s.cluster.name,Zero or absent = X-Plugin not in use (normal for most deployments). status attribute: accepted|errors|rejected,Safe — bounded status enum,otel=mysql.mysqlx_connections,https://github.com/open-telemetry/opentelemetry-collector-contrib/blob/main/receiver/mysqlreceiver/documentation.md
Throughput/Usage,mysql.query.count,false,Total queries executed (all statements including stored programs). Optional metric. Cumulative monotonic counter — apply rate for QPS.,1,counter,mysql.query.count,timeseries|query-value,sum,per-second,context.scope:10,context.env|context.team,context.k8s.cluster.name,Optional metric — absence means not enabled in collector; cannot compute slow query ratio without it,Safe,otel=mysql.query.count,https://github.com/open-telemetry/opentelemetry-collector-contrib/blob/main/receiver/mysqlreceiver/documentation.md
Throughput/Usage,mysql.query.client.count,false,Total client-originated queries (excludes stored program sub-statements). Optional metric. Cumulative monotonic counter.,1,counter,mysql.query.client.count,timeseries,sum,per-second,context.scope:10,context.env|context.team,,Optional metric — absence means not enabled,Safe,otel=mysql.query.client.count,https://github.com/open-telemetry/opentelemetry-collector-contrib/blob/main/receiver/mysqlreceiver/documentation.md
Errors/Failures,mysql.query.slow.count,false,"Queries that exceeded long_query_time threshold. Optional metric. Cumulative monotonic counter. Key reliability signal — rising rate indicates workload degradation, missing indexes, or lock contention.",1,counter,mysql.query.slow.count,timeseries|query-value,sum,per-second,context.scope:10,context.env|context.team,,Optional metric. Absence means not enabled OR long_query_time too high. Rate of 0 is healthy — even occasional slow queries matter at high QPS.,Safe,otel=mysql.query.slow.count,https://github.com/open-telemetry/opentelemetry-collector-contrib/blob/main/receiver/mysqlreceiver/documentation.md
Throughput/Usage,mysql.handlers,true,InnoDB handler operation counts by kind. Default metric. Cumulative monotonic counter. Key insight: read_rnd_next = full table scans; read_key = index lookups; write = mutations. Rate of read_rnd_next vs read_key reveals index efficiency.,1,counter,mysql.handlers,timeseries|top-list,sum,per-second,context.scope:10|context.kind:20,context.env|context.team,context.k8s.cluster.name,MySQL not scraped or handler collection failed,handler attribute has 20+ values — avoid grouping all in timeseries. Filter to: write|read_rnd_next|read_key|update|delete for operational dashboards.,otel=mysql.handlers,https://github.com/open-telemetry/opentelemetry-collector-contrib/blob/main/receiver/mysqlreceiver/documentation.md
