theme,name,confirmed,definition,unit,type,tsuga_metric_name,widget_suggestions,aggregation,post_function,group_by,required_context_fields,optional_context_fields,absence_means,cardinality_footguns,variants,citations
Throughput/Usage,MatchedEvents,true,"Count of events that matched at least one EventBridge rule. Best traffic proxy for routing work entering the rule engine; it does not measure all published events.",{event},summary,aws_events_matched_events,timeseries|query-value|top-list,sum,none,context.rulename:20|context.source:12,context.env|context.team,context.cloud.region|context.cloud.account.id|context.rulename|context.source,Bus is idle, producer traffic is absent, or rules no longer match incoming events,Prefer rule or source groupings; `context.rulename` is bounded but still better in top-lists than dense multi-line charts,cw_metric=MatchedEvents|tsuga=aws_events_matched_events,https://docs.aws.amazon.com/eventbridge/latest/userguide/eb-monitoring.html
Throughput/Usage,TriggeredRules,true,"Count of rules that triggered from matched events. Higher than MatchedEvents usually means multi-rule fanout rather than more producer traffic.",{rule},summary,aws_events_triggered_rules,timeseries|query-value|top-list,sum,none,context.rulename:20|context.source:12,context.env|context.team,context.cloud.region|context.cloud.account.id|context.rulename|context.source,No rules are triggering because the namespace is idle or rule patterns no longer match,Rule names can grow if teams create many narrow rules so default to top-lists before dense timeseries,cw_metric=TriggeredRules|tsuga=aws_events_triggered_rules,https://docs.aws.amazon.com/eventbridge/latest/userguide/eb-monitoring.html
Capacity/Saturation,InvocationsCreated,true,"Count of target invocations created by EventBridge. Primary fanout metric because one matched event can create multiple target deliveries.",{invocation},summary,aws_events_invocations_created,timeseries|query-value|top-list,sum,none,context.source:12|context.cloud.region:10,context.env|context.team,context.cloud.region|context.cloud.account.id|context.source,No target work is being created because no rules are firing or the namespace is idle,This metric has no `context.rulename` in Tsuga so keep grouping at source or Region level,cw_metric=InvocationsCreated|tsuga=aws_events_invocations_created,https://docs.aws.amazon.com/eventbridge/latest/userguide/eb-monitoring.html
Errors/Failures,InvocationAttempts,true,"Count of target invocation attempts including retries. Rising faster than InvocationsCreated usually indicates downstream retry pressure or repeated delivery failures.",{attempt},summary,aws_events_invocation_attempts,timeseries|query-value|top-list,sum,none,context.rulename:20|context.source:12,context.env|context.team,context.cloud.region|context.cloud.account.id|context.rulename|context.source,No delivery attempts are happening because no target work is being created or the namespace is idle,Attempts are retry-inflated so do not compare directly to business event counts,cw_metric=InvocationAttempts|tsuga=aws_events_invocation_attempts,https://docs.aws.amazon.com/eventbridge/latest/userguide/eb-monitoring.html
Availability/Health,SuccessfulInvocationAttempts,true,"Count of successful target delivery attempts. Best success numerator for delivery quality in the current namespace.",{attempt},summary,aws_events_successful_invocation_attempts,timeseries|query-value|top-list,sum,none,context.rulename:20|context.source:12,context.env|context.team,context.cloud.region|context.cloud.account.id|context.rulename|context.source,No successful deliveries are occurring because traffic is idle or delivery attempts are failing,Use alongside InvocationAttempts and FailedInvocations to separate idle from broken,cw_metric=SuccessfulInvocationAttempts|tsuga=aws_events_successful_invocation_attempts,https://docs.aws.amazon.com/eventbridge/latest/userguide/eb-monitoring.html
Availability/Health,Invocations,true,"Count of target invocations recorded by EventBridge. Useful denominator for durable failure share and overall target work completed.",{invocation},summary,aws_events_invocations,timeseries|query-value,sum,none,context.rulename:20|context.source:12,context.env|context.team,context.cloud.region|context.cloud.account.id|context.rulename|context.source,No completed invocation work is being recorded because the namespace is idle or deliveries are stalling,Interpret with care because retries live in InvocationAttempts not Invocations,cw_metric=Invocations|tsuga=aws_events_invocations,https://docs.aws.amazon.com/eventbridge/latest/userguide/eb-monitoring.html
Errors/Failures,FailedInvocations,true,"Count of failed target invocations after EventBridge could not deliver successfully. Strongest durable failure metric in the current namespace.",{invocation},summary,aws_events_failed_invocations,timeseries|query-value|top-list,sum,none,context.rulename:20|context.source:12,context.env|context.team,context.cloud.region|context.cloud.account.id|context.rulename|context.source,No durable target failures were recorded or the namespace is idle,Use top-lists instead of many-line timeseries when many rules exist,cw_metric=FailedInvocations|tsuga=aws_events_failed_invocations,https://docs.aws.amazon.com/eventbridge/latest/userguide/eb-monitoring.html
Performance/Latency,IngestiontoInvocationStartLatency,true,"Latency from event ingestion until EventBridge starts target invocation. Best signal for queueing or throttle delay before the first delivery attempt.",ms,summary,aws_events_ingestion_to_invocation_start_latency,timeseries|query-value,average|max,none,context.rulename:20|context.source:12,context.env|context.team,context.cloud.region|context.cloud.account.id|context.rulename|context.source,No successful routing work reached the start point or the metric is stale,Tsuga reports summary+cumulative with avg|max|min|sum capabilities; avoid percentiles unless Stage 3 explicitly re-validates them,cw_metric=IngestionToInvocationStartLatency|tsuga=aws_events_ingestion_to_invocation_start_latency,https://docs.aws.amazon.com/eventbridge/latest/userguide/eb-monitoring.html
Performance/Latency,IngestiontoInvocationCompleteLatency,true,"Latency from event ingestion until an invocation attempt completes. Useful midpoint to separate start delay from end-to-end success delay.",ms,summary,aws_events_ingestion_to_invocation_complete_latency,timeseries|query-value,average|max,none,context.rulename:20|context.source:12,context.env|context.team,context.cloud.region|context.cloud.account.id|context.rulename|context.source,No completed attempts were recorded or the metric is stale,Use with start and success latency rather than alone,cw_metric=IngestionToInvocationCompleteLatency|tsuga=aws_events_ingestion_to_invocation_complete_latency,https://docs.aws.amazon.com/eventbridge/latest/userguide/eb-monitoring.html
Performance/Latency,IngestiontoInvocationSuccessLatency,true,"Latency from event ingestion until EventBridge records a successful delivery. Best end-to-end latency signal for user-visible delivery health.",ms,summary,aws_events_ingestion_to_invocation_success_latency,timeseries|query-value,average|max,none,context.rulename:20|context.source:12,context.env|context.team,context.cloud.region|context.cloud.account.id|context.rulename|context.source,No successful deliveries completed or the metric is stale,Use rule-level top lists rather than noisy target splits because no target id field is present,cw_metric=IngestionToInvocationSuccessLatency|tsuga=aws_events_ingestion_to_invocation_success_latency,https://docs.aws.amazon.com/eventbridge/latest/userguide/eb-monitoring.html
