theme,name,confirmed,definition,unit,type,tsuga_metric_name,widget_suggestions,aggregation,post_function,group_by,required_context_fields,optional_context_fields,absence_means,cardinality_footguns,variants,citations
Availability/Health,redis.uptime,true,Number of seconds since Redis server start. Cumulative counter useful for detecting restarts (resets to 0).,s,counter,redis.uptime,query-value|timeseries,sum,per-second,,context.scope,context.env|context.team,Instance not reporting or collector misconfigured,Safe,otel=redis.uptime|prom=redis_uptime_in_seconds,https://github.com/open-telemetry/opentelemetry-collector-contrib/blob/main/receiver/redisreceiver/documentation.md
Availability/Health,redis.clients.connected,true,Number of client connections excluding replicas. Non-monotonic sum (gauge-like). Key saturation metric when compared to maxclients.,{client},counter,redis.clients.connected,timeseries|query-value,sum,rate,context.scope:20,context.scope,context.env|context.team,Instance down or no clients connected,Safe,otel=redis.clients.connected|prom=redis_connected_clients,https://github.com/open-telemetry/opentelemetry-collector-contrib/blob/main/receiver/redisreceiver/documentation.md
Availability/Health,redis.clients.blocked,true,"Number of clients pending on a blocking call (BLPOP, BRPOP, WAIT, XREAD BLOCK). Non-monotonic sum.",{client},counter,redis.clients.blocked,timeseries|query-value,sum,rate,context.scope:20,context.scope,context.env|context.team,No clients in blocking operations (normal),Safe,otel=redis.clients.blocked|prom=redis_blocked_clients,https://github.com/open-telemetry/opentelemetry-collector-contrib/blob/main/receiver/redisreceiver/documentation.md
Availability/Health,redis.connections.rejected,true,Number of connections rejected because of maxclients limit. Cumulative monotonic counter.,{connection},counter,redis.connections.rejected,timeseries|query-value,sum,per-second,context.scope:20,context.scope,context.env|context.team,No connection rejections (healthy) or instance not reporting,Safe,otel=redis.connections.rejected|prom=redis_rejected_connections_total,https://github.com/open-telemetry/opentelemetry-collector-contrib/blob/main/receiver/redisreceiver/documentation.md
Availability/Health,redis.connections.received,true,Total number of connections accepted by the server. Cumulative monotonic counter.,{connection},counter,redis.connections.received,timeseries,sum,per-second,context.scope:20,context.scope,context.env|context.team,Instance not reporting,Safe,otel=redis.connections.received|prom=redis_connections_received_total,https://github.com/open-telemetry/opentelemetry-collector-contrib/blob/main/receiver/redisreceiver/documentation.md
Availability/Health,redis.slaves.connected,true,Number of connected replicas. Non-monotonic sum. Value 0 means standalone or all replicas disconnected.,{replica},counter,redis.slaves.connected,query-value|timeseries,sum,rate,context.scope:20,context.scope,context.env|context.team,Standalone mode (no replication) or replicas disconnected,Safe,otel=redis.slaves.connected|prom=redis_connected_slaves,https://github.com/open-telemetry/opentelemetry-collector-contrib/blob/main/receiver/redisreceiver/documentation.md
Throughput/Usage,redis.commands.processed,true,Total number of commands processed by the server. Cumulative monotonic counter. Preferred for throughput calculation over redis.commands.,{command},counter,redis.commands.processed,timeseries|query-value,sum,per-second,context.scope:20,context.scope,context.env|context.team,Instance not reporting,Safe,otel=redis.commands.processed|prom=redis_commands_processed_total,https://github.com/open-telemetry/opentelemetry-collector-contrib/blob/main/receiver/redisreceiver/documentation.md
Throughput/Usage,redis.commands,true,Instantaneous ops/sec gauge snapshot from Redis INFO. NOT a counter. Do NOT apply rate(). Noisy sampled value updated every 100ms internally.,{ops}/s,gauge,redis.commands,timeseries|query-value,average,none,context.scope:20,context.scope,context.env|context.team,Instance not reporting,Noisy single-point sample; prefer rate(redis.commands.processed) for accurate throughput,otel=redis.commands|prom=redis_instantaneous_ops_per_sec,https://github.com/open-telemetry/opentelemetry-collector-contrib/blob/main/receiver/redisreceiver/documentation.md
Throughput/Usage,redis.keyspace.hits,true,Number of successful lookup of keys in the main dictionary. Cumulative monotonic counter. Input for cache hit ratio.,{hit},counter,redis.keyspace.hits,timeseries,sum,per-second,context.scope:20,context.scope,context.env|context.team,No read operations or instance not reporting,Safe,otel=redis.keyspace.hits|prom=redis_keyspace_hits_total,https://github.com/open-telemetry/opentelemetry-collector-contrib/blob/main/receiver/redisreceiver/documentation.md
Throughput/Usage,redis.keyspace.misses,true,Number of failed lookup of keys in the main dictionary. Cumulative monotonic counter. Input for cache hit ratio.,{miss},counter,redis.keyspace.misses,timeseries,sum,per-second,context.scope:20,context.scope,context.env|context.team,No read operations or instance not reporting,Safe,otel=redis.keyspace.misses|prom=redis_keyspace_misses_total,https://github.com/open-telemetry/opentelemetry-collector-contrib/blob/main/receiver/redisreceiver/documentation.md
